layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
6,router_gate,stimulus_control,strategically inert payoff control,all,0.5170476466049383,0.46423438070481715,0.5792238273231743,576,144
6,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6972865226337448,0.638010045075952,0.7572034082252246,576,144
6,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.3926834540149141,0.29853649428567286,0.48656868974067874,525,144
6,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.651580810546875,0.559177807486631,0.7472083972797293,576,144
6,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.613476517089049,0.566640591847091,0.6595740252302555,525,144
6,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.469654224537037,0.40949366897252326,0.5221534721920958,576,144
6,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.612988683127572,0.550287847849569,0.6726719563237429,576,144
6,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.4355884577974711,0.3393920825000406,0.5450856504476792,525,144
6,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.634735107421875,0.5436038968764076,0.7305074598166215,576,144
6,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.6180103464310626,0.5729467877866814,0.6644925212286089,525,144
6,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.461377555941358,0.40284300343870655,0.5163153051267755,576,144
6,residual,incentive_sign_q05,objective incentive sign,all,0.8325102880658435,0.7855333636769678,0.8777695013552296,576,144
6,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.65335566843186,0.5589298224423239,0.7389727293982613,525,144
6,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.785247802734375,0.7159520657260643,0.8479985596061087,576,144
6,residual,literal_J_choice,literal J/P choice control,pure,0.9924000232504069,0.9803988535712791,1.0,525,144
6,residual,stimulus_control,strategically inert payoff control,all,0.5182532793209876,0.4646867942624338,0.5743497611380912,576,144
9,router_gate,incentive_sign_q05,objective incentive sign,all,0.8104552469135802,0.757616606417059,0.8631853181432146,576,144
9,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6351453582621852,0.5515819897936143,0.7071405992161716,525,144
9,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.75830078125,0.6918933867257544,0.822449682667089,576,144
9,router_gate,literal_J_choice,literal J/P choice control,pure,0.9904237386654267,0.977821725432073,0.9989386093752674,525,144
9,router_gate,stimulus_control,strategically inert payoff control,all,0.5726032021604939,0.5210889758526212,0.6199692982729773,576,144
9,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.639358281893004,0.5821562492666077,0.701461517066504,576,144
9,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.3907381389819518,0.2990839894139142,0.47415937659484764,525,144
9,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.58013916015625,0.47278668165498117,0.6919292079829297,576,144
