model,layer,depth_frac,auc,lo,hi,auc_gain_over_embedding,row_scope,n_obs,n_games
gptoss,17,0.4722222222222222,0.8295147519723333,0.774712872307998,0.8857663497635025,0.493542634821139,pure_commitment,525,144
gptoss,18,0.5,0.7929590403112504,0.7013304903051366,0.8689207791490435,0.4569869231600562,pure_commitment,525,144
gptoss,19,0.5277777777777778,0.8115205879174322,0.7467643817695381,0.8680331538894248,0.47554847076623796,pure_commitment,525,144
gptoss,20,0.5555555555555556,0.8131957203069274,0.7546640581518382,0.864505695734162,0.4772236031557332,pure_commitment,525,144
gptoss,21,0.5833333333333334,0.8456176375229655,0.7887690566907435,0.8955452915307597,0.5096455203717712,pure_commitment,525,144
gptoss,22,0.6111111111111112,0.8263806333081163,0.7647680088574152,0.8833370739457668,0.49040851615692205,pure_commitment,525,144
gptoss,23,0.6388888888888888,0.8009294282935265,0.7492941544314693,0.8508703346203346,0.4649573111423323,pure_commitment,525,144
gptoss,24,0.6666666666666666,0.8050902410029179,0.7373211327313929,0.8641225961538461,0.4691181238517237,pure_commitment,525,144
gptoss,25,0.6944444444444444,0.8241110991029936,0.7677964294361421,0.8770990261732716,0.4881389819517994,pure_commitment,525,144
gptoss,26,0.7222222222222222,0.787258186534097,0.7184111959659666,0.8525836091324843,0.4512860693829027,pure_commitment,525,144
gptoss,27,0.75,0.768993839835729,0.6657977041672257,0.8533782509244656,0.43302172268453476,pure_commitment,525,144
gptoss,28,0.7777777777777778,0.7170647357613747,0.6205439642715148,0.8043990005791744,0.3810926186101805,pure_commitment,525,144
gptoss,29,0.8055555555555556,0.765319355884578,0.6858722863109777,0.8404653311527455,0.42934723873338376,pure_commitment,525,144
gptoss,30,0.8333333333333334,0.7970387982276018,0.7332310911700213,0.854430025392944,0.4610666810764076,pure_commitment,525,144
gptoss,31,0.8611111111111112,0.764778990597644,0.6827639049441986,0.8367032753903584,0.42880687344644974,pure_commitment,525,144
gptoss,32,0.8888888888888888,0.7634821139090024,0.68707539886738,0.8303658757832135,0.4275099967578082,pure_commitment,525,144
gptoss,33,0.9166666666666666,0.811628660974819,0.7324517515474102,0.8711844992995686,0.47565654382362477,pure_commitment,525,144
gptoss,34,0.9444444444444444,0.7670485248027666,0.6882534671576045,0.8313760745740401,0.4310764076515724,pure_commitment,525,144
gptoss,35,0.9722222222222222,0.7720198854425592,0.6959038231514708,0.8349587396743086,0.43604776829136493,pure_commitment,525,144
gptoss,36,1.0,0.802388414568248,0.7300241043785937,0.86550222015784,0.4664162974170538,pure_commitment,525,144
llama31_instruct,0,0.0,0.41837245696400627,0.34657254141284377,0.4869428829129382,0.0,parsed_generated_choice,576,144
llama31_instruct,1,0.0125,0.522300469483568,0.4681841546874962,0.5733301887575651,0.10392801251956174,parsed_generated_choice,576,144
llama31_instruct,2,0.025,0.5799374021909233,0.519867165507564,0.6407912473840172,0.161564945226917,parsed_generated_choice,576,144
llama31_instruct,3,0.0375,0.5664945226917057,0.5121261496896262,0.626836627098067,0.14812206572769948,parsed_generated_choice,576,144
llama31_instruct,4,0.05,0.5595148669796557,0.49191135123949775,0.6288777207977164,0.14114241001564942,parsed_generated_choice,576,144
llama31_instruct,5,0.0625,0.5683881064162755,0.5034612995671612,0.6317044797505833,0.1500156494522692,parsed_generated_choice,576,144
llama31_instruct,6,0.075,0.5620657276995304,0.4995061614578128,0.619953766859491,0.14369327073552418,parsed_generated_choice,576,144
llama31_instruct,7,0.0875,0.5632863849765257,0.5027946771972508,0.618202574337375,0.14491392801251946,parsed_generated_choice,576,144
llama31_instruct,8,0.1,0.5576056338028169,0.4981618860393808,0.6136648882400738,0.13923317683881065,parsed_generated_choice,576,144
llama31_instruct,9,0.1125,0.5419092331768388,0.4825273122414206,0.5989594195418387,0.12353677621283254,parsed_generated_choice,576,144
llama31_instruct,10,0.125,0.5054616588419405,0.4434648691101724,0.5656647084958287,0.08708920187793423,parsed_generated_choice,576,144
llama31_instruct,11,0.1375,0.5168544600938967,0.45794954355766154,0.5717544146593394,0.09848200312989042,parsed_generated_choice,576,144
llama31_instruct,12,0.15,0.5079342723004695,0.44893821129005396,0.5636437457662632,0.08956181533646324,parsed_generated_choice,576,144
llama31_instruct,13,0.1625,0.4943505477308294,0.43695640535254504,0.5483190569875415,0.07597809076682316,parsed_generated_choice,576,144
llama31_instruct,14,0.175,0.48358372456964005,0.4293252368197142,0.5336316897844373,0.06521126760563378,parsed_generated_choice,576,144
llama31_instruct,15,0.1875,0.5299843505477309,0.48115054692928133,0.5750710800316768,0.11161189358372459,parsed_generated_choice,576,144
llama31_instruct,16,0.2,0.5027856025039124,0.45298623453469133,0.5548353508927596,0.08441314553990609,parsed_generated_choice,576,144
llama31_instruct,17,0.2125,0.5346635367762127,0.4799573308307872,0.5890589462847428,0.11629107981220643,parsed_generated_choice,576,144
llama31_instruct,18,0.225,0.5296244131455399,0.47511980805104514,0.5815066113635607,0.1112519561815336,parsed_generated_choice,576,144
llama31_instruct,19,0.2375,0.5270109546165884,0.47259115306744776,0.584482251885072,0.10863849765258216,parsed_generated_choice,576,144
llama31_instruct,20,0.25,0.5371517996870109,0.48563588171198696,0.5947461669156079,0.11877934272300461,parsed_generated_choice,576,144
llama31_instruct,21,0.2625,0.5707511737089201,0.5125685321354142,0.631728269516842,0.15237871674491388,parsed_generated_choice,576,144
llama31_instruct,22,0.275,0.5785915492957747,0.5208072627203565,0.6399644388090648,0.16021909233176845,parsed_generated_choice,576,144
llama31_instruct,23,0.2875,0.5764162754303599,0.5194439011236679,0.6368311713061084,0.15804381846635362,parsed_generated_choice,576,144
llama31_instruct,24,0.3,0.6055712050078248,0.5447302875110435,0.6638563752707566,0.18719874804381853,parsed_generated_choice,576,144
llama31_instruct,25,0.3125,0.5937245696400626,0.5297746810032377,0.6557800715299258,0.17535211267605633,parsed_generated_choice,576,144
llama31_instruct,26,0.325,0.6082785602503912,0.5453386002709093,0.6677125877151571,0.1899061032863849,parsed_generated_choice,576,144
