layer,feature_set,target,scope,objective_baseline_auc,objective_baseline_auc_lo,objective_baseline_auc_hi,augmented_auc,augmented_auc_lo,augmented_auc_hi,logloss_improvement,logloss_improvement_lo,logloss_improvement_hi,objective_baseline_logloss,augmented_logloss,n,n_games
12,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7026640008645844,0.5949565317368584,0.8053420789591419,-0.011857171981643044,-0.0334354059597467,0.006475628970746891,0.24037625143514008,0.2522334234167831,525,144
12,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6226088836053173,0.5153863782516327,0.7141294414271084,-0.3108675051610199,-0.4932732625634142,-0.16877096933148802,0.24037625143514008,0.55124375659616,525,144
15,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6785907273316762,0.5847327302631579,0.7659015444015445,-0.045244764855150554,-0.0870968143684169,-0.008835841622031956,0.24037625143514008,0.28562101629029063,525,144
15,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.70744623365395,0.6005999946512622,0.8026390809166749,-0.009284506988437469,-0.02035433760137206,0.0013362698599703655,0.24037625143514008,0.24966075842357754,525,144
15,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6779963255160488,0.5800082141596585,0.7762596555678561,-0.011375586477609057,-0.0279887971856636,0.0003602359861504753,0.24037625143514008,0.25175183791274913,525,144
15,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6970171836161244,0.6027460907184451,0.7816067530632933,-0.39627842193470497,-0.5929227456359186,-0.22726297688494973,0.24037625143514008,0.636654673369845,525,144
18,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6866962066356858,0.5785119428404463,0.7851979577113049,-0.05450668028935984,-0.11309437379056361,-0.008135041569230604,0.24037625143514008,0.2948829317244999,525,144
18,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7251161785366907,0.6212404724672795,0.8206968882372108,-0.0037726203875927122,-0.01662591394966817,0.008659737676841072,0.24037625143514008,0.2441488718227328,525,144
18,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7151734572571058,0.6115381979550009,0.807766272189349,-0.0075669167128256665,-0.018607990991044536,0.002407796855496352,0.24037625143514008,0.24794316814796574,525,144
18,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7773695017832054,0.6948645617455586,0.845316800236119,-0.30007938305678705,-0.4675422151558962,-0.16094795041755106,0.24037625143514008,0.5404556344919271,525,144
21,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6227169566627039,0.5240442127822592,0.7187756258617853,-0.10807562239459956,-0.17493488423494466,-0.05125966684583938,0.24037625143514008,0.34845187382973963,525,144
21,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7069599048957095,0.6036781344269285,0.8040658028899831,-0.008101791381017992,-0.017303396645146435,4.725854776738909e-05,0.24037625143514008,0.24847804281615807,525,144
21,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6983680968334594,0.5803756263155241,0.8090277582117107,-0.011923567393267276,-0.027182322639970575,0.0007941197316290304,0.24037625143514008,0.25229981882840735,525,144
21,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.79828163838755,0.720115385633153,0.8672293604872423,-0.335600714079056,-0.5061565295501844,-0.17342736378934362,0.24037625143514008,0.5759769655141961,525,144
22,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6605965632767751,0.523056424931425,0.7824220771877402,-0.07401847573189829,-0.14562449238913452,-0.018415544397251345,0.24037625143514008,0.31439472716703837,525,144
22,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6852912568896574,0.569540153988691,0.7942239852480412,-0.01709969897826691,-0.03744417018129522,-0.0028189768557532143,0.24037625143514008,0.257475950413407,525,144
22,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6910461471955043,0.5675962486339577,0.802224799753346,-0.01564340306637213,-0.03806858541923564,-0.0008044396931087757,0.24037625143514008,0.2560196545015122,525,144
22,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7418675024316438,0.6446536036453592,0.8400819378508171,-0.3515316971405986,-0.5532090381980729,-0.17196807862614616,0.24037625143514008,0.5919079485757387,525,144
24,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6920998595050254,0.6088369077729006,0.7665034616915183,-0.060633548626057354,-0.1078596728888025,-0.019328316212988347,0.24037625143514008,0.30100980006119743,525,144
24,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7287906624878419,0.6121963984863091,0.8352948191195572,-0.0005250537401140787,-0.013792120402570145,0.013037892936631544,0.24037625143514008,0.24090130517525415,525,144
24,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7062574300226953,0.5933636992932881,0.8139439668877074,-0.005262482859769602,-0.015878726195188528,0.005014754565913777,0.24037625143514008,0.24563873429490968,525,144
24,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7646168810115639,0.6852854765140972,0.8346841417818779,-0.28761716972923523,-0.4585152341162376,-0.14305893811225623,0.24037625143514008,0.5279934211643753,525,144
27,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6634064627688318,0.5664744378757515,0.7547133518277593,-0.06329654783129496,-0.10705957807106789,-0.0253198200082382,0.24037625143514008,0.30367279926643503,525,144
27,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6844807089592565,0.571325483535964,0.7913999713791677,-0.017708881205978744,-0.04376568139950675,0.003058772565394075,0.24037625143514008,0.2580851326411188,525,144
27,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.672700745704096,0.5579288608363369,0.780965888658368,-0.02152249739534501,-0.04671639231113343,-0.00263808556704324,0.24037625143514008,0.2618987488304851,525,144
27,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6944774667675347,0.5841666666666667,0.7942047687643472,-0.3226608147083896,-0.511905906039907,-0.14231012432538612,0.24037625143514008,0.5630370661435297,525,144
30,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6902626175294498,0.6138006280117788,0.7646762044236429,-0.042711715763883884,-0.0711681971197404,-0.016168494792302833,0.24037625143514008,0.28308796719902396,525,144
30,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7180373932778558,0.5989394051437211,0.8240948319545004,-0.013884038686481581,-0.035857057272617704,0.002700182508471906,0.24037625143514008,0.25426029012162166,525,144
30,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7158218956014265,0.5965480936254869,0.8209253429690686,-0.015531494417849345,-0.03887249369895803,0.0026211292889970306,0.24037625143514008,0.2559077458529894,525,144
30,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7171728088187614,0.6409439588746911,0.7930655660345503,-0.30426719603036323,-0.4690904705648533,-0.1495808931836951,0.24037625143514008,0.5446434474655033,525,144
