game_code,gate_margin,topk_binary_margin,topk_weight_margin,residual_margin,gate_minus_topk_margin,median_n_new_tokens,mixed_rate,pure_canonical_rate,abs_delta1c_q05,complexity_score,dominance_profile,num_pure_ne,log_median_n_new_tokens
AsSh,0.1634471282321485,-0.14814707991039539,-0.1479202424170989,0.18042095600324778,0.3115942081425439,715.5,0.0,0.5,0.0,-0.3437457694579421,2,2,6.574378247268227
BaAs,0.26206063911741817,-0.047504086864258444,-0.05305729930622485,0.41329388012641394,0.3095647259816766,1009.5,0.5,1.0,0.0,0.5678259637502947,2,0,6.918200536843676
BaBa,0.268212710797758,-0.18086561104979557,-0.15979222611769,0.31769345905360885,0.4490783218475536,843.0,0.25,0.3333333333333333,0.0,-0.0169508502148298,2,2,6.738152494595957
BaCh,0.01996525910870159,-0.13837964981853218,-0.13291210998930192,0.28841508981982,0.15834490892723377,325.5,0.0,0.75,0.0,0.1562542305420579,2,2,5.788429948716486
BaCm,0.12769597249502407,-0.16425726196291898,-0.15429889713582334,0.3644288681825304,0.291953234457943,480.5,0.0,0.5,0.0,0.2789544310611563,1,1,6.17690623123818
BaCo,0.1847179743760973,-0.047504086864258444,-0.01992250008375629,-0.0007706971501381804,0.23222206124035571,1096.0,0.5,1.0,0.0,0.4523559099123697,2,0,7.00033446027523
BaDl,0.09066956499983198,-0.17935922336715138,-0.19892171882943477,-0.0393411385606158,0.27002878836698335,291.5,0.0,1.0,0.0,0.5098945387370066,1,1,5.678464666671911
BaHa,-0.05201140193666538,-0.2280523562305112,-0.22741579742936985,0.02121822901703413,0.1760409542938458,292.0,0.0,0.75,0.0,0.048014323385306,1,1,5.680172609017068
BaHr,0.23635994024140056,-0.18431627703534015,-0.13288563493750438,0.3556230835090319,0.4206762172767407,790.0,0.0,0.5,0.0,0.069651690163614,2,2,6.673297967767654
BaNc,0.04501274178238393,-0.020503597317502925,-0.05074347520378772,0.07766706307898716,0.06551633909988686,323.0,0.0,0.5,0.0,0.1634843772232312,1,1,5.780743515792329
BaPc,-0.14766392426768338,-0.039924090999602854,-0.019290606894207543,0.22616383803040974,-0.10773983326808054,905.0,0.25,1.0,0.0,0.2789544310611563,1,1,6.80903930604298
BaPd,-0.012351120222420256,-0.26560588883194425,-0.25644420575509647,0.26713409341987354,0.253254768609524,361.5,0.0,1.0,0.0,0.3944244848990815,1,1,5.893024474294729
BaSh,0.14355018063026953,-0.1076186143332159,-0.10976418466744306,0.18523304945682778,0.25116879496348543,349.0,0.0,1.0,0.0,0.3368858560744445,2,0,5.857933154483459
