p_id,p_paired,is_symmetric,lk_type,emp_class,frac_choose_A,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,frac_choose_act0_canonical
132,61,False,MP,A4,0.294900222,29,True,True,P1,0.705099778
133,63,False,CO1,B3,0.396895787,20,True,True,P1,0.603104213
134,64,False,MP,A4,0.33924612,17,True,False,P1,0.66075388
135,65,False,MP,A2,0.753880266,56,False,False,P1,0.753880266
136,66,False,CO1,B3,0.474501109,32,True,False,P1,0.525498891
137,67,False,MP,A4,0.257206208,8,False,False,P1,0.257206208
138,68,False,MP,A4,0.201773836,140,False,True,P1,0.201773836
139,70,False,CO1,B2,0.516629712,12,False,False,P1,0.516629712
140,71,False,MP,A4,0.241685144,36,True,True,P1,0.758314856
141,72,False,CO2,A3,0.294900222,15,True,True,P1,0.705099778
142,73,False,MP,A4,0.232815965,24,True,False,P1,0.767184035
143,75,False,MP,A4,0.390243902,3,False,False,P1,0.390243902
144,78,False,MP,A4,0.266075388,13,True,False,P1,0.733924612
