game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap
31,31,106,False,46,112,CmPc,PcCm,,Benevolent,"2,1,3,4","1,4,2,3","3,4,2,1","4,1,3,2",1,1,1,1,P31,P106,DD,DD,A1,A1,D3,D3,0.911308204,0.88248337,0.0886917959999999,0.88248337,0.4321,0.5222,5,0.11226277800091593,0.9262738577212263,0.10419484084157121,0.08030326180582043,166;261;184;278;730,0.0497312578500723
32,32,107,False,44,88,CmHr,HrCm,Compromise-Hero,,"2,1,3,4","4,1,2,3","3,1,2,4","4,1,3,2",1,1,1,0,P32,P107,OD2,OD2,A2,A2,O2,O2,0.935698448,0.682926829,0.0643015519999999,0.317073171,0.3443,0.9012,13,0.15108947628261943,0.41054962229639425,0.08405592097916842,0.11756881757532271,42;105;123;134;272;474;500;354;382;388;425;437;717,0.12755387390531447
33,33,108,False,38,16,CmBa,BaCm,Protector,,"2,1,3,4","4,2,1,3","3,2,1,4","4,1,3,2",1,1,1,-1,P33,P108,OD1,OD1,A1,A1,O2,O2,0.889135255,0.279379157,0.1108647449999999,0.7206208430000001,0.5025,0.8546,0,,,,,,
34,34,109,False,110,22,PcBa,BaPc,Generous,,"3,4,2,1","4,2,1,3","3,2,1,4","1,4,2,3",1,1,0,-1,P34,P109,OD2,OD2,A2,A2,O1,O1,0.915742794,0.505543237,0.915742794,0.4944567629999999,0.417,0.9999,0,,,,,,
35,35,110,False,41,52,CmCo,CoCm,,Coordination-Compromise,"2,1,3,4","1,4,3,2","2,4,3,1","4,1,3,2",1,1,1,1,P35,P110,OD2,OD2,A2,A2,O3,O3,0.926829268,0.636363636,0.073170732,0.636363636,0.3776,0.9457,14,0.12011717922659226,0.6851778239641357,0.09587264600881791,0.11327749050238296,40;72;142;334;431;586;146;532;583;624;731;762;795;810,0.06772587285371216
36,36,36,True,40,40,CmCm,CmCm,Compromise,Compromise,"2,1,3,4","4,1,3,2","2,1,3,4","4,1,3,2",1,1,1,0,P36,P36,DD,DD,A1,A1,D2,D2,0.898004435,0.898004435,0.1019955649999999,0.1019955649999999,0.4753,0.4753,2,0.2069264069264069,0.1930894308943089,0.050201520395928054,0.03736743152611839,6;188,0.13895529493673484
37,37,111,False,45,100,CmNc,NcCm,,Hostage,"2,1,3,4","3,4,1,2","2,4,1,3","4,1,3,2",1,1,1,1,P37,P111,DD,DD,A1,A1,D3,D3,0.853658537,0.840354767,0.1463414629999999,0.840354767,0.6006,0.6335,5,0.2290156271391969,0.8166917293233082,0.08212312602523325,0.07517953169023739,356;649;686;41;213,0.08599393448495901
38,38,112,False,39,28,CmCh,ChCm,UnfairType,,"2,1,3,4","4,3,1,2","2,3,1,4","4,1,3,2",1,1,1,-1,P38,P112,OD1,OD1,A1,A1,O2,O2,0.813747228,0.310421286,0.186252772,0.689578714,0.6936,0.8937,0,,,,,,
39,39,113,False,116,94,PcHr,HrPc,Peace-Hero,,"3,4,2,1","4,1,2,3","3,1,2,4","1,4,2,3",1,1,0,0,P39,P113,OD1,OD1,A1,A1,O1,O1,0.884700665,0.862527716,0.884700665,0.137472284,0.5157,0.5776,10,0.9125907091985509,0.14014480147438904,0.04639950744984473,0.0915799718521643,15;241;336;470;654;599;694;725;778;844,0.02801779639886116
40,40,114,False,37,4,CmAs,AsCm,,2ndBest,"2,1,3,4","2,4,3,1","1,4,3,2","4,1,3,2",1,1,1,-1,P40,P114,OD1,OD1,A1,A1,O3,O3,0.904656319,0.195121951,0.095343681,0.195121951,0.4541,0.7121,0,,,,,,
