game_id,unique_id_rowplayer,topology_raw,cardinal_p1_rowplayer,cardinal_p2_rowplayer,ordinal_p1_rowplayer,ordinal_p2_rowplayer,up_choice_rowplayer,up_choice_canonical_rowplayer,canonical_id_rowplayer,swap_sr_rowplayer,swap_sc_rowplayer,unique_id_colplayer,up_choice_colplayer,up_choice_canonical_colplayer,canonical_id_colplayer,swap_sr_colplayer,swap_sc_colplayer,bruns_name_rowplayer_side,nash_count,dominance_level,is_symmetric,bruns_name_colplayer_side,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_lk_type,nagel_emp_class,nagel_rgg_class,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary
138,275,"('dilemma', 'concord')","10,4,12,9","28,18,15,1","3,1,4,2","4,3,2,1",0.3260869565217391,0.3260869565217391,129.0,False,True,276,0.9166666666666666,0.9166666666666666,107.0,False,True,PdNc,1,1,False,NcPd,121,48,P121,DD,A1,D3,0.747228381,0.252771619,0.8156
141,281,"('harmony', 'deadlock')","23,8,7,1","8,36,2,31","4,3,2,1","2,4,1,3",0.9019607843137256,0.9019607843137256,78.0,False,True,282,0.1052631578947368,0.1052631578947368,67.0,False,True,HaDl,1,1,False,DlHa,88,11,P88,DD,A1,D3,0.929046563,0.929046563,0.3695
142,283,"('compromise', 'safecoord')","6,12,45,15","32,2,7,15","1,2,4,3","4,1,2,3",0.0,0.0,41.0,False,True,284,0.7222222222222222,0.7222222222222222,52.0,False,True,CmCo,1,1,False,CoCm,35,110,P35,OD2,A2,O3,0.926829268,0.073170732,0.3776
146,291,"('safecoord', 'compromise')","42,6,1,18","7,22,8,12","4,2,1,3","1,4,2,3",0.8064516129032258,0.8064516129032258,52.0,False,True,292,0.1578947368421052,0.1578947368421052,41.0,False,True,CoCm,1,2,False,CmCo,110,35,P110,OD2,A2,O3,0.636363636,0.636363636,0.9457
148,295,"('hero', 'deadlock')","5,16,27,9","18,23,12,21","1,3,4,2","2,4,1,3",0.3333333333333333,0.3333333333333333,90.0,False,True,296,0.1142857142857142,0.1142857142857142,68.0,False,True,HrDl,1,2,False,DlHr,87,10,P87,OD2,A2,O2,0.594235033,0.405764967,0.9742
149,297,"('deadlock', 'deadlock')","3,1,17,14","20,34,4,21","2,1,4,3","2,4,1,3",0.073170732,0.073170732,66.0,False,True,298,0.1538461538461538,0.1538461538461538,66.0,False,True,DlDl,1,1,True,DlDl,21,21,P21,DD,A1,D2,0.862527716,0.137472284,0.5776
151,301,"('peace', 'dilemma')","23,9,6,7","13,16,1,10","4,3,1,2","3,4,1,2",0.8888888888888888,0.8888888888888888,119.0,False,True,302,0.375,0.375,130.0,False,True,PcPd,1,1,False,PdPc,30,105,P30,DD,A1,D3,0.875831486,0.875831486,0.5412
153,305,"('safecoord', 'dilemma')","23,13,3,17","15,40,3,4","4,2,1,3","3,4,1,2",0.75,0.75,59.0,False,True,306,0.28125,0.28125,125.0,False,True,CoPd,1,2,False,PdCo,125,52,P125,OD2,A2,O3,0.742793792,0.742793792,0.8225
154,307,"('dilemma', 'concord')","9,1,18,4","25,23,19,4","3,1,4,2","4,3,2,1",0.2058823529411764,0.2058823529411764,129.0,False,True,308,0.8648648648648649,0.8648648648648649,107.0,False,True,PdNc,1,1,False,NcPd,121,48,P121,DD,A1,D3,0.747228381,0.252771619,0.8156
159,317,"('safecoord', 'dilemma')","23,10,9,19","7,12,2,3","4,2,1,3","3,4,1,2",0.8809523809523809,0.8809523809523809,59.0,False,True,318,0.25,0.25,125.0,False,True,CoPd,1,2,False,PdCo,125,52,P125,OD2,A2,O3,0.742793792,0.742793792,0.8225
