game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap,game_code_x,canonical_action_p1_x,complexity_score_x,num_pure_ne_x,iesds_depth_x,dominance_profile_x,nagel_pcanon_x,nagel_pcanon_y,grif_rank_clean,payoff_scale_llm,payoff_scale_mgn,payoff_scale_griffiths
22,22,98,False,72,138,DlSh,ShDl,,Hamlet,"1,2,3,4","3,4,2,1","1,4,2,3","4,2,3,1",1,1,1,-1,P22,P98,OD1,OD1,A1,A1,O3,O3,0.840354767,0.32594235,0.159645233,0.32594235,0.6335,0.9107,0,,,,,,,DlSh,1,0.2694301256218253,1,1,1,0.840354767,0.67405765,False,rank_1to4_pm1,rank_1to4,cardinal
23,23,99,False,71,126,DlPd,PdDl,,TotalConflict,"1,2,3,4","4,3,2,1","1,3,2,4","4,2,3,1",1,1,1,0,P23,P99,DD,DD,A1,A1,D2,D2,0.858093126,0.815964523,0.141906874,0.184035477,0.5892,0.6888,3,0.2774774774774775,0.2869554046024634,0.1335401366752273,0.0414171358445124,45;160;165,0.1702113392960167,DlPd,1,0.3849001794597504,1,1,0,0.858093126,0.815964523,True,rank_1to4_pm1,rank_1to4,cardinal
24,24,100,False,117,106,PcNc,NcPc,,Concord-Peace,"3,4,2,1","3,4,1,2","2,4,1,3","1,4,2,3",1,1,0,1,P24,P100,DD,DD,A1,A1,D1,D1,0.935698448,0.88691796,0.935698448,0.88691796,0.3443,0.5091,5,0.8861978877633099,0.883267899814818,0.0404486899112126,0.0512493792616692,30;64;98;112;344,0.0496349514264055,PcNc,0,-0.6543303050815759,1,1,0,0.935698448,0.88691796,True,rank_1to4_pm1,rank_1to4,cardinal
25,25,101,False,120,142,PcSh,ShPc,PureAligned,,"3,4,2,1","3,4,2,1","1,4,2,3","1,4,2,3",1,1,0,-1,P25,P101,OD2,OD2,A2,A2,O4,O4,0.922394678,0.498891353,0.922394678,0.498891353,0.3937,1.0,0,,,,,,,PcSh,0,-0.7698003589195012,1,1,1,0.922394678,0.498891353,False,rank_1to4_pm1,rank_1to4,cardinal
26,26,102,False,109,10,PcAs,AsPc,Privileged,,"3,4,2,1","2,4,3,1","1,4,3,2","1,4,2,3",1,1,0,-1,P26,P102,OD2,OD2,A2,A2,O4,O4,0.909090909,0.505543237,0.909090909,0.505543237,0.4395,0.9999,0,,,,,,,PcAs,0,-0.6543303050815759,1,1,1,0.909090909,0.505543237,False,rank_1to4_pm1,rank_1to4,cardinal
27,27,27,True,118,118,PcPc,PcPc,Peace,Peace,"3,4,2,1","1,4,2,3","3,4,2,1","1,4,2,3",1,1,0,1,P27,P27,DD,DD,A1,A1,D1,D1,0.904656319,0.904656319,0.904656319,0.904656319,0.4541,0.4541,1,0.8918918918918919,0.902439024390244,0.0,0.0,12,0.0129555777480071,PcPc,0,-0.3079201435678004,1,1,0,0.904656319,0.904656319,True,rank_1to4_pm1,rank_1to4,cardinal
28,28,103,False,113,58,PcCo,CoPc,Peace-Coordination,,"3,4,2,1","1,4,3,2","2,4,3,1","1,4,2,3",1,1,0,1,P28,P103,OD1,OD1,A1,A1,O4,O4,0.902439024,0.838137472,0.902439024,0.838137472,0.4612,0.6387,12,0.9205310430400546,0.8472239691436495,0.0379040857288609,0.0616641397281314,196;447;554;657;677;23;132;226;244;313;426;439,0.0202456312148386,PcCo,0,-0.4233901974057255,1,1,1,0.902439024,0.838137472,True,rank_1to4_pm1,rank_1to4,cardinal
29,29,104,False,111,34,PcCh,ChPc,SamaritanType,,"3,4,2,1","4,3,1,2","2,3,1,4","1,4,2,3",1,1,0,-1,P29,P104,OD2,OD2,A2,A2,O1,O1,0.911308204,0.463414634,0.911308204,0.536585366,0.4321,0.9961,0,,,,,,,PcCh,0,-0.5388602512436508,1,1,1,0.911308204,0.46341463400000005,False,rank_1to4_pm1,rank_1to4,cardinal
30,30,105,False,119,130,PcPd,PdPc,ImpureAltruist,,"3,4,2,1","4,3,2,1","1,3,2,4","1,4,2,3",1,1,0,0,P30,P105,DD,DD,A1,A1,D3,D3,0.875831486,0.855875831,0.875831486,0.144124169,0.5412,0.5949,5,0.9051513388439084,0.2621121351290322,0.0244716058371654,0.1227961496115667,151;185;508;18;77,0.1215763707389478,PcPd,0,-0.6543303050815759,1,1,0,0.875831486,0.855875831,True,rank_1to4_pm1,rank_1to4,cardinal
31,31,106,False,46,112,CmPc,PcCm,,Benevolent,"2,1,3,4","1,4,2,3","3,4,2,1","4,1,3,2",1,1,1,1,P31,P106,DD,DD,A1,A1,D3,D3,0.911308204,0.88248337,0.0886917959999999,0.88248337,0.4321,0.5222,5,0.1122627780009159,0.9262738577212264,0.1041948408415712,0.0803032618058204,166;261;184;278;730,0.0497312578500723,CmPc,1,-0.0769800358919501,1,1,0,0.9113082040000001,0.88248337,True,rank_1to4_pm1,rank_1to4,cardinal
32,32,107,False,44,88,CmHr,HrCm,Compromise-Hero,,"2,1,3,4","4,1,2,3","3,1,2,4","4,1,3,2",1,1,1,0,P32,P107,OD2,OD2,A2,A2,O2,O2,0.935698448,0.682926829,0.0643015519999999,0.317073171,0.3443,0.9012,13,0.1510894762826194,0.4105496222963942,0.0840559209791684,0.1175688175753227,42;105;123;134;272;474;500;354;382;388;425;437;717,0.1275538739053144,CmHr,1,-0.4233901974057255,1,1,1,0.9356984480000001,0.317073171,True,rank_1to4_pm1,rank_1to4,cardinal
33,33,108,False,38,16,CmBa,BaCm,Protector,,"2,1,3,4","4,2,1,3","3,2,1,4","4,1,3,2",1,1,1,-1,P33,P108,OD1,OD1,A1,A1,O2,O2,0.889135255,0.279379157,0.1108647449999999,0.7206208430000001,0.5025,0.8546,0,,,,,,,CmBa,1,-0.1924500897298753,1,1,1,0.8891352550000001,0.7206208430000001,False,rank_1to4_pm1,rank_1to4,cardinal
34,34,109,False,110,22,PcBa,BaPc,Generous,,"3,4,2,1","4,2,1,3","3,2,1,4","1,4,2,3",1,1,0,-1,P34,P109,OD2,OD2,A2,A2,O1,O1,0.915742794,0.505543237,0.915742794,0.4944567629999999,0.417,0.9999,0,,,,,,,PcBa,0,-0.1924500897298753,1,1,1,0.915742794,0.5055432370000001,False,rank_1to4_pm1,rank_1to4,cardinal
35,35,110,False,41,52,CmCo,CoCm,,Coordination-Compromise,"2,1,3,4","1,4,3,2","2,4,3,1","4,1,3,2",1,1,1,1,P35,P110,OD2,OD2,A2,A2,O3,O3,0.926829268,0.636363636,0.073170732,0.636363636,0.3776,0.9457,14,0.1201171792265922,0.6851778239641357,0.0958726460088179,0.1132774905023829,40;72;142;334;431;586;146;532;583;624;731;762;795;810,0.0677258728537121,CmCo,1,0.0384900179459749,1,1,1,0.926829268,0.363636364,True,rank_1to4_pm1,rank_1to4,cardinal
36,36,36,True,40,40,CmCm,CmCm,Compromise,Compromise,"2,1,3,4","4,1,3,2","2,1,3,4","4,1,3,2",1,1,1,0,P36,P36,DD,DD,A1,A1,D2,D2,0.898004435,0.898004435,0.1019955649999999,0.1019955649999999,0.4753,0.4753,2,0.2069264069264069,0.1930894308943089,0.050201520395928,0.0373674315261183,6;188,0.1389552949367348,CmCm,1,-0.3079201435678004,1,1,0,0.898004435,0.898004435,True,rank_1to4_pm1,rank_1to4,cardinal
37,37,111,False,45,100,CmNc,NcCm,,Hostage,"2,1,3,4","3,4,1,2","2,4,1,3","4,1,3,2",1,1,1,1,P37,P111,DD,DD,A1,A1,D3,D3,0.853658537,0.840354767,0.1463414629999999,0.840354767,0.6006,0.6335,5,0.2290156271391969,0.8166917293233082,0.0821231260252332,0.0751795316902373,356;649;686;41;213,0.085993934484959,CmNc,1,0.2694301256218253,1,1,0,0.853658537,0.840354767,True,rank_1to4_pm1,rank_1to4,cardinal
38,38,112,False,39,28,CmCh,ChCm,UnfairType,,"2,1,3,4","4,3,1,2","2,3,1,4","4,1,3,2",1,1,1,-1,P38,P112,OD1,OD1,A1,A1,O2,O2,0.813747228,0.310421286,0.186252772,0.689578714,0.6936,0.8937,0,,,,,,,CmCh,1,0.1539600717839002,1,1,1,0.813747228,0.689578714,False,rank_1to4_pm1,rank_1to4,cardinal
39,39,113,False,116,94,PcHr,HrPc,Peace-Hero,,"3,4,2,1","4,1,2,3","3,1,2,4","1,4,2,3",1,1,0,0,P39,P113,OD1,OD1,A1,A1,O1,O1,0.884700665,0.862527716,0.884700665,0.137472284,0.5157,0.5776,10,0.9125907091985508,0.140144801474389,0.0463995074498447,0.0915799718521643,15;241;336;470;654;599;694;725;778;844,0.0280177963988611,PcHr,0,0.0384900179459749,1,1,1,0.884700665,0.862527716,True,rank_1to4_pm1,rank_1to4,cardinal
40,40,114,False,37,4,CmAs,AsCm,,2ndBest,"2,1,3,4","2,4,3,1","1,4,3,2","4,1,3,2",1,1,1,-1,P40,P114,OD1,OD1,A1,A1,O3,O3,0.904656319,0.195121951,0.095343681,0.195121951,0.4541,0.7121,0,,,,,,,CmAs,1,0.2694301256218253,1,1,1,0.904656319,0.804878049,False,rank_1to4_pm1,rank_1to4,cardinal
41,41,115,False,48,136,CmSh,ShCm,,BigBully,"2,1,3,4","3,4,2,1","1,4,2,3","4,1,3,2",1,1,1,-1,P41,P115,OD1,OD1,A1,A1,O3,O3,0.824833703,0.246119734,0.1751662969999999,0.246119734,0.6694,0.8051,0,,,,,,,CmSh,1,0.3849001794597504,1,1,1,0.8248337030000001,0.753880266,False,rank_1to4_pm1,rank_1to4,cardinal
42,42,116,False,47,124,CmPd,PdCm,,Misery,"2,1,3,4","4,3,2,1","1,3,2,4","4,1,3,2",1,1,1,0,P42,P116,DD,DD,A1,A1,D2,D2,0.840354767,0.880266075,0.159645233,0.119733925,0.6335,0.5286,5,0.2657430340557275,0.0927189514553359,0.0982669744570254,0.0491453215697995,85;117;111;163;293,0.1094831136955815,CmPd,1,0.2694301256218253,1,1,0,0.840354767,0.880266075,True,rank_1to4_pm1,rank_1to4,cardinal
