unique_id,game_id,role,topology_raw,up_choice,has_ties,cardinal_p1,cardinal_p2,ordinal_p1,ordinal_p2,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,up_choice_canonical
53,27,rowplayer,"('assurance', 'harmony')",0.7777777777777778,False,"34,13,19,24","19,10,12,1","4,1,2,3","4,2,3,1",7.0,False,True,P1,0.7777777777777778
54,27,colplayer,"('harmony', 'assurance')",0.8787878787878788,False,"19,12,10,1","34,19,13,24","4,3,2,1","4,2,1,3",73.0,False,True,P1,0.8787878787878788
55,28,rowplayer,"('assurance', 'concord')",0.7906976744186046,False,"33,3,4,12","38,36,2,1","4,1,2,3","4,3,2,1",9.0,False,True,P1,0.7906976744186046
56,28,colplayer,"('concord', 'assurance')",0.9302325581395348,False,"38,2,36,1","33,4,3,12","4,2,3,1","4,2,1,3",97.0,False,True,P1,0.9302325581395348
57,29,rowplayer,"('deadlock', 'assurance')",0.065217391,False,"7,4,15,14","13,6,2,10","2,1,4,3","4,2,1,3",61.0,False,True,P1,0.065217391
58,29,colplayer,"('assurance', 'deadlock')",0.2777777777777778,False,"13,2,6,10","7,15,4,14","4,1,2,3","2,4,1,3",6.0,False,True,P1,0.2777777777777778
59,30,rowplayer,"('peace', 'concord')",0.9473684210526316,False,"24,23,4,11","18,14,7,1","4,3,1,2","4,3,2,1",117.0,False,True,P1,0.9473684210526316
60,30,colplayer,"('concord', 'peace')",0.9183673469387756,False,"18,7,14,1","24,4,23,11","4,2,3,1","4,1,3,2",106.0,False,True,P1,0.9183673469387756
61,31,rowplayer,"('deadlock', 'staghunt')",0.1515151515151515,False,"3,1,28,11","10,4,2,3","2,1,4,3","4,3,1,2",72.0,False,True,P1,0.1515151515151515
62,31,colplayer,"('staghunt', 'deadlock')",0.5454545454545454,False,"10,2,4,3","3,28,1,11","4,1,3,2","2,4,1,3",138.0,False,True,P1,0.5454545454545454
63,32,rowplayer,"('assurance', 'staghunt')",0.6666666666666666,False,"31,2,9,12","18,11,3,10","4,1,2,3","4,3,1,2",12.0,False,True,P1,0.6666666666666666
64,32,colplayer,"('staghunt', 'assurance')",0.6944444444444444,False,"18,3,11,10","31,9,2,12","4,1,3,2","4,2,1,3",133.0,False,True,P1,0.6944444444444444
65,33,rowplayer,"('staghunt', 'concord')",0.6285714285714286,True,"39,3,17,17","48,37,11,6",,,,,,,
66,33,colplayer,"('concord', 'staghunt')",0.9285714285714286,True,"48,11,37,6","39,17,3,17",,,,,,,
67,34,rowplayer,"('harmony', 'peace')",0.9333333333333332,True,"31,10,6,1","8,4,8,7",,,,,,,
68,34,colplayer,"('peace', 'harmony')",0.8823529411764706,True,"8,8,4,7","31,6,10,1",,,,,,,
69,35,rowplayer,"('hero', 'safecoord')",0.076923077,True,"4,13,32,13","11,1,9,10",,,,,,,
70,35,colplayer,"('safecoord', 'hero')",0.8297872340425532,True,"11,9,1,10","4,32,13,13",,,,,,,
71,36,rowplayer,"('hero', 'leader')",0.1666666666666666,True,"2,8,45,4","1,10,9,1",,,,,,,
72,36,colplayer,"('leader', 'hero')",0.5757575757575758,True,"1,9,10,1","2,45,8,4",,,,,,,
73,37,rowplayer,"('concord', 'deadlock')",0.8541666666666666,True,"19,8,16,2","11,38,6,11",,,,,,,
74,37,colplayer,"('deadlock', 'concord')",0.1428571428571428,True,"11,6,38,11","19,16,8,2",,,,,,,
75,38,rowplayer,"('concord', 'deadlock')",0.9230769230769232,False,"24,4,21,1","20,33,2,29","4,2,3,1","2,4,1,3",102.0,False,True,P1,0.9230769230769232
76,38,colplayer,"('deadlock', 'concord')",0.3513513513513513,False,"20,2,33,29","24,21,4,1","2,1,4,3","4,3,2,1",69.0,False,True,P1,0.3513513513513513
77,39,rowplayer,"('chicken', 'dilemma')",0.55,False,"13,3,22,1","14,22,4,10","3,2,4,1","3,4,1,2",35.0,False,True,P1,0.55
78,39,colplayer,"('dilemma', 'chicken')",0.3888888888888889,False,"14,4,22,10","13,22,3,1","3,1,4,2","3,4,2,1",123.0,False,True,P1,0.3888888888888889
79,40,rowplayer,"('compromise', 'safecoord')",0.032258065,False,"2,13,42,22","40,7,24,28","1,2,4,3","4,1,2,3",41.0,False,True,P1,0.032258065
80,40,colplayer,"('safecoord', 'compromise')",0.7567567567567568,False,"40,24,7,28","2,42,13,22","4,2,1,3","1,4,2,3",52.0,False,True,P1,0.7567567567567568
81,41,rowplayer,"('concord', 'compromise')",0.6842105263157895,False,"19,5,6,3","4,23,15,18","4,2,3,1","1,4,2,3",100.0,False,True,P1,0.6842105263157895
82,41,colplayer,"('compromise', 'concord')",0.3421052631578947,False,"4,15,23,18","19,6,5,3","1,2,4,3","4,3,2,1",45.0,False,True,P1,0.3421052631578947
83,42,rowplayer,"('compromise', 'hero')",0.071428571,False,"2,3,16,11","8,20,18,10","1,2,4,3","1,4,3,2",44.0,False,True,P1,0.071428571
84,42,colplayer,"('hero', 'compromise')",0.5,False,"8,18,20,10","2,16,3,11","1,3,4,2","1,4,2,3",88.0,False,True,P1,0.5
85,43,rowplayer,"('hero', 'hero')",0.1666666666666666,False,"3,13,39,8","1,29,24,8","1,3,4,2","1,4,3,2",92.0,False,True,P1,0.1666666666666666
86,43,colplayer,"('hero', 'hero')",0.5,False,"1,24,29,8","3,39,13,8","1,3,4,2","1,4,3,2",92.0,False,True,P1,0.5
87,44,rowplayer,"('hero', 'staghunt')",0.3529411764705882,True,"1,12,22,3","24,23,4,4",,,,,,,
88,44,colplayer,"('staghunt', 'hero')",0.5151515151515151,True,"24,4,23,4","1,22,12,3",,,,,,,
89,45,rowplayer,"('dilemma', 'deadlock')",0.2424242424242424,False,"18,2,47,5","4,9,3,6","3,1,4,2","2,4,1,3",126.0,False,True,P1,0.2424242424242424
90,45,colplayer,"('deadlock', 'dilemma')",0.4,False,"4,3,9,6","18,47,2,5","2,1,4,3","3,4,1,2",71.0,False,True,P1,0.4
91,46,rowplayer,"('staghunt', 'deadlock')",0.7428571428571429,False,"28,5,12,6","6,31,2,14","4,1,3,2","2,4,1,3",138.0,False,True,P1,0.7428571428571429
