model,mode,layer,variant,component,mean_slope,ci_lo,ci_hi,n_games,pct_beh_flip
llama31_instruct,h2_choice,65,random,canon,0.02212854938271605,0.004689405864197533,0.03837412808641977,54,81.48148148148148
llama31_instruct,h2_choice,65,random,beh,0.026234567901234556,-0.060185185185185196,0.11269290123456806,54,81.48148148148148
llama31_instruct,h2_choice,79,main,letter,-2.0368694444444437,-2.06604125,-2.0052829128086413,54,100.0
llama31_instruct,h2_choice,79,main,canon,-0.009329012345679025,-0.036039251543209895,0.01742538580246913,54,100.0
llama31_instruct,h2_choice,79,main,beh,-0.06172839506172846,-0.11882716049382724,-0.004629629629629662,54,100.0
llama31_instruct,h2_choice,79,main_perp,letter,0.01751805555555554,0.011512133487654301,0.02352397762345679,54,70.37037037037037
llama31_instruct,h2_choice,79,main_perp,canon,-0.015200771604938268,-0.022846712962962968,-0.007482372685185185,54,70.37037037037037
llama31_instruct,h2_choice,79,main_perp,beh,-0.013888888888888892,-0.05246913580246913,0.020061728395061724,54,70.37037037037037
llama31_instruct,h2_choice,79,random,letter,-0.8062195987654319,-0.8368909529320986,-0.7748343634259258,54,100.0
llama31_instruct,h2_choice,79,random,canon,-0.01752824074074075,-0.04557060956790125,0.010691207561728394,54,100.0
llama31_instruct,h2_choice,79,random,beh,-0.13580246913580243,-0.3133101851851853,0.037075617283950785,54,100.0
qwen,h1_dinc,65,main,letter,1.1146996913580247,1.1078408063271605,1.1215263040123458,54,100.0
qwen,h1_dinc,65,main,canon,0.0138219135802469,0.003617777777777771,0.024188209876543208,54,100.0
qwen,h1_dinc,65,main,beh,0.0694444444444444,-0.0030864197530864404,0.1435185185185184,54,100.0
qwen,h1_dinc,65,main_perp,letter,1.1034626543209878,1.0967718634259258,1.1103674691358023,54,100.0
qwen,h1_dinc,65,main_perp,canon,0.011950617283950615,0.0018816049382715987,0.021886134259259275,54,100.0
qwen,h1_dinc,65,main_perp,beh,0.0540123456790123,-0.015470679012345737,0.12191358024691352,54,100.0
qwen,h1_dinc,65,random,letter,0.014904783950617286,0.009699336419753082,0.020023557098765438,54,79.62962962962963
qwen,h1_dinc,65,random,canon,0.0009871913580246862,-0.004795976080246908,0.006555914351851851,54,79.62962962962963
qwen,h1_dinc,65,random,beh,0.05246913580246914,-0.013888888888888885,0.1234567901234568,54,79.62962962962963
qwen,h1_dinc,79,main,letter,0.9006067901234568,0.890950073302469,0.9095606018518518,54,100.0
qwen,h1_dinc,79,main,canon,0.003485185185185183,-0.0036043518518518443,0.010786176697530861,54,100.0
qwen,h1_dinc,79,main,beh,0.05401234567901233,-0.02160493827160496,0.1296296296296296,54,100.0
qwen,h1_dinc,79,main_perp,letter,0.002362654320987644,-0.001117827932098774,0.005687422839506169,54,75.92592592592592
qwen,h1_dinc,79,main_perp,canon,0.0010240740740740716,-0.0024422415123456823,0.004687935956790129,54,75.92592592592592
qwen,h1_dinc,79,main_perp,beh,0.001543209876543222,-0.03244598765432097,0.033989197530864365,54,75.92592592592592
qwen,h1_dinc,79,random,letter,-0.02877978395061728,-0.032248090277777766,-0.025134112654320986,54,79.62962962962963
qwen,h1_dinc,79,random,canon,-0.0019520061728395095,-0.005894490740740746,0.001976107253086419,54,79.62962962962963
qwen,h1_dinc,79,random,beh,0.021604938271604944,-0.009259259259259245,0.05555555555555554,54,79.62962962962963
qwen,h2_choice,65,main,letter,-0.5323771604938271,-0.5458546064814814,-0.5194774112654321,54,100.0
qwen,h2_choice,65,main,canon,0.0405929012345679,0.023808317901234576,0.05824458719135802,54,100.0
qwen,h2_choice,65,main,beh,-0.0802469135802469,-0.23611111111111105,0.08024691358024691,54,100.0
qwen,h2_choice,65,main_perp,letter,-0.5229006172839505,-0.5352419521604936,-0.5111109336419752,54,100.0
qwen,h2_choice,65,main_perp,canon,0.04206512345679013,0.024961523919753096,0.060006496913580266,54,100.0
