model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen_instruct,h1_dinc,65,main,CoAs,CO2,1.0,1.26255,0.6275000000000001,0.4392833333333333,0.3022,0.9999999999999999,0.75,1
qwen_instruct,h1_dinc,65,main,CoCo,CO1,1.0,1.3184083333333336,0.6705500000000001,0.33619166666666656,0.29785000000000006,1.083333333333333,0.5,1
qwen_instruct,h1_dinc,65,main,CoSh,CO2,1.0,1.1082583333333333,0.548125,0.5214749999999999,0.3015,1.0833333333333333,0.5,1
qwen_instruct,h1_dinc,65,main,HaAs,OD2,2.0,0.6808416666666666,0.3523,0.4365083333333333,0.2738750000000001,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main,HaBa,OD2,2.0,0.9300249999999999,0.498775,-0.04804166666666679,0.2356,0.4166666666666666,0.25,1
qwen_instruct,h1_dinc,65,main,HaCm,DD,2.0,1.2254583333333335,0.6319500000000001,-0.007574999999999953,0.25417499999999993,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main,HaDl,DD,2.0,0.8749416666666664,0.471675,0.1071583333333333,0.2304,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main,HaHa,DD,2.0,0.7183333333333335,0.38455000000000006,0.3128166666666665,0.25655,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main,HaNc,DD,2.0,0.6830083333333332,0.377925,0.16039166666666643,0.21584999999999996,0.0,0.0,1
qwen_instruct,h1_dinc,65,main,HaPc,DD,2.0,0.8726416666666665,0.462575,0.27317499999999995,0.270875,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main,HrAs,MP,1.0,1.3223166666666666,0.6786749999999999,0.23575,0.2635,0.6666666666666664,0.5,1
qwen_instruct,h1_dinc,65,main,HrBa,CO1,1.0,1.0570333333333333,0.558425,0.16794999999999993,0.26455000000000006,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main,HrCh,CO1,1.0,0.9352083333333331,0.49195,0.29125833333333323,0.28605,0.4166666666666666,0.5,1
qwen_instruct,h1_dinc,65,main,HrHr,CO2,1.0,1.1795833333333332,0.616375,0.1198499999999999,0.25980000000000003,0.4166666666666666,0.5,1
qwen_instruct,h1_dinc,65,main,ShAs,CO1,0.0,1.4884666666666666,0.7859499999999999,-0.05791666666666664,0.03809999999999998,0.0,0.0,1
qwen_instruct,h1_dinc,65,main,ShCo,CO2,0.0,1.3824083333333335,0.71745,0.17284166666666667,0.10089999999999999,0.41666666666666663,0.25,1
qwen_instruct,h1_dinc,65,main,ShSh,CO1,0.0,1.4885416666666667,0.784,0.08115833333333335,0.040050000000000016,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,AsAs,CO1,0.0,1.5598249999999996,0.8220249999999999,-0.049358333333333365,0.045325000000000004,-0.16666666666666669,0.25,1
