model,mode,steer_layer,variant,game_code,counterbalance_id,range_letter,range_act0,range_canon,flip_letter,flip_action,flip_canon,family,wave
llama31_instruct,h1_dinc,65,main,ChAs,1,0.7024999999999999,0.7024999999999999,0.7024999999999999,1,1,1,MP,7
llama31_instruct,h1_dinc,65,main,ChAs,2,0.7725,0.7725,0.7725,1,1,1,MP,7
llama31_instruct,h1_dinc,65,main,ChAs,3,0.7594000000000001,0.7594,0.7594,1,1,1,MP,7
llama31_instruct,h1_dinc,65,main,ChBa,0,0.8043,0.8043,0.8043,1,1,1,CO2,5
llama31_instruct,h1_dinc,65,main,ChBa,1,0.717,0.717,0.717,1,1,1,CO2,5
llama31_instruct,h1_dinc,65,main,ChBa,2,0.7916,0.7916,0.7916,1,1,1,CO2,5
llama31_instruct,h1_dinc,65,main,ChBa,3,0.7599,0.7599,0.7599,1,1,1,CO2,5
llama31_instruct,h1_dinc,65,main,ChCh,0,0.7677,0.7677,0.7677,1,1,1,CO2,6
llama31_instruct,h1_dinc,65,main,ChCh,1,0.7020000000000001,0.7020000000000001,0.7020000000000001,1,1,1,CO2,6
llama31_instruct,h1_dinc,65,main,ChCh,2,0.8065,0.8065,0.8065,1,1,1,CO2,6
llama31_instruct,h1_dinc,65,main,ChCh,3,0.7042,0.7042,0.7042,1,1,1,CO2,6
llama31_instruct,h1_dinc,65,main,ChCm,0,0.7352,0.7352,0.7352,1,1,1,OD1,7
llama31_instruct,h1_dinc,65,main,ChCm,1,0.7497,0.7497,0.7497,1,1,1,OD1,7
llama31_instruct,h1_dinc,65,main,ChCm,2,0.7753,0.7753,0.7753,1,1,1,OD1,7
llama31_instruct,h1_dinc,65,main,ChCm,3,0.7857,0.7857,0.7857,1,1,1,OD1,7
llama31_instruct,h1_dinc,65,main,ChCo,0,0.7916,0.7916,0.7916,1,1,1,MP,9
llama31_instruct,h1_dinc,65,main,ChCo,1,0.7042,0.7042,0.7042,1,1,1,MP,9
llama31_instruct,h1_dinc,65,main,ChCo,2,0.7602,0.7602,0.7602,1,1,1,MP,9
llama31_instruct,h1_dinc,65,main,ChCo,3,0.7503,0.7503,0.7503,1,1,1,MP,9
llama31_instruct,h1_dinc,65,main,ChDl,0,0.7677,0.7677,0.7677,1,1,1,OD1,9
llama31_instruct,h1_dinc,65,main,ChDl,1,0.7324,0.7324,0.7324,1,1,1,OD1,9
llama31_instruct,h1_dinc,65,main,ChDl,2,0.7501,0.7501,0.7501,1,1,1,OD1,9
llama31_instruct,h1_dinc,65,main,ChDl,3,0.7225,0.7225,0.7225,1,1,1,OD1,9
llama31_instruct,h1_dinc,65,main,ChHa,0,0.7421,0.7421,0.7421000000000001,1,1,1,OD2,8
llama31_instruct,h1_dinc,65,main,ChHa,1,0.7024999999999999,0.7024999999999999,0.7024999999999999,1,1,1,OD2,8
llama31_instruct,h1_dinc,65,main,ChHa,2,0.633,0.633,0.633,1,1,1,OD2,8
llama31_instruct,h1_dinc,65,main,ChHa,3,0.7352,0.7352,0.7352,1,1,1,OD2,8
llama31_instruct,h1_dinc,65,main,ChHr,0,0.8209,0.8209,0.8209,1,1,1,CO1,6
llama31_instruct,h1_dinc,65,main,ChHr,1,0.7105,0.7105,0.7105,1,1,1,CO1,6
llama31_instruct,h1_dinc,65,main,ChHr,2,0.7442,0.7442,0.7442,1,1,1,CO1,6
llama31_instruct,h1_dinc,65,main,ChHr,3,0.7668,0.7668,0.7668,1,1,1,CO1,6
llama31_instruct,h1_dinc,65,main,CmAs,0,0.6383,0.6383,0.6383,1,1,1,OD1,8
llama31_instruct,h1_dinc,65,main,CmAs,1,0.5623,0.5623,0.5622999999999999,1,1,1,OD1,8
llama31_instruct,h1_dinc,65,main,CmAs,2,0.31189999999999996,0.31189999999999996,0.31189999999999996,0,0,0,OD1,8
llama31_instruct,h1_dinc,65,main,CmAs,3,0.482,0.482,0.482,1,1,1,OD1,8
