model,mode,steer_layer,variant,game_code,d_letter_slope,d_letter_range,d_letter_at_pos025,d_letter_at_neg025,d_act0_slope,d_act0_range,d_act0_at_pos025,d_act0_at_neg025,d_canon_slope,d_canon_range,d_canon_at_pos025,d_canon_at_neg025,d_beh_letter_slope,d_beh_letter_range,d_beh_letter_at_pos025,d_beh_letter_at_neg025,d_beh_act0_slope,d_beh_act0_range,d_beh_act0_at_pos025,d_beh_act0_at_neg025,d_beh_canon_slope,d_beh_canon_range,d_beh_canon_at_pos025,d_beh_canon_at_neg025,wave,family,num_pure_ne,complexity_score,payoff_conflict
llama31_instruct,h1_dinc,65,main,BaHa,1.4963166666666667,0.719425,0.33175,-0.387675,0.045566666666666665,0.08474999999999999,0.08180000000000001,0.06607500000000002,-0.045566666666666665,0.08474999999999999,-0.08180000000000001,-0.06607500000000002,2.333333333333333,1.0,0.25,-0.75,0.16666666666666674,0.25,0.25,0.25,-0.16666666666666674,0.25,-0.25,-0.25,2,OD2,1,0.048014323385306,0.6000000000000001
llama31_instruct,h1_dinc,65,main,BaHr,1.6053916666666666,0.7597,0.363225,-0.39647499999999997,0.05550833333333324,0.10142499999999997,0.10142499999999997,0.07767500000000002,0.05550833333333324,0.10142499999999997,0.10142499999999997,0.07767500000000002,2.333333333333333,1.0,0.5,-0.5,0.166666666666667,0.5,0.5,0.5,0.166666666666667,0.5,0.5,0.5,5,CO1,2,0.069651690163614,0.3999999999999999
llama31_instruct,h1_dinc,65,main,BaNc,1.580825,0.7577,0.45877500000000004,-0.298925,-0.08672499999999993,0.08597499999999997,0.050274999999999986,0.07967499999999997,0.08672499999999998,0.08597499999999997,-0.050274999999999986,-0.07967499999999997,2.333333333333333,1.0,0.75,-0.25,-0.1666666666666666,0.25,0.25,0.25,0.1666666666666666,0.25,-0.25,-0.25,4,OD2,1,0.1634843772232312,0.8
llama31_instruct,h1_dinc,65,main,BaPc,1.6332833333333332,0.767325,0.34809999999999997,-0.419225,0.021433333333333228,0.03894999999999996,0.03894999999999996,0.032625000000000015,-0.021433333333333273,0.03894999999999996,-0.03894999999999996,-0.03262499999999999,2.499999999999999,1.0,0.25,-0.75,2.3115197751421316e-17,0.25,0.25,0.25,-2.3115197751421316e-17,0.25,-0.25,-0.25,6,OD2,1,0.2789544310611563,1.0
llama31_instruct,h1_dinc,65,main,BaPd,1.4739666666666666,0.728625,0.524975,-0.20365,0.029816666666666627,0.02234999999999998,0.015924999999999995,-0.00569999999999999,0.029816666666666627,0.02234999999999998,0.015924999999999995,-0.00569999999999999,1.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,OD1,1,0.3944244848990815,1.2
llama31_instruct,h1_dinc,65,main,BaSh,1.5605166666666663,0.7545999999999999,0.461075,-0.293525,-0.042633333333333384,0.07777500000000001,0.06752499999999995,0.07387499999999998,-0.042633333333333384,0.07777500000000001,0.06752499999999995,0.07387499999999998,2.1666666666666665,1.0,0.75,-0.25,-0.1666666666666666,0.25,0.25,0.25,-0.1666666666666666,0.25,0.25,0.25,5,MP,0,0.3368858560744445,1.4
llama31_instruct,h1_dinc,65,main,ChAs,1.5963333333333332,0.757625,0.38532500000000003,-0.37229999999999996,-0.020783333333333303,0.1009,0.08312499999999999,0.09144999999999998,-0.020783333333333303,0.1009,0.08312499999999999,0.09144999999999998,2.416666666666666,1.0,0.5,-0.5,-0.08333333333333309,0.5,0.5,0.5,-0.08333333333333309,0.5,0.5,0.5,7,MP,0,0.3368858560744445,1.4
llama31_instruct,h1_dinc,65,main,ChBa,1.5923083333333337,0.7682,0.4265,-0.3417,-0.03712500000000001,0.03250000000000003,-0.004249999999999976,0.003300000000000025,-0.03712500000000001,0.03250000000000003,-0.004249999999999976,0.003300000000000025,2.5,1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,CO2,2,0.1562542305420579,0.6000000000000001
llama31_instruct,h1_dinc,65,main,ChCh,1.5584416666666667,0.7451000000000001,0.44315000000000004,-0.30195,-0.02337499999999999,0.012200000000000016,0.0009500000000000064,0.011200000000000015,-0.02337499999999999,0.012200000000000016,0.0009500000000000064,0.011200000000000015,2.5,1.0,0.75,-0.25,-2.3115197751421316e-17,0.25,-0.25,-0.25,-2.3115197751421316e-17,0.25,-0.25,-0.25,6,CO2,2,0.2428567709205017,0.8
llama31_instruct,h1_dinc,65,main,ChCm,1.5954333333333333,0.7614749999999999,0.35429999999999995,-0.407175,-0.026083333333333333,0.02027499999999996,-0.0014999999999999736,0.017525000000000013,-0.026083333333333333,0.02027499999999996,-0.0014999999999999736,0.017525000000000013,2.499999999999999,1.0,0.25,-0.75,-2.3115197751421316e-17,0.25,-0.25,-0.25,-2.3115197751421316e-17,0.25,-0.25,-0.25,7,OD1,1,0.6253645925749319,1.6
llama31_instruct,h1_dinc,65,main,ChCo,1.5854416666666664,0.751575,0.410125,-0.34145,-0.029041666666666664,0.04272499999999996,0.015874999999999986,0.01954999999999997,-0.029041666666666664,0.04272499999999996,0.015874999999999986,0.01954999999999997,2.4999999999999996,1.0,0.5,-0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,9,MP,0,0.1059457483985941,1.0
llama31_instruct,h1_dinc,65,main,ChDl,1.5703833333333335,0.743175,0.33875000000000005,-0.404425,0.007116666666666666,0.03755,0.022749999999999992,0.015874999999999986,0.007116666666666666,0.03755,0.022749999999999992,0.015874999999999986,2.583333333333333,1.0,0.25,-0.75,0.0833333333333334,0.25,0.25,0.25,0.0833333333333334,0.25,0.25,0.25,9,OD1,1,0.7408346464128569,1.7999999999999998
llama31_instruct,h1_dinc,65,main,ChHa,1.4713916666666662,0.7031999999999999,0.32284999999999997,-0.38034999999999997,0.07554166666666667,0.11890000000000002,0.11890000000000002,0.09980000000000003,-0.07554166666666667,0.11890000000000003,-0.11890000000000003,-0.09980000000000003,2.333333333333333,1.0,0.5,-0.5,0.3333333333333335,0.5,0.5,0.5,-0.3333333333333335,0.5,-0.5,-0.5,8,OD2,1,-0.1829257842905442,0.2
llama31_instruct,h1_dinc,65,main,ChHr,1.601433333333333,0.7605999999999999,0.353575,-0.40702499999999997,0.01975000000000001,0.04889999999999997,0.03167499999999998,0.026574999999999988,0.01975000000000001,0.04889999999999997,0.03167499999999998,0.026574999999999988,2.583333333333333,1.0,0.25,-0.75,0.0833333333333334,0.25,0.25,0.25,0.0833333333333334,0.25,0.25,0.25,6,CO1,2,0.3294593112989456,1.0
llama31_instruct,h1_dinc,65,main,CmAs,0.9716750000000001,0.498625,0.26997499999999997,-0.22865000000000002,0.1930583333333334,0.214275,0.20037500000000003,0.09870000000000001,-0.19305833333333333,0.214275,-0.200375,-0.09870000000000001,1.2499999999999998,0.75,0.5,-0.25,0.41666666666666674,0.5,0.5,0.25,-0.41666666666666674,0.5,-0.5,-0.25,8,OD1,1,0.2694301256218253,1.7999999999999998
llama31_instruct,h1_dinc,65,main,CmCm,1.110333333333333,0.56585,0.301975,-0.263875,0.18641666666666662,0.2181,0.216525,0.11707500000000003,-0.18641666666666667,0.21810000000000002,-0.216525,-0.11707500000000001,1.2499999999999998,0.75,0.5,-0.25,0.41666666666666674,0.5,0.5,0.25,-0.41666666666666674,0.5,-0.5,-0.25,2,DD,1,-0.3079201435678004,0.8
llama31_instruct,h1_dinc,65,main,CmDl,1.082825,0.55925,0.31635,-0.2429,-0.012674999999999968,0.17195000000000002,0.17195000000000002,0.16335000000000002,0.012675000000000014,0.17195000000000002,-0.17195000000000002,-0.16335000000000005,1.6666666666666663,1.0,0.5,-0.5,4.623039550284263e-17,0.5,0.5,0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,4,DD,1,0.0384900179459749,1.4
llama31_instruct,h1_dinc,65,main,CmHa,1.1820499999999998,0.59365,0.31794999999999995,-0.2757,0.2044166666666667,0.22267499999999996,0.21189999999999995,0.11619999999999998,-0.20441666666666666,0.22267499999999998,-0.21189999999999995,-0.11619999999999997,1.2499999999999998,0.75,0.5,-0.25,0.41666666666666674,0.5,0.5,0.25,-0.41666666666666674,0.5,-0.5,-0.25,6,DD,1,0.0384900179459749,1.4
llama31_instruct,h1_dinc,65,main,CmNc,1.1461833333333333,0.58955,0.31297499999999995,-0.276575,0.1276500000000001,0.221725,0.221725,0.146625,-0.1276500000000001,0.221725,-0.221725,-0.146625,1.2499999999999998,0.75,0.5,-0.25,0.41666666666666674,0.5,0.5,0.25,-0.41666666666666674,0.5,-0.5,-0.25,8,DD,1,0.2694301256218253,1.7999999999999998
