model,mode,steer_layer,variant,family,n_games,d_letter_slope_mean,d_letter_range_mean,d_canon_slope_mean,d_canon_range_mean,d_beh_canon_slope_mean,d_beh_canon_range_mean,flip_canon_rate,cell_canon_range_mean
llama31_instruct,h1_dinc,79,random,CO2,9,-0.838149074074074,0.4068388888888889,-0.05866574074074075,0.06101944444444445,-0.34259259259259256,0.4166666666666667,0.6944444444444444,0.4068388888888889
llama31_instruct,h1_dinc,79,random,DD,9,-0.6421398148148147,0.3184722222222222,-0.042649074074074124,0.10765555555555556,-0.2777777777777778,0.2222222222222222,0.2222222222222222,0.3184722222222222
llama31_instruct,h1_dinc,79,random,MP,9,-0.8732435185185184,0.4234166666666666,0.027993518518518532,0.05209444444444444,0.2037037037037038,0.3888888888888889,0.8888888888888888,0.42341666666666666
llama31_instruct,h1_dinc,79,random,OD1,9,-0.8157092592592592,0.399825,0.07267592592592592,0.05081111111111111,0.3796296296296296,0.2777777777777778,0.6666666666666666,0.399825
llama31_instruct,h1_dinc,79,random,OD2,9,-0.839248148148148,0.4076833333333333,-0.03518148148148152,0.05914166666666666,-0.20370370370370383,0.3888888888888889,0.7222222222222222,0.40768333333333334
llama31_instruct,h2_choice,65,main,CO1,9,-0.10487777777777776,0.05642222222222223,-0.023301851851851848,0.04153333333333334,-0.17592592592592596,0.16666666666666666,0.16666666666666666,0.07443333333333332
llama31_instruct,h2_choice,65,main,CO2,9,-0.07281296296296294,0.04286944444444444,-0.024294444444444455,0.037366666666666666,-0.08333333333333333,0.19444444444444445,0.19444444444444445,0.06440000000000001
llama31_instruct,h2_choice,65,main,DD,9,-0.046720370370370363,0.031233333333333328,-0.05964629629629628,0.03517499999999999,-0.04629629629629629,0.027777777777777776,0.027777777777777776,0.047224999999999996
llama31_instruct,h2_choice,65,main,MP,9,-0.10549259259259257,0.06237777777777778,0.0454037037037037,0.03564166666666667,0.009259259259259252,0.08333333333333333,0.1111111111111111,0.07687222222222223
llama31_instruct,h2_choice,65,main,OD1,9,-0.08906296296296295,0.05003611111111111,0.043414814814814816,0.04043611111111112,0.1296296296296296,0.1111111111111111,0.1388888888888889,0.06893333333333335
llama31_instruct,h2_choice,65,main,OD2,9,-0.07044814814814816,0.04490833333333334,-0.06461111111111112,0.03838333333333334,-0.03703703703703703,0.08333333333333333,0.1111111111111111,0.07051666666666666
llama31_instruct,h2_choice,65,main_perp,CO1,9,-0.13933240740740738,0.07449166666666666,-0.038524999999999976,0.03457500000000001,-0.09259259259259256,0.1388888888888889,0.19444444444444445,0.08766944444444445
llama31_instruct,h2_choice,65,main_perp,CO2,9,-0.09987870370370368,0.05892222222222221,-0.030017592592592585,0.047174999999999995,0.03703703703703702,0.16666666666666666,0.16666666666666666,0.07714166666666665
llama31_instruct,h2_choice,65,main_perp,DD,9,-0.08098333333333335,0.044225,-0.07475925925925925,0.04092222222222222,-0.08333333333333333,0.05555555555555555,0.05555555555555555,0.058883333333333336
llama31_instruct,h2_choice,65,main_perp,MP,9,-0.16241296296296293,0.08560555555555556,0.05804444444444444,0.04194166666666668,0.03703703703703703,0.1111111111111111,0.1388888888888889,0.09683611111111111
llama31_instruct,h2_choice,65,main_perp,OD1,9,-0.12179629629629628,0.06110277777777779,0.0615277777777778,0.04658055555555556,0.20370370370370366,0.1388888888888889,0.1388888888888889,0.08133611111111112
llama31_instruct,h2_choice,65,main_perp,OD2,9,-0.126962037037037,0.06737222222222222,-0.06709722222222222,0.03774444444444445,-0.13888888888888887,0.1388888888888889,0.16666666666666666,0.08299166666666666
llama31_instruct,h2_choice,65,random,CO1,9,0.17651574074074075,0.09217777777777778,0.06640277777777778,0.04066944444444445,0.1574074074074074,0.1111111111111111,0.1388888888888889,0.09964166666666667
llama31_instruct,h2_choice,65,random,CO2,9,0.16180555555555556,0.08293333333333335,0.04752037037037036,0.033647222222222224,0.05555555555555553,0.1388888888888889,0.2222222222222222,0.09155555555555556
llama31_instruct,h2_choice,65,random,DD,9,0.1074148148148148,0.05550833333333333,0.06285740740740739,0.03637222222222222,0.12037037037037036,0.05555555555555555,0.05555555555555555,0.06294722222222222
llama31_instruct,h2_choice,65,random,MP,9,0.18012685185185184,0.09474166666666667,-0.02560833333333335,0.03361944444444444,0.05555555555555555,0.1111111111111111,0.1388888888888889,0.1038166666666667
llama31_instruct,h2_choice,65,random,OD1,9,0.16328240740740738,0.08413611111111112,-0.050915740740740734,0.03925555555555556,-0.2314814814814815,0.16666666666666666,0.16666666666666666,0.09019166666666667
llama31_instruct,h2_choice,65,random,OD2,9,0.1902351851851852,0.0970527777777778,0.03251481481481484,0.03320555555555557,-1.2335811384723961e-17,0.16666666666666666,0.16666666666666666,0.10014722222222222
llama31_instruct,h2_choice,79,main,CO1,9,-1.251799074074074,0.6049333333333333,-0.08614166666666667,0.08249444444444445,-0.2962962962962963,0.3888888888888889,0.9722222222222222,0.6049333333333334
llama31_instruct,h2_choice,79,main,CO2,9,-1.2691037037037036,0.6120055555555556,-0.07369259259259259,0.08581666666666665,-0.3333333333333333,0.4166666666666667,0.8888888888888888,0.6120055555555557
llama31_instruct,h2_choice,79,main,DD,9,-1.0024462962962961,0.49548888888888887,-0.06361296296296295,0.165575,-0.30555555555555564,0.4722222222222222,0.6666666666666666,0.49548888888888887
llama31_instruct,h2_choice,79,main,MP,9,-1.3002324074074074,0.6241027777777778,0.04148981481481484,0.07597777777777776,0.1666666666666667,0.4444444444444444,0.9722222222222222,0.6241027777777778
llama31_instruct,h2_choice,79,main,OD1,9,-1.2434046296296297,0.5987083333333333,0.1044398148148148,0.07673611111111113,0.35185185185185186,0.3055555555555556,0.8611111111111112,0.5987083333333333
llama31_instruct,h2_choice,79,main,OD2,9,-1.248038888888889,0.6032472222222223,-0.04830925925925924,0.08350833333333335,-0.25000000000000006,0.4166666666666667,0.9166666666666666,0.6032472222222223
llama31_instruct,h2_choice,79,main_perp,CO1,9,0.013342592592592595,0.02708611111111111,-0.01243888888888885,0.023136111111111104,0.03703703703703703,0.05555555555555555,0.05555555555555555,0.03873611111111111
llama31_instruct,h2_choice,79,main_perp,CO2,9,0.015425925925925926,0.0233,-0.00609814814814815,0.02159444444444443,0.03703703703703703,0.05555555555555555,0.05555555555555555,0.03500555555555554
llama31_instruct,h2_choice,79,main_perp,DD,9,0.014278703703703701,0.013330555555555554,-0.020634259259259262,0.03627777777777777,0.0,0.0,0.0,0.040355555555555554
llama31_instruct,h2_choice,79,main_perp,MP,9,0.0034416666666666593,0.02250555555555555,0.005117592592592618,0.02379166666666666,0.0,0.0,0.0,0.035194444444444445
llama31_instruct,h2_choice,79,main_perp,OD1,9,0.019294444444444447,0.02263333333333333,0.0007037037037037133,0.02022222222222221,-0.01851851851851852,0.027777777777777776,0.027777777777777776,0.03407222222222222
llama31_instruct,h2_choice,79,main_perp,OD2,9,0.008437037037037028,0.0251,-0.011812962962962976,0.02511388888888888,0.01851851851851852,0.027777777777777776,0.027777777777777776,0.03870277777777777
llama31_instruct,h2_choice,79,random,CO1,9,-0.8288277777777776,0.4048194444444444,-0.06934259259259258,0.05461944444444443,-0.574074074074074,0.4444444444444444,0.6388888888888888,0.4048194444444444
llama31_instruct,h2_choice,79,random,CO2,9,-0.838149074074074,0.4068388888888889,-0.05866574074074075,0.06101944444444445,-0.34259259259259256,0.4166666666666667,0.6944444444444444,0.4068388888888889
llama31_instruct,h2_choice,79,random,DD,9,-0.6421398148148147,0.3184722222222222,-0.042649074074074124,0.10765555555555556,-0.2777777777777778,0.2222222222222222,0.2222222222222222,0.3184722222222222
llama31_instruct,h2_choice,79,random,MP,9,-0.8732435185185184,0.4234166666666666,0.027993518518518532,0.05209444444444444,0.2037037037037038,0.3888888888888889,0.8888888888888888,0.42341666666666666
llama31_instruct,h2_choice,79,random,OD1,9,-0.8157092592592592,0.399825,0.07267592592592592,0.05081111111111111,0.3796296296296296,0.2777777777777778,0.6666666666666666,0.399825
llama31_instruct,h2_choice,79,random,OD2,9,-0.839248148148148,0.4076833333333333,-0.03518148148148152,0.05914166666666666,-0.20370370370370383,0.3888888888888889,0.7222222222222222,0.40768333333333334
qwen,h1_dinc,65,main,CO1,9,1.037623148148148,0.5107999999999999,0.007067592592592579,0.03923611111111111,0.10185185185185185,0.3333333333333333,0.9722222222222222,0.5108000000000001
qwen,h1_dinc,65,main,CO2,9,1.0156296296296297,0.5029333333333333,-0.00038888888888888805,0.03625277777777779,-0.027777777777777766,0.3611111111111111,1.0,0.5029333333333333
qwen,h1_dinc,65,main,DD,9,0.9905648148148146,0.4911111111111111,0.07541296296296295,0.07868611111111111,0.16666666666666652,0.5,0.9722222222222222,0.491111111111111
qwen,h1_dinc,65,main,MP,9,1.0317527777777777,0.508425,-0.0017361111111111119,0.029697222222222226,-0.03703703703703704,0.2777777777777778,1.0,0.508425
qwen,h1_dinc,65,main,OD1,9,1.0373981481481482,0.5116583333333333,-0.0013722222222222222,0.035625,-0.08333333333333331,0.4166666666666667,0.9722222222222222,0.5116583333333333
