model,mode,steer_layer,variant,game_code,letter_nonzero_rate,letter_dose_aligned_rate_all,letter_dose_aligned_rate_nonzero,act0_nonzero_rate,act0_dose_aligned_rate_all,act0_dose_aligned_rate_nonzero,canon_nonzero_rate,canon_dose_aligned_rate_all,canon_dose_aligned_rate_nonzero
llama31_instruct,h1_dinc,65,main_perp,CmCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CmDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CmHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CmNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CoAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CoCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CoSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaNc,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.5,0.5217391304347826,0.9583333333333334,0.5,0.5217391304347826
llama31_instruct,h1_dinc,65,main_perp,HaPc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HrAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HrBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HrCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HrHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ShAs,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.4583333333333333,0.4782608695652174,0.9583333333333334,0.4583333333333333,0.4782608695652174
llama31_instruct,h1_dinc,65,main_perp,ShCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ShSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,random,AsAs,0.5416666666666666,0.4583333333333333,0.8461538461538461,0.5416666666666666,0.3333333333333333,0.6153846153846154,0.5416666666666666,0.3333333333333333,0.6153846153846154
llama31_instruct,h1_dinc,65,random,AsBa,0.7083333333333334,0.5416666666666666,0.7647058823529411,0.7083333333333334,0.4166666666666667,0.5882352941176471,0.7083333333333334,0.2916666666666667,0.4117647058823529
llama31_instruct,h1_dinc,65,random,AsCh,0.625,0.5,0.8,0.625,0.4166666666666667,0.6666666666666666,0.625,0.20833333333333334,0.3333333333333333
llama31_instruct,h1_dinc,65,random,AsCm,0.75,0.625,0.8333333333333334,0.75,0.5416666666666666,0.7222222222222222,0.75,0.20833333333333334,0.2777777777777778
llama31_instruct,h1_dinc,65,random,AsCo,0.7083333333333334,0.5833333333333334,0.8235294117647058,0.7083333333333334,0.3333333333333333,0.47058823529411764,0.7083333333333334,0.3333333333333333,0.47058823529411764
llama31_instruct,h1_dinc,65,random,AsDl,0.7916666666666666,0.4583333333333333,0.5789473684210527,0.7916666666666666,0.4583333333333333,0.5789473684210527,0.7916666666666666,0.3333333333333333,0.42105263157894735
llama31_instruct,h1_dinc,65,random,AsHa,0.4166666666666667,0.4166666666666667,1.0,0.4166666666666667,0.25,0.6,0.4166666666666667,0.25,0.6
llama31_instruct,h1_dinc,65,random,AsHr,0.75,0.4583333333333333,0.6111111111111112,0.75,0.4583333333333333,0.6111111111111112,0.75,0.2916666666666667,0.3888888888888889
llama31_instruct,h1_dinc,65,random,AsNc,0.7083333333333334,0.625,0.8823529411764706,0.7083333333333334,0.4583333333333333,0.6470588235294118,0.7083333333333334,0.4583333333333333,0.6470588235294118
llama31_instruct,h1_dinc,65,random,AsPc,0.7083333333333334,0.5833333333333334,0.8235294117647058,0.7083333333333334,0.375,0.5294117647058824,0.7083333333333334,0.375,0.5294117647058824
llama31_instruct,h1_dinc,65,random,AsPd,0.625,0.5,0.8,0.625,0.4583333333333333,0.7333333333333333,0.625,0.16666666666666666,0.26666666666666666
llama31_instruct,h1_dinc,65,random,AsSh,0.4166666666666667,0.3333333333333333,0.8,0.4166666666666667,0.20833333333333334,0.5,0.4166666666666667,0.20833333333333334,0.5
llama31_instruct,h1_dinc,65,random,BaAs,0.8333333333333334,0.625,0.75,0.8333333333333334,0.5,0.6,0.8333333333333334,0.5,0.6
llama31_instruct,h1_dinc,65,random,BaBa,0.6666666666666666,0.5833333333333334,0.875,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5
llama31_instruct,h1_dinc,65,random,BaCh,0.5833333333333334,0.4166666666666667,0.7142857142857143,0.5833333333333334,0.2916666666666667,0.5,0.5833333333333334,0.2916666666666667,0.5
llama31_instruct,h1_dinc,65,random,BaCm,0.75,0.625,0.8333333333333334,0.75,0.2916666666666667,0.3888888888888889,0.75,0.2916666666666667,0.3888888888888889
llama31_instruct,h1_dinc,65,random,BaCo,0.7916666666666666,0.5833333333333334,0.7368421052631579,0.7916666666666666,0.375,0.47368421052631576,0.7916666666666666,0.375,0.47368421052631576
llama31_instruct,h1_dinc,65,random,BaDl,0.6666666666666666,0.625,0.9375,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5
llama31_instruct,h1_dinc,65,random,BaHa,0.75,0.6666666666666666,0.8888888888888888,0.75,0.375,0.5,0.75,0.375,0.5
llama31_instruct,h1_dinc,65,random,BaHr,0.7083333333333334,0.7083333333333334,1.0,0.7083333333333334,0.3333333333333333,0.47058823529411764,0.7083333333333334,0.3333333333333333,0.47058823529411764
llama31_instruct,h1_dinc,65,random,BaNc,0.75,0.625,0.8333333333333334,0.75,0.3333333333333333,0.4444444444444444,0.75,0.4166666666666667,0.5555555555555556
llama31_instruct,h1_dinc,65,random,BaPc,0.625,0.625,1.0,0.625,0.3333333333333333,0.5333333333333333,0.625,0.2916666666666667,0.4666666666666667
llama31_instruct,h1_dinc,65,random,BaPd,0.6666666666666666,0.4583333333333333,0.6875,0.6666666666666666,0.375,0.5625,0.6666666666666666,0.375,0.5625
llama31_instruct,h1_dinc,65,random,BaSh,0.7916666666666666,0.5833333333333334,0.7368421052631579,0.7916666666666666,0.3333333333333333,0.42105263157894735,0.7916666666666666,0.3333333333333333,0.42105263157894735
llama31_instruct,h1_dinc,65,random,ChAs,0.9166666666666666,0.75,0.8181818181818182,0.9166666666666666,0.375,0.4090909090909091,0.9166666666666666,0.375,0.4090909090909091
llama31_instruct,h1_dinc,65,random,ChBa,0.875,0.6666666666666666,0.7619047619047619,0.875,0.4166666666666667,0.47619047619047616,0.875,0.4166666666666667,0.47619047619047616
llama31_instruct,h1_dinc,65,random,ChCh,0.6666666666666666,0.625,0.9375,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5
llama31_instruct,h1_dinc,65,random,ChCm,0.875,0.7083333333333334,0.8095238095238095,0.875,0.4166666666666667,0.47619047619047616,0.875,0.4166666666666667,0.47619047619047616
llama31_instruct,h1_dinc,65,random,ChCo,0.7083333333333334,0.5416666666666666,0.7647058823529411,0.7083333333333334,0.3333333333333333,0.47058823529411764,0.7083333333333334,0.3333333333333333,0.47058823529411764
llama31_instruct,h1_dinc,65,random,ChDl,0.7916666666666666,0.625,0.7894736842105263,0.7916666666666666,0.3333333333333333,0.42105263157894735,0.7916666666666666,0.3333333333333333,0.42105263157894735
llama31_instruct,h1_dinc,65,random,ChHa,0.6666666666666666,0.5833333333333334,0.875,0.6666666666666666,0.2916666666666667,0.4375,0.6666666666666666,0.375,0.5625
llama31_instruct,h1_dinc,65,random,ChHr,0.75,0.625,0.8333333333333334,0.75,0.4583333333333333,0.6111111111111112,0.75,0.4583333333333333,0.6111111111111112
llama31_instruct,h1_dinc,65,random,CmAs,0.625,0.5416666666666666,0.8666666666666667,0.625,0.25,0.4,0.625,0.375,0.6
llama31_instruct,h1_dinc,65,random,CmCm,0.625,0.5416666666666666,0.8666666666666667,0.625,0.25,0.4,0.625,0.375,0.6
llama31_instruct,h1_dinc,65,random,CmDl,0.7083333333333334,0.5833333333333334,0.8235294117647058,0.7083333333333334,0.25,0.35294117647058826,0.7083333333333334,0.4583333333333333,0.6470588235294118
llama31_instruct,h1_dinc,65,random,CmHa,0.75,0.5833333333333334,0.7777777777777778,0.75,0.25,0.3333333333333333,0.75,0.5,0.6666666666666666
llama31_instruct,h1_dinc,65,random,CmNc,0.875,0.75,0.8571428571428571,0.875,0.3333333333333333,0.38095238095238093,0.875,0.5416666666666666,0.6190476190476191
llama31_instruct,h1_dinc,65,random,CoAs,0.7083333333333334,0.6666666666666666,0.9411764705882353,0.7083333333333334,0.4583333333333333,0.6470588235294118,0.7083333333333334,0.4583333333333333,0.6470588235294118
llama31_instruct,h1_dinc,65,random,CoCo,0.7916666666666666,0.5,0.631578947368421,0.7916666666666666,0.5416666666666666,0.6842105263157895,0.7916666666666666,0.5416666666666666,0.6842105263157895
llama31_instruct,h1_dinc,65,random,CoSh,0.5833333333333334,0.4583333333333333,0.7857142857142857,0.5833333333333334,0.2916666666666667,0.5,0.5833333333333334,0.2916666666666667,0.5
llama31_instruct,h1_dinc,65,random,HaAs,0.625,0.5833333333333334,0.9333333333333333,0.625,0.375,0.6,0.625,0.375,0.6
llama31_instruct,h1_dinc,65,random,HaBa,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75
llama31_instruct,h1_dinc,65,random,HaCm,0.75,0.625,0.8333333333333334,0.75,0.4583333333333333,0.6111111111111112,0.75,0.4583333333333333,0.6111111111111112
llama31_instruct,h1_dinc,65,random,HaDl,0.7916666666666666,0.5833333333333334,0.7368421052631579,0.7916666666666666,0.5,0.631578947368421,0.7916666666666666,0.5,0.631578947368421
llama31_instruct,h1_dinc,65,random,HaHa,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.5833333333333334,0.7,0.8333333333333334,0.5833333333333334,0.7
llama31_instruct,h1_dinc,65,random,HaNc,0.5833333333333334,0.375,0.6428571428571429,0.5833333333333334,0.3333333333333333,0.5714285714285714,0.5833333333333334,0.3333333333333333,0.5714285714285714
llama31_instruct,h1_dinc,65,random,HaPc,0.625,0.5,0.8,0.625,0.4583333333333333,0.7333333333333333,0.625,0.4583333333333333,0.7333333333333333
llama31_instruct,h1_dinc,65,random,HrAs,0.75,0.5833333333333334,0.7777777777777778,0.75,0.2916666666666667,0.3888888888888889,0.75,0.4583333333333333,0.6111111111111112
llama31_instruct,h1_dinc,65,random,HrBa,0.7916666666666666,0.6666666666666666,0.8421052631578947,0.7916666666666666,0.3333333333333333,0.42105263157894735,0.7916666666666666,0.4583333333333333,0.5789473684210527
llama31_instruct,h1_dinc,65,random,HrCh,0.75,0.6666666666666666,0.8888888888888888,0.75,0.20833333333333334,0.2777777777777778,0.75,0.5416666666666666,0.7222222222222222
llama31_instruct,h1_dinc,65,random,HrHr,0.8333333333333334,0.625,0.75,0.8333333333333334,0.2916666666666667,0.35,0.8333333333333334,0.5416666666666666,0.65
llama31_instruct,h1_dinc,65,random,ShAs,0.7916666666666666,0.4166666666666667,0.5263157894736842,0.7916666666666666,0.4166666666666667,0.5263157894736842,0.7916666666666666,0.4166666666666667,0.5263157894736842
llama31_instruct,h1_dinc,65,random,ShCo,0.5416666666666666,0.375,0.6923076923076923,0.5416666666666666,0.4583333333333333,0.8461538461538461,0.5416666666666666,0.4583333333333333,0.8461538461538461
llama31_instruct,h1_dinc,65,random,ShSh,0.8333333333333334,0.7083333333333334,0.85,0.8333333333333334,0.4166666666666667,0.5,0.8333333333333334,0.4166666666666667,0.5
llama31_instruct,h1_dinc,79,main,AsAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsPc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsPd,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,AsSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,BaAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,BaBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,BaCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,BaCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main,BaCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
