model,mode,steer_layer,variant,n_games,d_letter_slope_mean,d_letter_slope_ci_low,d_letter_slope_ci_high,d_letter_range_mean,d_letter_abs_pos025_mean,d_letter_abs_neg025_mean,d_act0_slope_mean,d_act0_slope_ci_low,d_act0_slope_ci_high,d_act0_range_mean,d_act0_abs_pos025_mean,d_act0_abs_neg025_mean,d_canon_slope_mean,d_canon_slope_ci_low,d_canon_slope_ci_high,d_canon_range_mean,d_canon_abs_pos025_mean,d_canon_abs_neg025_mean,d_beh_letter_slope_mean,d_beh_letter_slope_ci_low,d_beh_letter_slope_ci_high,d_beh_letter_range_mean,d_beh_letter_abs_pos025_mean,d_beh_letter_abs_neg025_mean,d_beh_act0_slope_mean,d_beh_act0_slope_ci_low,d_beh_act0_slope_ci_high,d_beh_act0_range_mean,d_beh_act0_abs_pos025_mean,d_beh_act0_abs_neg025_mean,d_beh_canon_slope_mean,d_beh_canon_slope_ci_low,d_beh_canon_slope_ci_high,d_beh_canon_range_mean,d_beh_canon_abs_pos025_mean,d_beh_canon_abs_neg025_mean,n_cells,cell_letter_range_mean,cell_letter_range_p95,cell_act0_range_mean,cell_act0_range_p95,cell_canon_range_mean,cell_canon_range_p95,flip_letter_rate,flip_letter_rate_ci_low,flip_letter_rate_ci_high,flip_action_rate,flip_action_rate_ci_low,flip_action_rate_ci_high,flip_canon_rate,flip_canon_rate_ci_low,flip_canon_rate_ci_high,letter_nonzero_rate,letter_dose_aligned_rate_all,letter_dose_aligned_rate_nonzero,act0_nonzero_rate,act0_dose_aligned_rate_all,act0_dose_aligned_rate_nonzero,canon_nonzero_rate,canon_dose_aligned_rate_all,canon_dose_aligned_rate_nonzero
llama31_instruct,h2_choice,79,main_perp,54,0.012370061728395061,0.00789373456790123,0.016859675925925924,0.022325925925925923,0.015916666666666666,0.010439351851851852,-0.0006243827160493774,-0.005272515432098755,0.004453433641975307,0.02502268518518518,0.019921296296296284,0.015239351851851848,-0.007527160493827152,-0.011883564814814803,-0.0030732214506172767,0.02502268518518518,0.019921296296296284,0.015239351851851848,0.003086419753086419,-0.023148148148148143,0.02777777777777777,0.027777777777777776,0.009259259259259259,0.009259259259259259,-0.009259259259259259,-0.032407407407407406,0.015432098765432098,0.027777777777777776,0.009259259259259259,0.009259259259259259,0.012345679012345677,-0.006172839506172841,0.037037037037037035,0.027777777777777776,0.009259259259259259,0.009259259259259259,216,0.03701111111111111,0.06092499999999998,0.037011111111111106,0.06092499999999998,0.037011111111111106,0.06092499999999998,0.027777777777777776,0.009259259259259259,0.05092592592592592,0.027777777777777776,0.009259259259259259,0.05092592592592592,0.027777777777777776,0.009259259259259259,0.05092592592592592,0.7083333333333334,0.37962962962962954,0.5355506933981307,0.7083333333333334,0.35185185185185186,0.4948158515667976,0.7083333333333334,0.35262345679012347,0.49953870089319
llama31_instruct,h2_choice,79,random,54,-0.8062195987654319,-0.836084884259259,-0.7751444675925924,0.3935092592592592,0.1786490740740741,0.21486018518518513,-0.06893996913580247,-0.09072648148148149,-0.046669949845679,0.0642236111111111,0.045891666666666664,0.03171666666666667,-0.01752824074074075,-0.046397943672839524,0.010869166666666671,0.06422361111111112,0.04589166666666667,0.03171666666666667,-1.32716049382716,-1.5170138888888887,-1.1434799382716048,0.6388888888888888,0.25,0.3888888888888889,-0.38888888888888884,-0.5385802469135802,-0.23765432098765427,0.35648148148148145,0.16666666666666666,0.2222222222222222,-0.13580246913580243,-0.3133101851851851,0.03707561728395041,0.35648148148148145,0.16666666666666666,0.2222222222222222,216,0.3935092592592593,0.483875,0.3935092592592593,0.483875,0.3935092592592593,0.483875,0.6388888888888888,0.5555555555555556,0.7222222222222222,0.6388888888888888,0.5555555555555556,0.7175925925925926,0.6388888888888888,0.5509259259259259,0.7222222222222222,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5
qwen,h1_dinc,65,main,54,1.023068672839506,1.013835262345679,1.0318755516975309,0.5052814814814814,0.3220157407407407,0.18326574074074073,-0.014746450617283939,-0.02756815972222221,-0.0013104706790123466,0.04260694444444445,0.01908333333333334,0.0320537037037037,0.01593749999999999,0.003580474537037026,0.029039560185185172,0.04260694444444445,0.01908333333333334,0.03205370370370371,2.1527777777777777,2.08179012345679,2.2160879629629626,0.9675925925925926,0.7037037037037037,0.2638888888888889,-0.1003086419753086,-0.1851851851851851,-0.021604938271604944,0.3611111111111111,0.25925925925925924,0.27314814814814814,0.038580246913580224,-0.041666666666666664,0.12040895061728372,0.3611111111111111,0.25925925925925924,0.27314814814814814,216,0.5052814814814816,0.58545,0.5052814814814816,0.58545,0.5052814814814816,0.58545,0.9861111111111112,0.9675925925925926,1.0,0.9861111111111112,0.9675925925925926,1.0,0.9861111111111112,0.9675925925925926,1.0,1.0,0.9945987654320988,0.9945987654320988,1.0,0.49614197530864196,0.49614197530864196,1.0,0.5023148148148148,0.5023148148148148
qwen,h1_dinc,65,main_perp,54,1.0100541666666667,1.0017122993827159,1.018239463734568,0.4991587962962964,0.31881111111111116,0.18034768518518515,-0.010172376543209878,-0.022642330246913586,0.0026522145061728206,0.042389814814814804,0.0184462962962963,0.03132453703703704,0.018082561728395053,0.005851404320987643,0.029603275462962944,0.042389814814814804,0.018446296296296297,0.03132453703703704,2.1620370370370363,2.0956790123456788,2.2268904320987652,0.9861111111111112,0.7083333333333334,0.26851851851851855,-0.06944444444444439,-0.13734567901234562,-0.004629629629629628,0.37037037037037035,0.2638888888888889,0.26851851851851855,0.06944444444444442,-2.0264140160114246e-17,0.13425925925925922,0.37037037037037035,0.2638888888888889,0.26851851851851855,216,0.49915879629629634,0.5836749999999999,0.49915879629629634,0.5836749999999999,0.49915879629629634,0.5836749999999999,0.9907407407407407,0.9768518518518519,1.0,0.9907407407407407,0.9768518518518519,1.0,0.9907407407407407,0.9768518518518519,1.0,0.9992283950617284,0.9930555555555557,0.9938271604938272,0.9992283950617284,0.49845679012345673,0.49885936661298974,0.9992283950617284,0.5015432098765432,0.5019457863660762
qwen,h1_dinc,65,random,54,0.014904783950617286,0.009809047067901238,0.019988375771604942,0.018255092592592594,0.008808333333333336,0.008099074074074076,-0.002050154320987654,-0.00784582561728395,0.0034092206790123387,0.017084722222222223,0.00842037037037037,0.006767592592592593,0.0009871913580246855,-0.004750679012345684,0.006412152777777752,0.01708472222222222,0.00842037037037037,0.006767592592592592,0.05246913580246913,-0.006172839506172838,0.1111111111111111,0.0787037037037037,0.037037037037037035,0.023148148148148147,0.03703703703703703,-0.029320987654320983,0.10802469135802467,0.08333333333333333,0.046296296296296294,0.023148148148148147,0.05246913580246914,-0.013888888888888885,0.12345679012345678,0.08333333333333333,0.046296296296296294,0.023148148148148147,216,0.03474537037037037,0.062025,0.03474537037037037,0.062025,0.034745370370370364,0.06202500000000001,0.08333333333333333,0.05092592592592592,0.11574074074074074,0.08333333333333333,0.05092592592592592,0.12037037037037036,0.08333333333333333,0.05092592592592592,0.12037037037037036,0.7206790123456792,0.375,0.515941153789451,0.7206790123456792,0.35725308641975306,0.4937303210587525,0.7206790123456792,0.37037037037037035,0.5113766745969188
qwen,h1_dinc,79,main,54,0.7469733024691358,0.7389896797839506,0.7547428163580245,0.3709060185185185,0.18854675925925932,0.18235925925925922,-0.003050462962962961,-0.009554101080246916,0.0028306249999999946,0.020895370370370373,0.010820833333333335,0.013799074074074078,0.0016890432098765407,-0.0045089814814814775,0.007683746141975306,0.020895370370370373,0.010820833333333335,0.013799074074074078,1.888888888888889,1.7777777777777777,1.9907407407407407,0.9120370370370371,0.6712962962962963,0.24074074074074073,-0.05555555555555552,-0.1496913580246913,0.03858024691358029,0.37962962962962965,0.2175925925925926,0.24074074074074073,0.04629629629629629,-0.047839506172839504,0.14197530864197527,0.37962962962962965,0.2175925925925926,0.24074074074074073,216,0.3709060185185185,0.4095,0.3709060185185185,0.4095,0.3709060185185185,0.4095,0.9120370370370371,0.8657407407407407,0.9537037037037037,0.9120370370370371,0.8657407407407407,0.9537037037037037,0.9120370370370371,0.8657407407407407,0.9490740740740741,0.9830246913580247,0.9799382716049382,0.9968800322061192,0.9830246913580247,0.4915123456790123,0.4999681947145715,0.9830246913580247,0.49459876543209874,0.5032620023562052
qwen,h1_dinc,79,main_perp,54,0.003570216049382721,-0.0012330401234567844,0.008230385802469124,0.01614537037037037,0.005281018518518521,0.009337037037037036,0.0021618827160493877,-0.0018528587962962913,0.0061308680555555595,0.01374398148148148,0.005036574074074078,0.006633333333333332,5.077160493827032e-05,-0.0038067322530864187,0.003982152777777785,0.01374398148148148,0.005036574074074078,0.006633333333333335,-0.01697530864197531,-0.06172839506172839,0.02623456790123456,0.06018518518518518,0.013888888888888888,0.032407407407407406,-0.016975308641975304,-0.06172839506172839,0.02469135802469136,0.06018518518518518,0.013888888888888888,0.032407407407407406,-0.010802469135802462,-0.054012345679012336,0.027777777777777783,0.06018518518518518,0.013888888888888888,0.032407407407407406,216,0.0242537037037037,0.03242500000000002,0.024253703703703697,0.03242500000000002,0.024253703703703694,0.03242500000000002,0.06018518518518518,0.032407407407407406,0.08796296296296297,0.06018518518518518,0.032407407407407406,0.09259259259259259,0.06018518518518518,0.032407407407407406,0.09259259259259259,0.5486111111111112,0.2854938271604938,0.5216598340695348,0.5486111111111112,0.2762345679012346,0.5028040756304429,0.5486111111111112,0.2669753086419753,0.48687180465001234
qwen,h1_dinc,79,random,54,-0.02877978395061728,-0.03227681712962962,-0.025229089506172836,0.02111574074074074,0.010403703703703708,0.009338888888888893,-0.003309722222222224,-0.007122866512345681,0.000413456790123448,0.014149074074074073,0.007062037037037038,0.005744444444444442,-0.0019520061728395097,-0.005669232253086435,0.0018503626543209931,0.014149074074074076,0.007062037037037038,0.00574444444444444,-0.037037037037037035,-0.06944444444444443,-0.00925925925925926,0.06481481481481481,0.032407407407407406,0.027777777777777776,0.00617283950617284,-0.026273148148148143,0.038580246913580245,0.06481481481481481,0.032407407407407406,0.027777777777777776,0.02160493827160494,-0.009259259259259254,0.05246913580246913,0.06481481481481481,0.032407407407407406,0.027777777777777776,216,0.028231018518518516,0.03249999999999997,0.028231018518518516,0.03249999999999997,0.028231018518518516,0.03249999999999997,0.06481481481481481,0.037037037037037035,0.09259259259259259,0.06481481481481481,0.037037037037037035,0.09722222222222222,0.06481481481481481,0.037037037037037035,0.09259259259259259,0.4652777777777778,0.1612654320987654,0.340291344458011,0.4652777777777778,0.22608024691358022,0.4877380849603072,0.4652777777777778,0.22222222222222218,0.4828911828911828
qwen,h2_choice,65,main,54,-0.35400138888888893,-0.36774363040123464,-0.3407176890432098,0.17824629629629635,0.12237916666666665,0.055864351851851866,-0.018415586419753098,-0.04394461419753087,0.006979594907407394,0.0432162037037037,0.023017129629629627,0.017982870370370378,0.04367052469135802,0.021123464506172827,0.06667319444444442,0.0432162037037037,0.023017129629629627,0.01798287037037037,-0.6728395061728394,-0.7885802469135802,-0.5586033950617285,0.3472222222222222,0.125,0.2175925925925926,0.11111111111111116,-0.013888888888888869,0.23611111111111108,0.2175925925925926,0.125,0.08796296296296297,-0.0679012345679012,-0.1929012345679012,0.057137345679012144,0.2175925925925926,0.125,0.08796296296296297,216,0.17893703703703706,0.25560000000000005,0.17893703703703706,0.25559999999999994,0.17893703703703706,0.25559999999999994,0.35185185185185186,0.2916666666666667,0.41203703703703703,0.35185185185185186,0.2916666666666667,0.41203703703703703,0.35185185185185186,0.2916666666666667,0.4166666666666667,0.873456790123457,0.06172839506172839,0.07086886872673805,0.873456790123457,0.4344135802469135,0.4966855147188226,0.873456790123457,0.46219135802469136,0.5292489782255865
qwen,h2_choice,65,main_perp,54,-0.3522177469135802,-0.36570667824074066,-0.3393227700617284,0.17767638888888887,0.1214875,0.056188888888888885,-0.015068364197530866,-0.042672770061728406,0.012401647376543187,0.043305092592592596,0.023109722222222216,0.018454629629629633,0.04828256172839506,0.024652037037037035,0.07146457561728391,0.043305092592592596,0.023109722222222216,0.018454629629629633,-0.6882716049382714,-0.8055555555555552,-0.574074074074074,0.3611111111111111,0.125,0.2222222222222222,0.11728395061728397,-0.009297839506172828,0.23306327160493806,0.22685185185185186,0.125,0.12037037037037036,-0.024691358024691336,-0.15127314814814813,0.0988040123456788,0.22685185185185186,0.125,0.12037037037037036,216,0.1785148148148148,0.261075,0.17851481481481482,0.261075,0.17851481481481482,0.26107499999999995,0.37037037037037035,0.3055555555555556,0.4305555555555556,0.37037037037037035,0.3101851851851852,0.4351851851851852,0.37037037037037035,0.31006944444444445,0.4305555555555556,0.8680555555555555,0.07330246913580246,0.0843404459406314,0.8680555555555555,0.4251543209876544,0.4860299988430551,0.8680555555555555,0.4606481481481482,0.5317436978656711
