delta_c,shap_delta_c,model
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.3021208597976621,qwen
0.0,-1.0040196736385287,qwen
0.0,-0.9542944701475191,qwen
0.0,-0.7750035647271591,qwen
0.0,-1.30311144870471,qwen
0.0,-1.5855359567081022,qwen
0.0,-1.5188490649930446,qwen
0.0,-1.0836008849282657,qwen
0.0,-0.8137112587877097,qwen
0.0,-0.7548353316615837,qwen
0.0,-0.4033133000820887,qwen
0.0,-1.086878809541746,qwen
0.0,-1.4081398773670355,qwen
0.0,-1.3199199835304756,qwen
0.0,-1.0836008849282657,qwen
0.0,-0.8137112587877097,qwen
0.0,-0.7548353316615837,qwen
0.0,-0.4033133000820887,qwen
0.0,-1.086878809541746,qwen
0.0,-1.4081398773670355,qwen
0.0,-1.3199199835304756,qwen
0.0,-1.0836008849282657,qwen
0.0,-0.8137112587877097,qwen
0.0,-0.7548353316615837,qwen
0.0,-0.4033133000820887,qwen
0.0,-1.086878809541746,qwen
0.0,-1.4081398773670355,qwen
0.0,-1.3199199835304756,qwen
0.0,-1.0836008849282657,qwen
0.0,-0.8137112587877097,qwen
0.0,-0.7548353316615837,qwen
0.0,-0.4033133000820887,qwen
0.0,-1.086878809541746,qwen
0.0,-1.4081398773670355,qwen
0.0,-1.3199199835304756,qwen
0.0,-1.1991399215595147,qwen
0.0,-0.8105853132907868,qwen
0.0,-0.8796993271618049,qwen
0.0,-0.5122372478898088,qwen
0.0,-1.2124866362546407,qwen
0.0,-1.5886307902094643,qwen
0.0,-1.4811000822317784,qwen
0.0,-1.1991399215595147,qwen
0.0,-0.8105853132907868,qwen
0.0,-0.8796993271618049,qwen
0.0,-0.5122372478898088,qwen
0.0,-1.2124866362546407,qwen
0.0,-1.5886307902094643,qwen
0.0,-1.4811000822317784,qwen
0.0,-1.1991399215595147,qwen
0.0,-0.8105853132907868,qwen
0.0,-0.8796993271618049,qwen
0.0,-0.5122372478898088,qwen
0.0,-1.2124866362546407,qwen
0.0,-1.5886307902094643,qwen
0.0,-1.4811000822317784,qwen
0.0,-1.1991399215595147,qwen
0.0,-0.8105853132907868,qwen
0.0,-0.8796993271618049,qwen
0.0,-0.5122372478898088,qwen
0.0,-1.2124866362546407,qwen
0.0,-1.5886307902094643,qwen
0.0,-1.4811000822317784,qwen
0.0,-1.0350696775580763,qwen
0.0,-0.7528722052557603,qwen
0.0,-0.6973109388502706,qwen
0.0,-0.4023639502387393,qwen
0.0,-1.0356964130263349,qwen
0.0,-1.3473253126915508,qwen
0.0,-1.2566879989770896,qwen
0.0,-1.0350696775580763,qwen
0.0,-0.7528722052557603,qwen
0.0,-0.6973109388502706,qwen
0.0,-0.4023639502387393,qwen
0.0,-1.0356964130263349,qwen
0.0,-1.3473253126915508,qwen
0.0,-1.2566879989770896,qwen
0.0,-1.0350696775580763,qwen
0.0,-0.7528722052557603,qwen
0.0,-0.6973109388502706,qwen
0.0,-0.4023639502387393,qwen
0.0,-1.0356964130263349,qwen
0.0,-1.3473253126915508,qwen
0.0,-1.2566879989770896,qwen
0.0,-1.0350696775580763,qwen
0.0,-0.7528722052557603,qwen
0.0,-0.6973109388502706,qwen
0.0,-0.4023639502387393,qwen
0.0,-1.0356964130263349,qwen
0.0,-1.3473253126915508,qwen
0.0,-1.2566879989770896,qwen
-0.0,-1.3187729341554602,qwen
-0.0,-1.0149643660549565,qwen
-0.0,-1.0455004547181286,qwen
-0.0,-0.8210417826403218,qwen
-0.0,-1.3337731521209668,qwen
-0.0,-1.670643568841169,qwen
-0.0,-1.592435950759366,qwen
-0.0,-1.3187729341554602,qwen
-0.0,-1.0149643660549565,qwen
-0.0,-1.0455004547181286,qwen
