model,layer,metric,auc,auc_ci_lo,auc_ci_hi,n_obs,n_games,auc_gain_over_embedding
llama31_instruct,20,canonical_action_auc,0.49550860719874806,0.43697941944711965,0.5534838677801831,576,144,0.05676056338028168
llama31_instruct,25,canonical_action_auc,0.5812676056338028,0.5266941872341032,0.638970100020249,576,144,0.14251956181533637
llama31_instruct,30,canonical_action_auc,0.6491392801251956,0.590513146903045,0.7094117675450349,576,144,0.21039123630672923
llama31_instruct,35,canonical_action_auc,0.8230203442879499,0.7718917664479292,0.8688793985327774,576,144,0.3842723004694835
llama31_instruct,40,canonical_action_auc,0.8380907668231612,0.7931891635549811,0.8788852211970524,576,144,0.3993427230046948
llama31_instruct,45,canonical_action_auc,0.8378090766823161,0.7938446228573657,0.8775269451330385,576,144,0.3990610328638497
llama31_instruct,50,canonical_action_auc,0.8334428794992175,0.7890249299471876,0.8736934470493338,576,144,0.3946948356807511
llama31_instruct,55,canonical_action_auc,0.8148356807511737,0.7669341651020531,0.8577371442734913,576,144,0.37608763693270736
llama31_instruct,60,canonical_action_auc,0.8373552425665101,0.7903512194666438,0.8787829830290503,576,144,0.3986071987480437
llama31_instruct,65,canonical_action_auc,0.8189671361502348,0.7653335439856979,0.8627356937474503,576,144,0.38021909233176837
llama31_instruct,70,canonical_action_auc,0.8353990610328639,0.7859188809493846,0.8791614161962431,576,144,0.3966510172143975
llama31_instruct,75,canonical_action_auc,0.8107355242566511,0.7627693135880447,0.8566778272359723,576,144,0.3719874804381847
llama31_instruct,80,canonical_action_auc,0.8007042253521126,0.7531475091138328,0.8434757283155372,576,144,0.3619561815336462
gptoss,0,canonical_action_auc,0.61492919921875,0.5092841493763324,0.7262585442856063,576,144,0.0
gptoss,1,canonical_action_auc,0.5645751953125,0.45013638228055786,0.6687699782307042,576,144,-0.05035400390625
gptoss,3,canonical_action_auc,0.69232177734375,0.6116271741303766,0.7641662640625858,576,144,0.077392578125
gptoss,6,canonical_action_auc,0.755218505859375,0.6759335813402337,0.8197701997670275,576,144,0.140289306640625
gptoss,9,canonical_action_auc,0.749359130859375,0.6907607594992099,0.8083844866071429,576,144,0.134429931640625
gptoss,12,canonical_action_auc,0.7186279296875,0.6620461872462525,0.7769052192969774,576,144,0.10369873046875
gptoss,15,canonical_action_auc,0.811187744140625,0.75586959683081,0.8612156346409532,576,144,0.196258544921875
gptoss,18,canonical_action_auc,0.810272216796875,0.7569233816708302,0.8566978456052549,576,144,0.195343017578125
gptoss,21,canonical_action_auc,0.805084228515625,0.7543118550796221,0.8586348547070319,576,144,0.190155029296875
gptoss,24,canonical_action_auc,0.797882080078125,0.7414227670814013,0.8506717509008717,576,144,0.182952880859375
gptoss,27,canonical_action_auc,0.780181884765625,0.7239408141088363,0.8324068295980901,576,144,0.165252685546875
gptoss,30,canonical_action_auc,0.776641845703125,0.7232040631254646,0.8285509263901223,576,144,0.161712646484375
gptoss,33,canonical_action_auc,0.756439208984375,0.7027807688166255,0.8075518896412192,576,144,0.141510009765625
gptoss,36,canonical_action_auc,0.80999755859375,0.7626679402313086,0.8550544231484299,576,144,0.195068359375
