model,round,trait,family,game,a_star,dose,base0,cue0,null0,shift0,nullshift0,abs_shift,abs_nullshift,shift_pref,nullshift_pref,net_pref,base_pref,n_pairs,flips,flips_aligned,source
gptoss,1,loss,trait,NcCh,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcCm,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcCo,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcDl,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcHa,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcHr,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcNc,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcPc,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcPd,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,NcSh,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcAs,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcBa,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcCh,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcCm,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcCo,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcDl,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcHa,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcHr,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcNc,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcPc,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcPd,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PcSh,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdAs,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdBa,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdCh,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdCm,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdCo,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
