game_code,dominance_profile,iesds_depth,num_pure_ne,pure_ne_cells,ne_pareto_rankable,ne_distributional_conflict,payoff_variance,payoff_conflict,p1_maximin_action,p2_maximin_action,joint_maximin_cell,maximin_is_ne,maximin_to_ne_action_distance,maximin_to_ne_payoff_distance,l1_action_p1,l1_action_p2,l2_action_p1,l2_action_p2,near_equal_split_cell,pareto_efficient_cells,source,frac_choose_A,entropy_binary,lk_type,emp_class,up_choice,topology,delta_norm,dominant_action_p1,dominant_action_p2,nash_action_p1,nash_action_p2,payoff_dominant_ne_p1,payoff_dominant_ne_p2,risk_dominant_ne_p1,risk_dominant_ne_p2,l0_action_p1,l0_action_p2,cooperative_action_p1,cooperative_action_p2,canonical_action_p1,canonical_action_p2,complexity_score,complexity_score_n_components
AsPc,1,2,1,"(0,1)",,,1.25,0.20000000000000007,1,1,"(1,1)",False,1.0,3.0,-1,1,0,-1,"(0,0)","(0,1)",bruns,,,,,,,,,1,0,1,,,,,0,1,,,0,1,-0.18292578429054426,3
AsCo,2,0,2,"(0,1);(1,0)",True,False,1.25,0.0,1,1,"(1,1)",False,1.0,2.0,-1,1,0,-1,"(0,0)","(0,1)",bruns,,,,,,,,,,,,0,1,0,1,0,1,,,0,1,-0.6035533905932737,4
AsAs,2,0,2,"(0,1);(1,0)",True,False,1.25,0.20000000000000007,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0,1,,,0,1,,,0,1,-0.5169508502148299,4
AsSh,2,0,2,"(0,1);(1,0)",True,False,1.25,0.6000000000000001,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0,1,,,0,1,,,0,1,-0.3437457694579421,4
CoNc,1,2,1,"(0,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,,1,0,1,,,,,0,1,,,0,1,0.04801432338530609,3
CoHa,1,2,1,"(0,1)",,,1.25,0.8,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,0)","(0,1)",bruns,,,,,,,,,1,0,1,,,,,0,1,,,0,1,0.16348437722323123,3
CoPc,1,2,1,"(0,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,,1,0,1,,,,,0,1,,,0,1,0.04801432338530609,3
CoCo,2,0,2,"(0,1);(1,0)",True,False,1.25,0.20000000000000007,0,1,"(0,1)",True,0.0,0.0,0,1,0,1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0,1,0,1,0,1,,,0,1,-0.5169508502148299,4
CoAs,2,0,2,"(0,1);(1,0)",True,False,1.25,0.0,0,0,"(0,0)",False,1.0,2.0,0,-1,-1,1,"(0,0)","(0,1)",bruns,,,,,,,,,,,,0,1,0,1,0,1,,,0,1,-0.6035533905932737,4
CoSh,2,0,2,"(0,1);(1,0)",True,False,1.25,0.20000000000000007,0,0,"(0,0)",False,1.0,2.0,0,-1,-1,1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0,1,0,1,0,1,,,0,1,-0.5169508502148299,4
