unique_id,game_id,up_choice,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB,role,topology_raw,choice_br,choice_psne
1252,626,0.75,23,21,26,14,6,13,5,3,colplayer,"('chicken', 'chicken')",0.75,1
1251,626,0.37209302325581395,6,5,13,3,23,26,21,14,rowplayer,"('chicken', 'chicken')",0.627906977,1
1262,631,0.36666666666666664,3,5,17,2,7,14,12,1,colplayer,"('leader', 'leader')",0.6333333333333333,1
1261,631,0.8235294117647058,7,12,14,1,3,17,5,2,rowplayer,"('leader', 'leader')",0.8235294117647058,1
1286,643,0.8857142857142857,21,2,12,3,8,7,1,3,colplayer,"('staghunt', 'staghunt')",0.8857142857142857,1
1285,643,0.6808510638297872,8,1,7,3,21,12,2,3,rowplayer,"('staghunt', 'staghunt')",0.6808510638297872,1
1330,665,0.5135135135135135,12,1,4,7,34,12,6,16,colplayer,"('assurance', 'assurance')",0.5135135135135135,1
1329,665,0.7380952380952381,34,6,12,16,12,4,1,7,rowplayer,"('assurance', 'assurance')",0.7380952380952381,1
1342,671,0.7317073170731707,31,6,9,27,31,3,1,7,colplayer,"('assurance', 'assurance')",0.7317073170731707,1
1341,671,0.8928571428571429,31,1,3,7,31,9,6,27,rowplayer,"('assurance', 'assurance')",0.8928571428571429,1
1344,672,0.7608695652173914,32,1,13,3,33,26,11,24,colplayer,"('staghunt', 'staghunt')",0.7608695652173914,1
1343,672,0.6346153846153846,33,11,26,24,32,13,1,3,rowplayer,"('staghunt', 'staghunt')",0.6346153846153846,1
1356,678,0.8529411764705882,45,7,2,9,19,6,14,15,colplayer,"('safecoord', 'safecoord')",0.8529411764705882,1
1355,678,0.8918918918918919,19,14,6,15,45,2,7,9,rowplayer,"('safecoord', 'safecoord')",0.8918918918918919,1
1410,705,0.7619047619047619,29,3,21,12,19,13,1,6,colplayer,"('staghunt', 'staghunt')",0.7619047619047619,1
1409,705,0.6829268292682927,19,1,13,6,29,21,3,12,rowplayer,"('staghunt', 'staghunt')",0.6829268292682927,1
1412,706,0.8775510204081632,25,8,10,9,42,31,5,26,colplayer,"('staghunt', 'staghunt')",0.8775510204081632,1
1411,706,0.5111111111111111,42,5,31,26,25,10,8,9,rowplayer,"('staghunt', 'staghunt')",0.5111111111111111,1
1466,733,0.2,5,2,31,1,19,23,16,4,colplayer,"('chicken', 'chicken')",0.8,1
1465,733,0.8205128205128205,19,16,23,4,5,31,2,1,rowplayer,"('chicken', 'chicken')",0.8205128205128205,1
1474,737,0.5483870967741935,26,14,38,13,11,14,10,2,colplayer,"('chicken', 'chicken')",0.45161290322580644,1
1473,737,0.6764705882352942,11,10,14,2,26,38,14,13,rowplayer,"('chicken', 'chicken')",0.6764705882352942,1
1476,738,0.575,9,21,32,8,5,14,7,3,colplayer,"('leader', 'leader')",0.425,1
1475,738,0.4827586206896552,5,7,14,3,9,32,21,8,rowplayer,"('leader', 'leader')",0.5172413793103449,1
1492,746,0.4375,12,18,40,3,26,34,29,2,colplayer,"('leader', 'leader')",0.5625,1
1491,746,0.7837837837837838,26,29,34,2,12,40,18,3,rowplayer,"('leader', 'leader')",0.7837837837837838,1
1494,747,0.5,36,1,13,20,48,25,1,38,colplayer,"('assurance', 'assurance')",0.5,1
1493,747,0.5,48,1,25,38,36,13,1,20,rowplayer,"('assurance', 'assurance')",0.5,1
1516,758,0.5263157894736842,24,4,11,18,17,3,2,13,colplayer,"('assurance', 'assurance')",0.5263157894736842,1
1515,758,0.7666666666666667,17,2,3,13,24,11,4,18,rowplayer,"('assurance', 'assurance')",0.7666666666666667,1
1518,759,0.896551724,16,2,8,4,31,13,2,9,colplayer,"('staghunt', 'staghunt')",0.896551724,1
1517,759,0.8484848484848485,31,2,13,9,16,8,2,4,rowplayer,"('staghunt', 'staghunt')",0.8484848484848485,1
1520,760,0.10344827586206896,3,19,39,15,1,29,21,14,colplayer,"('hero', 'hero')",0.896551724,1
1519,760,0.4444444444444444,1,21,29,14,3,39,19,15,rowplayer,"('hero', 'hero')",0.4444444444444444,1
1530,765,0.9375,37,2,3,5,39,4,3,8,colplayer,"('assurance', 'assurance')",0.9375,1
1529,765,0.7959183673469388,39,3,4,8,37,3,2,5,rowplayer,"('assurance', 'assurance')",0.7959183673469388,1
1542,771,0.7222222222222222,26,10,17,23,40,27,4,35,colplayer,"('assurance', 'assurance')",0.2777777777777778,1
1541,771,0.48148148148148145,40,4,27,35,26,17,10,23,rowplayer,"('assurance', 'assurance')",0.48148148148148145,1
1610,805,0.8108108108108109,31,2,6,5,37,34,3,17,colplayer,"('staghunt', 'staghunt')",0.8108108108108109,1
1609,805,0.5128205128205128,37,3,34,17,31,6,2,5,rowplayer,"('staghunt', 'staghunt')",0.48717948717948717,1
1628,814,0.14705882352941177,2,22,32,16,1,6,4,3,colplayer,"('hero', 'hero')",0.8529411764705882,1
1627,814,0.32432432432432434,1,4,6,3,2,32,22,16,rowplayer,"('hero', 'hero')",0.32432432432432434,1
1672,836,0.34782608695652173,14,24,35,17,2,29,21,7,colplayer,"('hero', 'hero')",0.6521739130434783,1
1671,836,0.2926829268292683,2,21,29,7,14,35,24,17,rowplayer,"('hero', 'hero')",0.7073170731707317,1
