model,layer,angle_decision_incentive_deg,null_median_deg,null_lo_deg,null_hi_deg,perm_p,below_null,row_scope,n_obs,n_games,n_perm,independent_shuffle_median_deg
llama31_instruct,28,62.93342515683194,62.392166331210944,46.07445122352384,85.84463576917948,0.527363184079602,False,parsed_generated_choice,576,144,200,
llama31_instruct,29,62.40509162525208,61.494324890033816,45.04258530867243,82.8727501970708,0.5422885572139303,False,parsed_generated_choice,576,144,200,
llama31_instruct,30,61.24940881197137,62.3439825902243,46.57868021546534,79.47338828976828,0.4527363184079602,False,parsed_generated_choice,576,144,200,
llama31_instruct,31,62.16300130926735,59.52372533173707,44.55056985487726,81.23696239853821,0.5920398009950248,False,parsed_generated_choice,576,144,200,
llama31_instruct,32,60.27603666950778,65.37909317096126,41.77877637906156,89.58645735749941,0.3184079601990049,False,parsed_generated_choice,576,144,200,
llama31_instruct,33,57.996733091897525,65.73214062111943,46.14904569825181,85.00613910398397,0.2238805970149253,False,parsed_generated_choice,576,144,200,
llama31_instruct,34,57.474323662691525,62.94222285813102,46.730070406702545,79.24633877348461,0.263681592039801,False,parsed_generated_choice,576,144,200,
llama31_instruct,35,54.68608117290553,64.30774037616666,47.02716567820061,82.32665353865453,0.1194029850746268,False,parsed_generated_choice,576,144,200,
llama31_instruct,36,50.01983253914905,64.08501572782973,47.19581772595968,83.05190860764132,0.0597014925373134,False,parsed_generated_choice,576,144,200,
llama31_instruct,37,48.808756951460005,63.80941247515637,47.92717786624681,84.65978275841975,0.0398009950248756,True,parsed_generated_choice,576,144,200,
llama31_instruct,38,46.43600715880291,64.29753377585317,46.670611904446126,84.04135155669312,0.0199004975124378,True,parsed_generated_choice,576,144,200,
llama31_instruct,39,43.85359257184959,65.21019129062137,48.65915809477122,80.47621608496749,0.0149253731343283,True,parsed_generated_choice,576,144,200,
llama31_instruct,40,41.52119123151978,62.7886502349183,43.1230420862871,84.00546807311653,0.0248756218905472,True,parsed_generated_choice,576,144,200,
llama31_instruct,41,40.29601347311611,63.06515586115678,47.07730268270558,86.69997084351381,0.0099502487562189,True,parsed_generated_choice,576,144,200,
llama31_instruct,42,38.89146194971954,65.52270401451628,44.43456161778077,88.75598848953548,0.0149253731343283,True,parsed_generated_choice,576,144,200,
llama31_instruct,43,38.05171750421957,64.6593058663264,44.61713450639783,84.1732893431993,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,44,37.04700855823603,64.67612404310924,44.42482882000662,87.48841076904995,0.0099502487562189,True,parsed_generated_choice,576,144,200,
llama31_instruct,45,36.40889590972261,67.08897059469717,46.47978832144964,87.13604856077431,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,46,35.659850357015024,64.52541914592813,45.08065287673781,90.53549372812893,0.0099502487562189,True,parsed_generated_choice,576,144,200,
llama31_instruct,47,35.124719377256746,65.04078065783817,46.26209976740229,92.5197815828014,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,48,33.591368457699126,63.44112967294251,45.138401646726706,90.45899329839976,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,49,33.560612342101116,64.57179027819481,44.75731476746865,84.13697887596133,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,50,33.46146785070147,65.47057842244385,46.2042348395122,89.159994166865,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,51,33.17872067135607,64.5843344993076,46.68184010201638,85.0499401680523,0.0099502487562189,True,parsed_generated_choice,576,144,200,
llama31_instruct,52,32.871817253028254,64.42913637623451,44.35514649412534,88.16927146307627,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,53,32.31394936138709,64.80712198507265,46.21577636493317,85.6390198880036,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,54,31.75411127866131,63.07039253479337,42.99305869891887,88.56132963680328,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,55,31.439513770005323,65.59978517053543,44.176872116214525,87.77428608027338,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,56,31.658357473993448,63.26839951291228,43.12691196986045,92.43426727257028,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,57,31.62232309144131,64.04193586087939,38.80945943961421,88.6115353362013,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,58,31.173802956579976,63.65050286715311,43.75033117494628,87.73711328989914,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,59,31.0200342612471,62.39482900159055,38.60293023031544,87.68501250785937,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,60,31.04755527336868,65.3549831364042,42.243766951929715,87.86475864296737,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,61,31.124041547491373,63.188570945734625,39.65473621654716,81.72821212400594,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,62,30.773649564099426,63.365526428607794,41.70800105858939,92.28079519748178,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,63,30.92343595968048,63.77074828859999,40.102390421131126,85.84464300622467,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,64,31.136296181953902,63.05708621624782,43.176492971683466,91.16581033911008,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,65,30.84817215323776,63.40863152787638,41.93347705535989,84.55530950461085,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,66,30.468975562994014,63.898046198202515,43.68882932647624,94.21317192735368,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,67,31.015200796961945,64.7706923866663,41.54086642446139,87.44470737509734,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,68,31.077731655607497,63.34164539833411,41.34220875950087,91.12372531424016,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,69,31.266759892379625,65.07017006303019,43.741526697695015,85.42045169348916,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,70,31.038190146444872,63.74535939906954,42.1090694285282,85.37898767182398,0.0099502487562189,True,parsed_generated_choice,576,144,200,
llama31_instruct,71,31.40146941916408,65.40517762183396,42.4860916338531,94.52217373098784,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,72,30.783868112834295,62.60870473510265,40.52698208133911,90.64738726618822,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,73,30.9740029750567,64.38972534404822,41.728268375921395,89.20906619429876,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,74,30.904832030604094,62.850639983497544,40.87714410836988,92.23907862657794,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,75,30.80952967881143,63.98041500098248,40.0421572187764,89.09784249841647,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,76,31.05446348364745,63.300618160289275,40.95925184600302,96.03534438267538,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,77,30.170441551187807,63.49398293541002,41.51533352375063,92.10327983010552,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,78,29.68986813576243,63.8248212033052,36.4064181537926,99.51565470695296,0.0049751243781094,True,parsed_generated_choice,576,144,200,
llama31_instruct,79,29.69587787203817,64.82634331784536,36.33478576255448,96.7505817209483,0.0099502487562189,True,parsed_generated_choice,576,144,200,
