model,layer,depth_frac,angle_deg,null_lo,null_med,null_hi,perm_p,sig,gain_r,dec_cohen_d,belief,row_scope,n_obs,n_games
gptoss,23,0.6388888888888888,34.713464475799405,25.388792754142166,72.88624602559509,130.91820613007326,0.11442786069651742,False,0.20452025896151824,0.97091984251116,uniform,heterogeneous_all,576,144
gptoss,24,0.6666666666666666,35.16008347794855,29.519483384884747,72.37353779508706,134.67388724370036,0.07960199004975124,False,0.2063513254371982,0.9748353576795101,uniform,heterogeneous_all,576,144
gptoss,25,0.6944444444444444,34.7631074102915,26.621424876984776,76.67897101219106,137.45275600408084,0.08955223880597014,False,0.2058209495508761,0.9733834628035378,uniform,heterogeneous_all,576,144
gptoss,26,0.7222222222222222,33.93374761229568,28.492818297341177,73.50056002580928,127.65481626436188,0.06965174129353234,False,0.20653772505754356,0.9728250147730317,uniform,heterogeneous_all,576,144
gptoss,27,0.75,35.13471970431967,28.35577658939658,71.18724293389785,129.73516296157962,0.07462686567164178,False,0.20220162948266343,0.9750900505966331,uniform,heterogeneous_all,576,144
gptoss,28,0.7777777777777778,34.26247266067139,24.60682492750452,65.06388917029298,137.82947408206672,0.14925373134328357,False,0.20240014503553383,0.9752546602377036,uniform,heterogeneous_all,576,144
gptoss,29,0.8055555555555556,35.234712583097725,30.857375043341452,74.41762332846417,135.79176807385778,0.05970149253731343,False,0.20497887616627752,0.9777406648832278,uniform,heterogeneous_all,576,144
gptoss,30,0.8333333333333334,33.783501963732405,28.540412851241104,70.39689629146628,121.45102499520496,0.07462686567164178,False,0.20595614198257542,0.975924606641301,uniform,heterogeneous_all,576,144
gptoss,31,0.8611111111111112,35.700606097471216,27.62001028575678,77.38525636516081,133.07274413823694,0.05472636815920398,False,0.2020774278333616,0.9818645035563442,uniform,heterogeneous_all,576,144
gptoss,32,0.8888888888888888,33.72282493058953,29.6153399533707,77.03242899619744,131.69345253685609,0.06467661691542288,False,0.208806197008481,0.9800134975722716,uniform,heterogeneous_all,576,144
gptoss,33,0.9166666666666666,34.78708709105501,29.503814212823094,74.02865688476956,126.75305050511575,0.07462686567164178,False,0.2037982651185728,0.9859739975870611,uniform,heterogeneous_all,576,144
gptoss,34,0.9444444444444444,34.10900721627735,25.888288034989,68.78455925344483,132.92439181580227,0.06467661691542288,False,0.19844512233789569,0.98805032928287,uniform,heterogeneous_all,576,144
gptoss,35,0.9722222222222222,35.27458048157663,24.58277818289643,66.98789991147147,132.74597904404212,0.09950248756218906,False,0.18437149900619973,0.982097531267236,uniform,heterogeneous_all,576,144
gptoss,36,1.0,37.53422673704231,27.038549814629764,72.64527882408547,121.63064458970194,0.10945273631840796,False,0.20069626616152994,0.9773669146527573,uniform,heterogeneous_all,576,144
gptoss,0,0.0,180.0,0.0,179.99999852122068,180.0,1.0,False,-0.0991142268922941,0.09081532183729993,uniform,pure_commitment,525,144
gptoss,1,0.027777777777777776,96.3912314233804,24.530337037813887,67.94383003565825,129.89626755337906,0.7761194029850746,False,-0.03092938745332278,0.3934202397937061,uniform,pure_commitment,525,144
gptoss,2,0.05555555555555555,95.31839324225903,33.83655980211945,64.1105848839636,118.88752759838792,0.8706467661691543,False,-0.038955018596174715,0.4525072318063529,uniform,pure_commitment,525,144
gptoss,3,0.08333333333333333,87.38731989649986,25.43659122762764,55.37490477371756,116.29043495439953,0.8706467661691543,False,0.02668879782913062,0.52926753657876,uniform,pure_commitment,525,144
gptoss,4,0.1111111111111111,84.97929285178341,35.161785747801396,65.8487540272557,115.69398050097728,0.7960199004975125,False,0.053650811437639806,0.6462876897246482,uniform,pure_commitment,525,144
gptoss,5,0.1388888888888889,86.23247200891677,30.197626409459446,59.82644064109718,115.04566269694274,0.7910447761194029,False,0.03276989547810483,0.5141395161243182,uniform,pure_commitment,525,144
gptoss,6,0.16666666666666666,84.74081401508364,31.121146118348584,57.32037076294124,113.27469423821053,0.8258706467661692,False,0.048823823254600336,0.5784910921674079,uniform,pure_commitment,525,144
gptoss,7,0.19444444444444445,94.75995747971476,25.62477305369989,55.23020291764372,114.7157039322758,0.9154228855721394,False,-0.033984422839881276,0.3732793395934158,uniform,pure_commitment,525,144
gptoss,8,0.2222222222222222,95.23792707769748,22.64622165400096,55.63103190228372,125.02198882081439,0.8407960199004975,False,-0.03775839916204492,0.37865912598771406,uniform,pure_commitment,525,144
gptoss,9,0.25,99.69887616488974,22.978338245165236,59.02220415753007,128.27456592095928,0.8308457711442786,False,-0.05766694987336431,0.3326368722791554,uniform,pure_commitment,525,144
gptoss,10,0.2777777777777778,93.58726636792474,26.24371140583239,63.61834381274821,120.22734506099437,0.8258706467661692,False,-0.022460422253529396,0.3823992075949971,uniform,pure_commitment,525,144
gptoss,11,0.3055555555555556,91.52398682766723,25.962355016828578,59.59878177842762,127.79653827616964,0.7860696517412935,False,-0.009458088110060657,0.40183360625096304,uniform,pure_commitment,525,144
gptoss,12,0.3333333333333333,91.551062921877,26.926543162382725,61.49610845795898,127.16874286834972,0.8557213930348259,False,-0.00985713895852077,0.3921877564372629,uniform,pure_commitment,525,144
gptoss,13,0.3611111111111111,83.15373185148971,29.3904337923394,60.84146288137322,116.10566174804326,0.7611940298507462,False,0.04765090957054692,0.4722733104671457,uniform,pure_commitment,525,144
gptoss,14,0.3888888888888889,80.69283496873909,28.141135069597055,60.513709810305855,116.3024457004437,0.7562189054726368,False,0.07072227934810822,0.5566608649242474,uniform,pure_commitment,525,144
gptoss,15,0.4166666666666667,82.29412300701559,28.884524097529013,58.34508753618328,111.80948237741458,0.7860696517412935,False,0.059430572819976615,0.5453378158485129,uniform,pure_commitment,525,144
gptoss,16,0.4444444444444444,76.72269916850043,27.944743173490053,57.09800222943217,110.85187171693642,0.8009950248756219,False,0.11961568229489866,0.6313846267944259,uniform,pure_commitment,525,144
gptoss,17,0.4722222222222222,73.4589623058741,32.22453899245581,60.86302286128882,118.61010111598866,0.6865671641791045,False,0.17065221114814003,0.7289924156820199,uniform,pure_commitment,525,144
gptoss,18,0.5,64.54522436980038,32.25431309708595,59.90785535629793,108.43803171969891,0.5920398009950248,False,0.29319837360393497,0.9008573558050161,uniform,pure_commitment,525,144
gptoss,19,0.5277777777777778,65.69412885835736,31.153846582538886,63.13032694313162,106.07442027744446,0.5472636815920398,False,0.28663507028722557,0.9129161712593009,uniform,pure_commitment,525,144
