period,model,cue,n_games,n_moved_real,mean_abs_real,mean_abs_real_lo,mean_abs_real_hi,mean_signed_target_real,mean_signed_target_real_lo,mean_signed_target_real_hi,frac_toward_real,frac_toward_real_nonzero,directional_efficiency_real,n_moved_pref,mean_abs_pref,mean_abs_pref_lo,mean_abs_pref_hi,mean_signed_target_pref,mean_signed_target_pref_lo,mean_signed_target_pref_hi,frac_toward_pref,frac_toward_pref_nonzero,directional_efficiency_pref
all10,qwen,risk,76,43,0.23070175438596488,0.16973684210526319,0.29781798245614044,0.05877192982456139,-0.02192982456140351,0.14211622807017552,0.3026315789473684,0.5348837209302325,0.25475285171102663,76,0.10460086371912125,0.08434243408112133,0.12714771696356458,0.013366020677324205,-0.018078424471601563,0.045667740046148916,0.4605263157894737,0.4605263157894737,0.1277811693143875
all10,qwen,selfish,67,30,0.17512437810945272,0.11044776119402984,0.2422885572139303,0.12338308457711442,0.0527363184079602,0.20100746268656722,0.29850746268656714,0.6666666666666666,0.7045454545454546,67,0.12029476574072583,0.0924288762186519,0.15080782357544031,0.08362201789592864,0.04908924764166488,0.12166382013772885,0.7611940298507462,0.7611940298507462,0.6951426139035939
all10,qwen_instruct,inequity,30,16,0.2533333333333333,0.13774999999999998,0.37222222222222234,0.18444444444444444,0.05663888888888889,0.3266944444444446,0.3,0.5625,0.7280701754385965,30,0.24121190104688067,0.14263053385730423,0.34277483767245054,0.18118951845093612,0.06659662294101912,0.3082089899187056,0.7333333333333333,0.7333333333333333,0.7511632621133444
all10,qwen_instruct,level1,67,17,0.09303482587064675,0.045771144278606964,0.14925373134328357,-0.002487562189054725,-0.059203980099502486,0.053246268656716465,0.1044776119402985,0.4117647058823529,-0.02673796791443849,67,0.09875543181295565,0.05799215850338449,0.1473945865469546,0.017572660149064556,-0.0302623809493213,0.0681704230979614,0.6865671641791045,0.6865671641791045,0.17794120107081757
all10,qwen_instruct,level2,35,17,0.11428571428571431,0.05999999999999999,0.17523809523809525,-0.07238095238095238,-0.14095238095238094,-0.010476190476190474,0.08571428571428572,0.17647058823529413,-0.6333333333333332,35,0.12055462787096285,0.07745277885301291,0.16991691779471416,-0.08329060836539612,-0.13752957183973208,-0.03184650753343218,0.22857142857142856,0.22857142857142856,-0.6908951554688324
all10,qwen_instruct,loss,76,37,0.14254385964912278,0.09780701754385965,0.18948464912280708,-0.08640350877192982,-0.14166666666666666,-0.03683114035087715,0.07894736842105263,0.16216216216216217,-0.6061538461538463,76,0.1334831924160491,0.09765539111900601,0.17431854939316838,-0.07725183647621316,-0.12268867325257825,-0.03369107998222179,0.3026315789473684,0.3026315789473684,-0.5787383046356098
all10,qwen_instruct,maximin,76,17,0.08596491228070176,0.046052631578947366,0.13421052631578947,0.03596491228070175,-0.009210526315789476,0.08421052631578947,0.14473684210526316,0.6470588235294118,0.4183673469387754,76,0.08211598718044877,0.04822784997789243,0.12278234675285321,0.04487937234919742,0.008256447642008842,0.08742780995238505,0.6710526315789473,0.6710526315789473,0.5465363553454653
all10,qwen_instruct,risk,76,30,0.14956140350877192,0.1013157894736842,0.20395833333333338,-0.07763157894736843,-0.13684210526315788,-0.018421052631578956,0.07894736842105263,0.2,-0.5190615835777127,76,0.14626933952765625,0.10505930826301578,0.1920050783176795,-0.05958919581593085,-0.11239340244305548,-0.0051875514931047145,0.5263157894736842,0.5263157894736842,-0.40739362062042994
all10,qwen_instruct,selfish,67,60,0.43532338308457713,0.3751243781094527,0.49601990049751243,-0.3417910447761194,-0.42139303482587054,-0.24975124378109453,0.11940298507462686,0.13333333333333333,-0.785142857142857,67,0.39044312787811114,0.35037467612845,0.4308025620627227,-0.30433711751891085,-0.3736909155751974,-0.2290629254402423,0.1044776119402985,0.1044776119402985,-0.7794659344444117
round1,gptoss,inequity,30,4,0.04444444444444444,0.01111111111111111,0.08888888888888888,0.0,-0.04444444444444444,0.04444444444444444,0.06666666666666667,0.5,0.0,30,0.04991883342243589,0.03125794817326535,0.07157234708972826,0.001080411329783142,-0.02577559294690392,0.028299831121572663,0.5666666666666667,0.5666666666666667,0.021643360946362863
round1,gptoss,level1,67,14,0.06965174129353234,0.03980099502487562,0.10447761194029849,0.0,-0.03482587064676617,0.039800995024875614,0.1044776119402985,0.5,0.0,67,0.07228158023037211,0.05254390640235061,0.09421650514201194,0.019053221024680597,-0.006880900875879731,0.045652994963120856,0.5223880597014925,0.5223880597014925,0.26359718428893164
round1,gptoss,level2,35,6,0.06666666666666667,0.019047619047619046,0.1238095238095238,-0.02857142857142857,-0.08571428571428572,0.01904761904761905,0.05714285714285714,0.3333333333333333,-0.42857142857142855,35,0.08616106433047989,0.05420114388553993,0.12458356911144843,-0.006365665441738103,-0.05048927794538398,0.03966133497428546,0.45714285714285713,0.45714285714285713,-0.07388099823514156
round1,gptoss,loss,76,11,0.04824561403508771,0.021929824561403508,0.07456140350877193,-0.004385964912280703,-0.03508771929824561,0.021929824561403508,0.06578947368421052,0.45454545454545453,-0.09090909090909095,76,0.06307107639778838,0.0461065352963157,0.08135041657691211,0.002219646364858893,-0.02057460314573346,0.026114510632795473,0.5394736842105263,0.5394736842105263,0.03519277760315387
round1,gptoss,maximin,76,43,0.20614035087719298,0.16228070175438597,0.24999999999999994,0.14473684210526314,0.08771929824561404,0.20175438596491227,0.47368421052631576,0.8372093023255814,0.702127659574468,76,0.323128688308625,0.2728316254174862,0.37417721761993883,0.30732426447655786,0.2511688501697228,0.3607966841466015,0.9210526315789473,0.9210526315789473,0.95108938202054
round1,gptoss,risk,76,9,0.039473684210526314,0.017543859649122806,0.06578947368421051,0.004385964912280701,-0.021929824561403508,0.030701754385964907,0.06578947368421052,0.5555555555555556,0.11111111111111109,76,0.06737489736497101,0.04694733975779327,0.09356140651971138,0.028190921863630435,0.0024319941785841516,0.056240982603887844,0.5789473684210527,0.5789473684210527,0.4184187726612734
round1,gptoss,selfish,67,18,0.08955223880597014,0.05472636815920399,0.12935323383084577,-0.01990049751243781,-0.05970149253731343,0.019900497512437814,0.1044776119402985,0.3888888888888889,-0.22222222222222224,67,0.07754747940103505,0.05977100615554502,0.09720174126428102,-0.00016464435553879063,-0.026671620030333985,0.027233550574677072,0.5223880597014925,0.5223880597014925,-0.0021231425806548273
round1,llama31_instruct,inequity,30,18,0.2111111111111111,0.14444444444444443,0.27777777777777773,0.03333333333333333,-0.06666666666666668,0.13333333333333333,0.3333333333333333,0.5555555555555556,0.15789473684210525,30,0.0572739511865662,0.043504804818573266,0.07292837604548216,0.01606527414518438,-0.009378460589540881,0.040741376987645996,0.6,0.6,0.28049879242402515
round1,llama31_instruct,level1,67,33,0.16417910447761197,0.12437810945273632,0.2039800995024876,0.0049751243781094535,-0.054726368159203974,0.05970149253731343,0.2537313432835821,0.5151515151515151,0.030303030303030304,67,0.03732853101022387,0.029422948781262906,0.045917391315472234,-0.0034720492137083384,-0.016148969543981595,0.008975998149497273,0.5373134328358209,0.5373134328358209,-0.09301328286284244
round1,llama31_instruct,level2,35,26,0.27619047619047626,0.21904761904761902,0.3428571428571428,-0.009523809523809528,-0.1238095238095238,0.10476190476190476,0.34285714285714286,0.46153846153846156,-0.03448275862068966,35,0.043709128675287666,0.03231879011605821,0.05645241417384183,-0.009778296099657491,-0.02699580271228688,0.009176738595475417,0.45714285714285713,0.45714285714285713,-0.2237129038261053
round1,llama31_instruct,loss,76,13,0.05701754385964912,0.030701754385964914,0.08771929824561404,-0.004385964912280702,-0.03508771929824562,0.02631578947368421,0.07894736842105263,0.46153846153846156,-0.07692307692307694,76,0.08378253565877433,0.07489870749131558,0.09267032851665657,-0.0022633951045370805,-0.02317306181877654,0.01825315397007602,0.47368421052631576,0.47368421052631576,-0.02701511820739506
round1,llama31_instruct,maximin,76,28,0.12280701754385968,0.08771929824561404,0.1578947368421053,0.008771929824561403,-0.035087719298245626,0.05263157894736842,0.19736842105263158,0.5357142857142857,0.07142857142857141,76,0.03631993057851378,0.030113479644040205,0.04270398572725824,-0.0015857348787585376,-0.012024366222444417,0.008992384433927417,0.47368421052631576,0.47368421052631576,-0.043660184738806465
round1,llama31_instruct,risk,76,51,0.324561403508772,0.2631578947368421,0.3859649122807018,0.02631578947368421,-0.06578947368421052,0.11842105263157897,0.34210526315789475,0.5098039215686274,0.08108108108108106,76,0.09896531953068323,0.08101502130982116,0.11828238333058747,-0.004630479742792774,-0.03318113055310719,0.024476665904434605,0.47368421052631576,0.47368421052631576,-0.04678891317434831
round1,llama31_instruct,selfish,67,52,0.2587064676616916,0.22388059701492544,0.2885572139303483,0.029850746268656723,-0.03980099502487563,0.09950248756218906,0.43283582089552236,0.5576923076923077,0.11538461538461539,67,0.0432292041259265,0.0349545511817542,0.051789525347210055,-0.007218189971591599,-0.02087094900715761,0.006053753710750153,0.4626865671641791,0.4626865671641791,-0.16697485224490927
round1,qwen,inequity,30,19,0.36666666666666664,0.24444444444444444,0.48888888888888893,0.3,0.15555555555555553,0.4444444444444445,0.5333333333333333,0.8421052631578947,0.8181818181818182,30,0.1826634109199654,0.1452777025730571,0.22066040039592594,0.16233925037065655,0.11292747647696225,0.2082597006376012,0.8333333333333334,0.8333333333333334,0.8887343642224333
round1,qwen,level1,67,28,0.2139303482587065,0.1442786069651741,0.2885572139303483,0.11442786069651739,0.03482587064676615,0.20398009950248752,0.29850746268656714,0.7142857142857143,0.5348837209302324,67,0.13746830929342374,0.11724388919713755,0.15758124809932728,0.10343475434782085,0.07420753603375616,0.1325172946996859,0.746268656716418,0.746268656716418,0.7524261764727254
round1,qwen,level2,35,13,0.1904761904761905,0.10476190476190475,0.2952380952380952,-0.019047619047619063,-0.13333333333333333,0.08571428571428572,0.2,0.5384615384615384,-0.10000000000000007,35,0.15202837375069164,0.1299856245140819,0.17568706420390381,0.04379738863214983,-0.009747909724209776,0.09684717113887499,0.4857142857142857,0.4857142857142857,0.2880869376658091
round1,qwen,loss,76,43,0.28508771929824567,0.21491228070175442,0.3552631578947369,0.013157894736842094,-0.07894736842105263,0.10964912280701751,0.25,0.4418604651162791,0.04615384615384611,76,0.08997860553254865,0.07591876165089954,0.10387731006967355,-0.008696120587897448,-0.032967646466707086,0.015332022977225223,0.4342105263157895,0.4342105263157895,-0.09664653654530947
round1,qwen,maximin,76,27,0.1666666666666667,0.11403508771929824,0.2236842105263158,0.14035087719298248,0.07894736842105263,0.20614035087719296,0.3157894736842105,0.8888888888888888,0.8421052631578946,76,0.05617960761637502,0.04637906572095296,0.0664836023995068,0.02284047239030107,0.007907240649959157,0.038230281041767525,0.618421052631579,0.618421052631579,0.40656162190146045
round1,qwen,risk,76,36,0.2631578947368421,0.19298245614035087,0.3421052631578947,0.07017543859649122,-0.021929824561403525,0.16666666666666666,0.27631578947368424,0.5833333333333334,0.26666666666666666,76,0.10554967931496229,0.08956075550612087,0.12147329391725963,0.03360578626541962,0.006989646710109743,0.061321294168212505,0.618421052631579,0.618421052631579,0.318388331291271
round1,qwen,selfish,67,24,0.1791044776119403,0.1144278606965174,0.25373134328358204,0.12935323383084577,0.05472636815920398,0.20895522388059698,0.2835820895522388,0.7916666666666666,0.7222222222222222,67,0.09662520268812184,0.08211243768909783,0.11235862086645297,0.07203468287869887,0.04966618681694582,0.09375224899966272,0.8208955223880597,0.8208955223880597,0.7455061503074508
round1,qwen_instruct,inequity,30,10,0.2555555555555556,0.12222222222222223,0.39999999999999997,0.21111111111111114,0.06666666666666668,0.35555555555555557,0.3,0.9,0.8260869565217391,30,0.2862274217196556,0.18706165683924664,0.3965788217860041,0.2478067808253681,0.13779906996310007,0.3694676563363473,0.9,0.9,0.865768832827211
round1,qwen_instruct,level1,67,12,0.10945273631840796,0.04975124378109453,0.17910447761194026,-0.029850746268656716,-0.09950248756218906,0.03495024875621936,0.05970149253731343,0.3333333333333333,-0.2727272727272727,67,0.10734531565864858,0.07218005216889961,0.14735268402364746,0.0070283459800879475,-0.03963776082666894,0.052514026945477535,0.8059701492537313,0.8059701492537313,0.06547417497413348
