model,cue,metric,n_games,eta2_game_class,perm_p_eta2,class_spread,low_class,low_class_mean,high_class,high_class_mean
llama31_instruct,maximin,signed_target,76,0.02467402530338236,0.8780304923769058,0.06481481481481476,CO1,-0.005555555555555514,MP,0.05925925925925925
llama31_instruct,risk,movement_size,76,0.020729910832716938,0.9262684328917771,0.11666666666666667,CO1,0.18333333333333326,CO2,0.29999999999999993
llama31_instruct,risk,signed_target,76,0.10498235462818843,0.16970757310672333,0.31111111111111117,CO2,-0.10000000000000002,MP,0.21111111111111114
llama31_instruct,selfish,movement_size,67,0.041707981189414586,0.7473131717070732,0.08703703703703702,CO2,0.19999999999999996,OD1,0.287037037037037
llama31_instruct,selfish,signed_target,67,0.16744083510261856,0.036740814796300925,0.3255555555555555,OD2,-0.13888888888888884,MP,0.18666666666666668
qwen,inequity,movement_size,30,0.008156801307812815,0.9995001249687578,0.07444444444444442,OD1,0.2722222222222222,MP,0.3466666666666666
qwen,inequity,signed_target,30,0.1132336425273491,0.709822544363909,0.19666666666666668,OD1,0.14999999999999994,MP,0.3466666666666666
qwen,loss,movement_size,76,0.2892293332320554,0.0004998750312421895,0.3705555555555555,DD,0.13499999999999998,CO1,0.5055555555555555
qwen,loss,signed_target,76,0.23176462198585435,0.0017495626093476631,0.5814814814814815,OD2,-0.18703703703703703,CO1,0.39444444444444443
qwen,maximin,movement_size,76,0.41329880927217655,0.00024993751562109475,0.4648148148148148,OD2,0.024074074074074057,CO1,0.4888888888888889
qwen,maximin,signed_target,76,0.16035369640010066,0.027243189202699324,0.4092592592592592,OD2,-0.009259259259259243,CO1,0.39999999999999997
qwen,risk,movement_size,76,0.3819893897560326,0.00024993751562109475,0.48333333333333334,OD2,0.10555555555555556,CO1,0.5888888888888889
qwen,risk,signed_target,76,0.2245828551818717,0.005998500374906273,0.5833333333333334,OD2,-0.10555555555555556,CO1,0.4777777777777778
qwen,selfish,movement_size,67,0.2775146223742716,0.005748562859285179,0.42055555555555557,DD,0.06833333333333333,CO2,0.4888888888888889
qwen,selfish,signed_target,67,0.1622792372363876,0.050487378155461136,0.4351851851851852,OD2,-0.0018518518518518485,CO1,0.43333333333333335
qwen_instruct,inequity,movement_size,30,0.1003665023352361,0.7680579855036241,0.2866666666666667,MP,0.06,DD,0.3466666666666667
qwen_instruct,inequity,signed_target,30,0.11022116930655813,0.738815296175956,0.39333333333333337,MP,-0.06,DD,0.33333333333333337
qwen_instruct,loss,movement_size,76,0.08055976123017392,0.30942264433891525,0.2051851851851852,OD1,0.08148148148148147,CO2,0.2866666666666667
qwen_instruct,loss,signed_target,76,0.10347531418224623,0.16795801049737566,0.23518518518518516,OD2,-0.187037037037037,MP,0.04814814814814815
qwen_instruct,maximin,movement_size,76,0.050766424184739485,0.5861034741314671,0.1422222222222222,DD,0.04666666666666666,MP,0.18888888888888886
qwen_instruct,maximin,signed_target,76,0.1117972519250766,0.12671832041989503,0.2111111111111111,OD2,-0.02962962962962964,MP,0.18148148148148147
qwen_instruct,risk,movement_size,76,0.03273448205891175,0.810047488127968,0.1425925925925926,OD1,0.10925925925925924,MP,0.2518518518518518
qwen_instruct,risk,signed_target,76,0.05634566010660658,0.5223694076480879,0.2166666666666667,OD2,-0.1425925925925926,MP,0.0740740740740741
qwen_instruct,selfish,movement_size,67,0.061116472386356396,0.5573606598350412,0.2703703703703704,CO2,0.2222222222222222,OD2,0.49259259259259264
qwen_instruct,selfish,signed_target,67,0.07557097901344353,0.42089477630592353,0.33333333333333326,DD,-0.41999999999999993,MP,-0.08666666666666666
