period,model,cue,game,game_class,target_action,base_real0,cue_real0,delta_real0,abs_delta_real0,signed_target_real,toward_real,base_pref0,cue_pref0,delta_pref0,abs_delta_pref0,signed_target_pref,toward_pref
round10,qwen,inequity,ShBa,MP,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.39058522059724,0.20977459111547644,-0.18081062948176355,0.18081062948176355,0.18081062948176355,True
round10,qwen,inequity,ShCh,MP,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.44954838398300434,0.3528511228183628,-0.09669726116464156,0.09669726116464156,0.09669726116464156,True
round10,qwen,risk,AsAs,CO1,1,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.6666666666666666,True,0.5311286280230426,0.32622623244826476,-0.20490239557477785,0.20490239557477785,0.20490239557477785,True
round10,qwen,risk,AsBa,MP,1,0.0,0.0,0.0,0.0,-0.0,False,0.2494439471858786,0.3308589806150452,0.08141503342916662,0.08141503342916662,-0.08141503342916662,False
round10,qwen,risk,BaBa,CO2,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6216287470828793,0.49415760801929237,-0.12747113906358692,0.12747113906358692,-0.12747113906358692,False
round10,qwen,risk,ChAs,MP,0,1.0,1.0,0.0,0.0,0.0,False,0.6964732547537794,0.732648657320553,0.03617540256677354,0.03617540256677354,0.03617540256677354,True
round10,qwen,risk,ChBa,CO2,0,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,-0.6666666666666666,False,0.5613055137343859,0.4587080081831192,-0.10259750555126668,0.10259750555126668,-0.10259750555126668,False
round10,qwen,risk,CmAs,OD1,1,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,0.33333333333333337,True,0.7207545288050601,0.6105766814421711,-0.11017784736288894,0.11017784736288894,0.11017784736288894,True
round10,qwen,risk,CmBa,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.16790385869584093,0.26195218491115074,0.09404832621530981,0.09404832621530981,-0.09404832621530981,False
round10,qwen,risk,CmCh,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.2997011738537407,0.29042655507259657,-0.009274618781144106,0.009274618781144106,0.009274618781144106,True
round10,qwen,risk,CmCm,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.27037669563371364,0.2509821325827107,-0.019394563051002955,0.019394563051002955,0.019394563051002955,True
round10,qwen,risk,CmCo,OD2,1,0.0,0.0,0.0,0.0,-0.0,False,0.3690966580023401,0.3988227709576358,0.029726112955295703,0.029726112955295703,-0.029726112955295703,False
round10,qwen,risk,CmHr,OD2,1,0.0,0.0,0.0,0.0,-0.0,False,0.3219902043994289,0.358276993075845,0.036286788676416104,0.036286788676416104,-0.036286788676416104,False
round10,qwen,risk,CmNc,DD,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.4159912232996568,0.31356569434305076,-0.10242552895660606,0.10242552895660606,0.10242552895660606,True
round10,qwen,risk,CmPc,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.2182288264454549,0.2485273166316041,0.03029849018614919,0.03029849018614919,-0.03029849018614919,False
round10,qwen,risk,CmPd,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.3308589811111703,0.32207725024932377,-0.008781730861846526,0.008781730861846526,0.008781730861846526,True
round10,qwen,risk,CmSh,OD1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.4040740234565597,0.3030837497252815,-0.10099027373127817,0.10099027373127817,0.10099027373127817,True
round10,qwen,risk,CoAs,CO2,0,1.0,1.0,0.0,0.0,0.0,False,0.7549149909965459,0.7305861966653054,-0.024328794331240466,0.024328794331240466,-0.024328794331240466,False
round10,qwen,risk,CoBa,MP,0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.5516143675966169,0.46934358669961135,-0.08227078089700551,0.08227078089700551,-0.08227078089700551,False
round10,qwen,risk,CoCh,MP,0,1.0,0.3333333333333333,-0.6666666666666667,0.6666666666666667,-0.6666666666666667,False,0.5924341472192794,0.4402737775290853,-0.15216036969019414,0.15216036969019414,-0.15216036969019414,False
round10,qwen,risk,CoCo,CO1,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6579155187416905,0.5798205077538287,-0.07809501098786187,0.07809501098786187,-0.07809501098786187,False
round10,qwen,risk,CoSh,CO2,0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,False,0.5200568707883045,0.5912713871225683,0.07121451633426379,0.07121451633426379,0.07121451633426379,True
round10,qwen,risk,DlAs,OD1,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.3820818833855994,0.3974033518793069,0.015321468493707524,0.015321468493707524,-0.015321468493707524,False
round10,qwen,risk,DlBa,OD1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.31211168193873745,0.3070207091952331,-0.005090972743504341,0.005090972743504341,0.005090972743504341,True
round10,qwen,risk,DlCh,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.33937053217571317,0.31235836597576155,-0.027012166199951615,0.027012166199951615,0.027012166199951615,True
round10,qwen,risk,DlCm,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.272143428943108,0.24557553044470012,-0.026567898498407877,0.026567898498407877,0.026567898498407877,True
round10,qwen,risk,DlCo,OD2,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.43729283306614475,0.49225972709201704,0.05496689402587229,0.05496689402587229,-0.05496689402587229,False
round10,qwen,risk,DlDl,DD,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.36986057009595785,0.32570783079890864,-0.044152739297049215,0.044152739297049215,0.044152739297049215,True
round10,qwen,risk,DlHa,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.2628688188609372,0.3614352042543943,0.09856638539345708,0.09856638539345708,-0.09856638539345708,False
round10,qwen,risk,DlHr,OD2,1,0.0,0.0,0.0,0.0,-0.0,False,0.31896485472665426,0.33365996976909257,0.014695115042438311,0.014695115042438311,-0.014695115042438311,False
round10,qwen,risk,DlNc,DD,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.3781714754459913,0.3135657045883459,-0.0646057708576454,0.0646057708576454,0.0646057708576454,True
round10,qwen,risk,DlPc,DD,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.42298048041087516,0.4318492620195294,0.00886878160865423,0.00886878160865423,-0.00886878160865423,False
round10,qwen,risk,DlPd,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.3500645053413411,0.31554446771701455,-0.03452003762432654,0.03452003762432654,0.03452003762432654,True
round10,qwen,risk,DlSh,OD1,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.5315451657802978,0.38397974911107274,-0.147565416669225,0.147565416669225,0.147565416669225,True
round10,qwen,risk,HaAs,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.751555107975082,0.6503413251784426,-0.1012137827966394,0.1012137827966394,-0.1012137827966394,False
round10,qwen,risk,HaBa,OD2,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6791786867639095,0.5712364312002062,-0.1079422555637033,0.1079422555637033,-0.1079422555637033,False
round10,qwen,risk,HaCh,OD2,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.7040182822312868,0.6198813326772137,-0.08413694955407314,0.08413694955407314,-0.08413694955407314,False
round10,qwen,risk,HaCm,DD,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6602722414022812,0.5709373568964426,-0.0893348845058386,0.0893348845058386,-0.0893348845058386,False
round10,qwen,risk,HaCo,OD1,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.7125543774406883,0.5685950116316142,-0.1439593658090741,0.1439593658090741,-0.1439593658090741,False
round10,qwen,risk,HaHa,DD,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.7514726819965304,0.644697896477538,-0.10677478551899244,0.10677478551899244,-0.10677478551899244,False
round10,qwen,risk,HaHr,OD1,0,1.0,1.0,0.0,0.0,0.0,False,0.735318190264794,0.704018294951324,-0.031299895313469994,0.031299895313469994,-0.031299895313469994,False
round10,qwen,risk,HaNc,DD,0,1.0,1.0,0.0,0.0,0.0,False,0.8285410460290552,0.8006752106158664,-0.027865835413188766,0.027865835413188766,-0.027865835413188766,False
round10,qwen,risk,HaPc,DD,0,1.0,1.0,0.0,0.0,0.0,False,0.7365856088697854,0.7053407544933937,-0.031244854376391684,0.031244854376391684,-0.031244854376391684,False
round10,qwen,risk,HaPd,DD,0,1.0,1.0,0.0,0.0,0.0,False,0.7268667335919795,0.6943864521267048,-0.03248028146527471,0.03248028146527471,-0.03248028146527471,False
round10,qwen,risk,HaSh,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.7632047553565734,0.8075182523266617,0.04431349697008835,0.04431349697008835,0.04431349697008835,True
round10,qwen,risk,HrAs,MP,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.6406652192805163,0.5036311783620141,-0.13703404091850224,0.13703404091850224,0.13703404091850224,True
round10,qwen,risk,HrBa,CO1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.38268239596201986,0.23552452187861364,-0.14715787408340622,0.14715787408340622,0.14715787408340622,True
round10,qwen,risk,HrCh,CO1,1,1.0,0.3333333333333333,-0.6666666666666667,0.6666666666666667,0.6666666666666667,True,0.6216287395100408,0.410679487835079,-0.2109492516749618,0.2109492516749618,0.2109492516749618,True
round10,qwen,risk,HrCo,MP,1,1.0,0.0,-1.0,1.0,1.0,True,0.7412814384072681,0.38995399437635786,-0.35132744403091026,0.35132744403091026,0.35132744403091026,True
round10,qwen,risk,HrHr,CO2,1,1.0,0.0,-1.0,1.0,1.0,True,0.5924341481819178,0.33170909229780077,-0.260725055884117,0.260725055884117,0.260725055884117,True
round10,qwen,risk,HrSh,MP,1,1.0,0.0,-1.0,1.0,1.0,True,0.7604238849345526,0.3886594085880784,-0.3717644763464742,0.3717644763464742,0.3717644763464742,True
round10,qwen,risk,NcAs,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.7534615799821296,0.7668864563253677,0.013424876343238079,0.013424876343238079,0.013424876343238079,True
round10,qwen,risk,NcBa,OD2,0,1.0,0.3333333333333333,-0.6666666666666667,0.6666666666666667,-0.6666666666666667,False,0.5412919854695298,0.45878875877737385,-0.08250322669215598,0.08250322669215598,-0.08250322669215598,False
round10,qwen,risk,NcCh,OD2,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6125284164529267,0.5203340337563119,-0.09219438269661473,0.09219438269661473,-0.09219438269661473,False
round10,qwen,risk,NcCo,OD1,0,1.0,1.0,0.0,0.0,0.0,False,0.7203949432745608,0.7026111247544007,-0.01778381852016009,0.01778381852016009,-0.01778381852016009,False
round10,qwen,risk,NcHr,OD1,0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,False,0.4666427046295644,0.4437059821911753,-0.022936722438389123,0.022936722438389123,-0.022936722438389123,False
round10,qwen,risk,NcNc,DD,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6663121492362424,0.5207254958738138,-0.1455866533624286,0.1455866533624286,-0.1455866533624286,False
round10,qwen,risk,NcPd,DD,0,1.0,0.3333333333333333,-0.6666666666666667,0.6666666666666667,-0.6666666666666667,False,0.5620174846318133,0.46911113647932395,-0.09290634815248938,0.09290634815248938,-0.09290634815248938,False
round10,qwen,risk,NcSh,OD2,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6762430597600901,0.5606149841011772,-0.11562807565891298,0.11562807565891298,-0.11562807565891298,False
round10,qwen,risk,PcAs,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.8085080798133774,0.7613867693976415,-0.04712131041573586,0.04712131041573586,-0.04712131041573586,False
round10,qwen,risk,PcBa,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.7391112133045444,0.6747645409549173,-0.0643466723496271,0.0643466723496271,-0.0643466723496271,False
round10,qwen,risk,PcCh,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.7305861861925478,0.6561487822803308,-0.07443740391221698,0.07443740391221698,-0.07443740391221698,False
round10,qwen,risk,PcCo,OD1,0,1.0,1.0,0.0,0.0,0.0,False,0.8340615679751163,0.8046493456514213,-0.029412222323695003,0.029412222323695003,-0.029412222323695003,False
round10,qwen,risk,PcHr,OD1,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.7291790262605503,0.5396319514111471,-0.18954707484940325,0.18954707484940325,-0.18954707484940325,False
round10,qwen,risk,PcNc,DD,0,1.0,1.0,0.0,0.0,0.0,False,0.8724734170240659,0.8565183508853336,-0.01595506613873232,0.01595506613873232,-0.01595506613873232,False
round10,qwen,risk,PcPc,DD,0,1.0,1.0,0.0,0.0,0.0,False,0.7604238852201135,0.7803113234888571,0.019887438268743618,0.019887438268743618,0.019887438268743618,True
round10,qwen,risk,PcPd,DD,0,1.0,1.0,0.0,0.0,0.0,False,0.6871973675874216,0.6309033439291906,-0.056294023658230996,0.056294023658230996,-0.056294023658230996,False
round10,qwen,risk,PcSh,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.855986321501128,0.7688483986323553,-0.08713792286877264,0.08713792286877264,-0.08713792286877264,False
round10,qwen,risk,PdAs,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.45854899798146936,0.39793401405602696,-0.0606149839254424,0.0606149839254424,0.0606149839254424,True
round10,qwen,risk,PdBa,OD1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.3160659971647937,0.22408808054542637,-0.09197791661936736,0.09197791661936736,0.09197791661936736,True
round10,qwen,risk,PdCh,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.3457889781176707,0.31926392088920547,-0.02652505722846521,0.02652505722846521,0.02652505722846521,True
round10,qwen,risk,PdCo,OD2,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.4988372612896381,0.581639563095869,0.08280230180623083,0.08280230180623083,-0.08280230180623083,False
round10,qwen,risk,PdHr,OD2,1,0.0,0.0,0.0,0.0,-0.0,False,0.33655778346499154,0.297557053912711,-0.039000729552280566,0.039000729552280566,0.039000729552280566,True
round10,qwen,risk,PdSh,OD1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.37765474080079914,0.23114825539673842,-0.14650648540406072,0.14650648540406072,0.14650648540406072,True
round10,qwen,risk,ShAs,CO1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.4413359006154611,0.34976543323997905,-0.09157046737548202,0.09157046737548202,0.09157046737548202,True
round10,qwen,risk,ShBa,MP,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.39058522059724,0.28177527460589386,-0.10880994599134614,0.10880994599134614,0.10880994599134614,True
round10,qwen,risk,ShCh,MP,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.44954838398300434,0.3401335967740846,-0.10941478720891973,0.10941478720891973,0.10941478720891973,True
round10,qwen,risk,ShSh,CO1,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.5581918913231616,0.40022527028437943,-0.15796662103878217,0.15796662103878217,0.15796662103878217,True
round10,qwen,loss,AsAs,CO1,1,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.6666666666666666,True,0.5311286280230426,0.3901130043490865,-0.1410156236739561,0.1410156236739561,0.1410156236739561,True
round10,qwen,loss,AsBa,MP,1,0.0,0.0,0.0,0.0,-0.0,False,0.2494439471858786,0.36820789796638986,0.11876395078051127,0.11876395078051127,-0.11876395078051127,False
round10,qwen,loss,BaBa,CO2,0,1.0,0.3333333333333333,-0.6666666666666667,0.6666666666666667,-0.6666666666666667,False,0.6216287470828793,0.45043713235495586,-0.17119161472792344,0.17119161472792344,-0.17119161472792344,False
round10,qwen,loss,ChAs,MP,0,1.0,1.0,0.0,0.0,0.0,False,0.6964732547537794,0.7082938111806484,0.011820556426868967,0.011820556426868967,0.011820556426868967,True
round10,qwen,loss,ChBa,CO2,0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,False,0.5613055137343859,0.5104031173808335,-0.050902396353552315,0.050902396353552315,-0.050902396353552315,False
round10,qwen,loss,CmAs,OD1,1,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,0.33333333333333337,True,0.7207545288050601,0.6113397462897141,-0.10941478251534598,0.10941478251534598,0.10941478251534598,True
round10,qwen,loss,CmBa,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.16790385869584093,0.28155776741128385,0.11365390871544293,0.11365390871544293,-0.11365390871544293,False
round10,qwen,loss,CmCh,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.2997011738537407,0.2955758744773168,-0.004125299376423863,0.004125299376423863,0.004125299376423863,True
round10,qwen,loss,CmCm,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.27037669563371364,0.27509521177335505,0.0047185161396414155,0.0047185161396414155,-0.0047185161396414155,False
round10,qwen,loss,CmCo,OD2,1,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.6666666666666666,False,0.3690966580023401,0.5756970421743428,0.20660038417200272,0.20660038417200272,-0.20660038417200272,False
round10,qwen,loss,CmHr,OD2,1,0.0,0.0,0.0,0.0,-0.0,False,0.3219902043994289,0.39740249496293006,0.07541229056350118,0.07541229056350118,-0.07541229056350118,False
round10,qwen,loss,CmNc,DD,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.4159912232996568,0.41370587028710987,-0.0022853530125469534,0.0022853530125469534,0.0022853530125469534,True
round10,qwen,loss,CmPc,DD,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.2182288264454549,0.4415962321487865,0.2233674057033316,0.2233674057033316,-0.2233674057033316,False
round10,qwen,loss,CmPd,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.3308589811111703,0.30308374765746543,-0.027775233453704862,0.027775233453704862,0.027775233453704862,True
round10,qwen,loss,CmSh,OD1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.4040740234565597,0.34013359907191515,-0.06394042438464453,0.06394042438464453,0.06394042438464453,True
round10,qwen,loss,CoAs,CO2,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.7549149909965459,0.6352113989740965,-0.1197035920224494,0.1197035920224494,-0.1197035920224494,False
round10,qwen,loss,CoBa,MP,0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.5516143675966169,0.42298047595182736,-0.1286338916447895,0.1286338916447895,-0.1286338916447895,False
round10,qwen,loss,CoCh,MP,0,1.0,0.0,-1.0,1.0,-1.0,False,0.5924341472192794,0.41836045437174274,-0.1740736928475367,0.1740736928475367,-0.1740736928475367,False
round10,qwen,loss,CoCo,CO1,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6579155187416905,0.5504516272548975,-0.10746389148679303,0.10746389148679303,-0.10746389148679303,False
round10,qwen,loss,CoSh,CO2,0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,False,0.5200568707883045,0.5705458908113482,0.050489020023043674,0.050489020023043674,0.050489020023043674,True
round10,qwen,loss,DlAs,OD1,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.3820818833855994,0.46380025174766176,0.08171836836206237,0.08171836836206237,-0.08171836836206237,False
round10,qwen,loss,DlBa,OD1,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.31211168193873745,0.28811425004609487,-0.023997431892642584,0.023997431892642584,0.023997431892642584,True
round10,qwen,loss,DlCh,OD1,1,0.0,0.0,0.0,0.0,-0.0,False,0.33937053217571317,0.34965868003242234,0.010288147856709173,0.010288147856709173,-0.010288147856709173,False
round10,qwen,loss,DlCm,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.272143428943108,0.29421496159130084,0.022071532648192838,0.022071532648192838,-0.022071532648192838,False
round10,qwen,loss,DlCo,OD2,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.43729283306614475,0.43314385168393826,-0.004148981382206485,0.004148981382206485,0.004148981382206485,True
round10,qwen,loss,DlDl,DD,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.36986057009595785,0.34013359257065096,-0.029726977525306897,0.029726977525306897,0.029726977525306897,True
round10,qwen,loss,DlHa,DD,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,False,0.2628688188609372,0.4198222658796171,0.15695344701867986,0.15695344701867986,-0.15695344701867986,False
round10,qwen,loss,DlHr,OD2,1,0.0,0.0,0.0,0.0,-0.0,False,0.31896485472665426,0.3983254833593483,0.07936062863269405,0.07936062863269405,-0.07936062863269405,False
round10,qwen,loss,DlNc,DD,1,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,True,0.3781714754459913,0.33368785114608296,-0.04448362429990832,0.04448362429990832,0.04448362429990832,True
round10,qwen,loss,DlPc,DD,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,False,0.42298048041087516,0.4502046918067242,0.02722421139584902,0.02722421139584902,-0.02722421139584902,False
round10,qwen,loss,DlPd,DD,1,0.0,0.0,0.0,0.0,-0.0,False,0.3500645053413411,0.34900236821741265,-0.0010621371239284416,0.0010621371239284416,0.0010621371239284416,True
round10,qwen,loss,DlSh,OD1,1,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.6666666666666666,True,0.5315451657802978,0.3524068465755807,-0.17913831920471707,0.17913831920471707,0.17913831920471707,True
round10,qwen,loss,HaAs,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.751555107975082,0.6410667050315683,-0.1104884029435137,0.1104884029435137,-0.1104884029435137,False
round10,qwen,loss,HaBa,OD2,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.6791786867639095,0.5412919907662269,-0.13788669599768255,0.13788669599768255,-0.13788669599768255,False
round10,qwen,loss,HaCh,OD2,0,1.0,1.0,0.0,0.0,0.0,False,0.7040182822312868,0.6202093667557902,-0.08380891547549663,0.08380891547549663,-0.08380891547549663,False
round10,qwen,loss,HaCm,DD,0,1.0,1.0,0.0,0.0,0.0,False,0.6602722414022812,0.6216287334804736,-0.038643507921807596,0.038643507921807596,-0.038643507921807596,False
round10,qwen,loss,HaCo,OD1,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.7125543774406883,0.6035874202019184,-0.10896695723876992,0.10896695723876992,-0.10896695723876992,False
round10,qwen,loss,HaHa,DD,0,1.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,False,0.7514726819965304,0.5924332888977627,-0.1590393930987677,0.1590393930987677,-0.1590393930987677,False
