model,round,cue,game,class,target_action,base_pref_target,cue_pref_target,shift_pref,base_real_target,cue_real_target,shift_real
gptoss,1,level2,CoCo,CO1,0,0.20409921128057748,0.34132744955934874,0.13722823827877126,0.6666666666666666,0.6666666666666666,0.0
gptoss,1,level2,DlCm,DD,1,0.38498160900278877,0.5253800325067637,0.1403984235039749,0.6666666666666667,0.33333333333333337,-0.33333333333333337
gptoss,1,level2,DlCo,OD2,1,0.18749240697155123,0.6509464743793001,0.46345406740774886,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level2,DlDl,DD,1,0.5634364978185797,0.4966261171348846,-0.06681038068369516,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level2,DlHa,DD,1,0.6811323765842139,0.4093598261683903,-0.2717725504158236,0.33333333333333337,0.6666666666666667,0.33333333333333337
gptoss,1,level2,DlHr,OD2,1,0.6820903274710348,0.7259769132789595,0.043886585807924705,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,level2,DlNc,DD,1,0.749665662695995,0.7202458861875858,-0.029419776508409212,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level2,DlPc,DD,1,0.20891250960610097,0.26155637693339984,0.052643867327298866,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,level2,DlPd,DD,1,0.40192042805809625,0.5585634958338301,0.1566430677757339,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level2,HaCm,DD,0,0.19020840453963198,0.2271064075226165,0.03689800298298451,0.0,0.0,0.0
gptoss,1,level2,HaCo,OD1,0,0.5612945289437191,0.5327572725484869,-0.02853725639523219,0.6666666666666666,0.6666666666666666,0.0
gptoss,1,level2,HaHa,DD,0,0.6553256957377511,0.5485495164041027,-0.10677617933364847,0.6666666666666666,0.6666666666666666,0.0
gptoss,1,level2,HaHr,OD1,0,0.7798278797688889,0.6582041326235487,-0.12162374714534019,1.0,1.0,0.0
gptoss,1,level2,HaNc,DD,0,0.5389679506525499,0.4257725661094795,-0.11319538454307038,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level2,HaPc,DD,0,0.9329527822611402,0.6421229483420428,-0.29082983391909745,0.6666666666666666,0.0,-0.6666666666666666
gptoss,1,level2,HaPd,DD,0,0.7298006001740469,0.7092131876120642,-0.02058741256198271,0.6666666666666666,0.6666666666666666,0.0
gptoss,1,level2,HrCo,MP,1,0.3466900747153213,0.32820184264494046,-0.01848823207038086,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,level2,HrHr,CO2,0,0.5114335533834137,0.5599741800545938,0.04854062667118009,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level2,NcCo,OD1,0,0.3355343667224708,0.5025729171086448,0.16703855038617405,0.3333333333333333,0.3333333333333333,0.0
