model,round,cue,n,mean_shift,median_shift,frac_positive,base,cuelevel,real_shift
llama31_instruct,10,level2,35,-0.009634375718276592,-0.015453668871772741,0.4857142857142857,0.509480465967943,0.49984609024966653,-0.07619047619047618
llama31_instruct,10,loss,76,0.010217555453382654,0.011037729077829628,0.5921052631578947,0.4910209545594754,0.501238510012858,0.026315789473684216
llama31_instruct,10,maximin,76,0.016272623049777953,0.02980028250385436,0.6710526315789473,0.4910209545594754,0.5072935776092533,0.03070175438596492
llama31_instruct,10,risk,76,-0.005872870272111591,-0.003903363206063326,0.4868421052631579,0.4910209545594754,0.48514808428736383,0.021929824561403518
llama31_instruct,10,selfish,67,0.01009747911870897,0.006037557226499457,0.5074626865671642,0.4915077040961631,0.5016051832148721,0.0049751243781094665
qwen,1,inequity,30,0.1623392503706565,0.17283202541831194,0.8333333333333334,0.50242136601895,0.6647606163896066,0.3
qwen,1,level1,67,0.10343475434782083,0.15843071017119592,0.746268656716418,0.6094655139017,0.7129002682495209,0.11442786069651739
qwen,1,level2,35,0.04379738863214983,-0.035592668750655254,0.4857142857142857,0.6255649222696007,0.6693623109017506,-0.019047619047619067
qwen,1,loss,76,-0.008696120587897448,-0.013026713550887026,0.4342105263157895,0.5945833837613046,0.5858872631734071,0.013157894736842096
qwen,1,maximin,76,0.022840472390301077,0.016551299943908526,0.618421052631579,0.5945833837613046,0.6174238561516057,0.14035087719298245
qwen,1,risk,76,0.03360578626541962,0.03898377435204481,0.618421052631579,0.5945833837613046,0.6281891700267243,0.07017543859649121
qwen,1,selfish,67,0.07203468287869887,0.061305508011020415,0.8208955223880597,0.6094655139017,0.681500196780399,0.12935323383084577
qwen,10,inequity,30,0.08009116998235503,0.09932478567652192,0.6333333333333333,0.5531226441431821,0.6332138141255373,0.21111111111111114
qwen,10,level1,67,0.05723403945971782,0.031790422097726534,0.6119402985074627,0.6443868806956735,0.7016209201553912,0.05970149253731341
qwen,10,level2,35,-0.07851180021874939,-0.08931965363880257,0.22857142857142856,0.6681456300975286,0.5896338298787791,-0.09523809523809527
qwen,10,loss,76,-0.026136323886605525,-0.041901314715040994,0.40789473684210525,0.6372775598743866,0.611141235987781,-0.01315789473684212
qwen,10,maximin,76,0.024533469058836674,0.009631833360642217,0.5526315789473685,0.6372775598743866,0.6618110289332232,0.07456140350877193
qwen,10,risk,76,0.005234996253515992,-0.016869442329446205,0.4473684210526316,0.6372775598743866,0.6425125561279025,0.02631578947368419
qwen,10,selfish,67,0.1060700657462675,0.09306325843900376,0.8507462686567164,0.6443868806956735,0.750456946441941,0.1144278606965174
qwen_instruct,1,inequity,30,0.2478067808253681,0.11880235296894442,0.9,0.6012760990922384,0.8490828799176066,0.21111111111111114
qwen_instruct,1,level1,67,0.0070283459800879414,0.016062423008138538,0.8059701492537313,0.8645803736308196,0.8716087196109076,-0.029850746268656716
qwen_instruct,1,level2,35,-0.022806979939273185,0.009369358906077596,0.6285714285714286,0.8691316986668116,0.8463247187275384,-0.06666666666666667
qwen_instruct,1,loss,76,-0.08035527429119976,-0.021437801432953263,0.3684210526315789,0.8378239435857591,0.7574686692945594,-0.09649122807017543
qwen_instruct,1,maximin,76,0.04678551916137804,0.019818269353147788,0.8289473684210527,0.8378239435857591,0.884609462747137,-0.004385964912280707
qwen_instruct,1,risk,76,-0.05256602940879214,0.010106718600716047,0.5921052631578947,0.8378239435857591,0.785257914176967,-0.09649122807017543
qwen_instruct,1,selfish,67,-0.31350870093088257,-0.3514923744550672,0.08955223880597014,0.8645803736308196,0.551071672699937,-0.373134328358209
qwen_instruct,10,inequity,30,0.12565890779672753,0.0016890593213567118,0.6333333333333333,0.6836752895051871,0.8093341973019147,0.12222222222222223
qwen_instruct,10,level1,67,0.018778228393176066,0.0019129629708077855,0.7761194029850746,0.8364531352408691,0.8552313636340452,0.004975124378109452
qwen_instruct,10,level2,35,-0.1399752595701218,-0.04099204811637447,0.14285714285714285,0.8418721753485072,0.7018969157783854,-0.1619047619047619
qwen_instruct,10,loss,76,-0.05907189086713459,-0.0030397578319442675,0.3684210526315789,0.8244228603090541,0.7653509694419194,-0.06140350877192983
qwen_instruct,10,maximin,76,0.054809294826743175,0.0015480711280263515,0.5131578947368421,0.8244228603090541,0.8792321551357972,0.04824561403508772
qwen_instruct,10,risk,76,-0.04701187889536787,0.00017635712367403134,0.5526315789473685,0.8244228603090541,0.7774109814136863,-0.057017543859649134
qwen_instruct,10,selfish,67,-0.2818785210704643,-0.3888989031312826,0.16417910447761194,0.8364531352408691,0.5545746141704047,-0.31343283582089554
