model,round,trait,family,n_games,magnitude,magnitude_lo,magnitude_hi,magnitude_null,flip_rate,flip_rate_aligned,dir_shift,dir_lo,dir_hi,dir_net,dir_net_lo,dir_net_hi,directionality_index,base_pref_mean,dose_slope,dose_slope_lo,dose_slope_hi,dose_r,dose_slope_null,n_movable,dir_net_movable,dir_net_movable_lo,dir_net_movable_hi,dose_slope_movable,dose_slope_movable_lo,dose_slope_movable_hi
llama31_instruct,1,selfish,trait,67,0.2587064676616916,0.22388059701492544,0.28855721393034833,0.18407960199004977,0.2885572139303483,0.5517241379310345,0.029850746268656723,-0.03980099502487563,0.09950248756218905,0.014925373134328358,-0.029850746268656716,0.05472636815920399,0.11538461538461539,0.4875621890547264,0.011530722798328428,-0.008118437143079202,0.03183986357427273,0.14079763288619931,0.004204715472321109,11,-0.030303030303030307,-0.09090909090909091,0.0,0.0,0.0,0.0
llama31_instruct,10,inequity,trait,30,0.25555555555555554,0.17777777777777778,0.3333333333333333,0.26666666666666666,0.3,0.6296296296296297,0.07777777777777778,-0.03333333333333333,0.19999999999999993,-0.011111111111111112,-0.07777777777777778,0.055555555555555546,0.30434782608695654,0.4000000000000001,0.003086419753086405,-0.05769609498086883,0.07265089163237315,0.014774740239264565,0.0015432098765431783,17,0.019607843137254898,-0.058823529411764705,0.0980392156862745,-0.022768670309653953,-0.0973187980587034,0.06805555555555554
llama31_instruct,10,level1,rule,67,0.21393034825870647,0.1592039800995025,0.2736318407960199,0.31343283582089554,0.2736318407960199,0.41818181818181815,-0.04477611940298507,-0.11940298507462689,0.029850746268656716,-0.04975124378109453,-0.1044776119402985,0.004975124378109452,-0.20930232558139533,0.4975124378109454,-0.04545220038177786,-0.08641181813210959,-0.007359620481062854,-0.27206130566713366,-0.016354537481298063,33,-0.010101010101010104,-0.0808080808080808,0.050505050505050504,-0.025389801938474503,-0.0631151379119727,0.013275564478622829
llama31_instruct,10,level2,rule,35,0.4380952380952381,0.37142857142857144,0.5047619047619047,0.2952380952380953,0.5523809523809524,0.43103448275862066,-0.0761904761904762,-0.2380952380952381,0.07642857142857233,0.02857142857142857,-0.05714285714285714,0.11428571428571428,-0.1739130434782609,0.5714285714285714,-0.0324074074074074,-0.0734683865237004,0.006686274081075315,-0.2698931969327767,-0.04166666666666665,20,0.05,-0.06666666666666667,0.16666666666666669,-0.013957307060755339,-0.03859852690798726,0.010337311546111942
llama31_instruct,10,loss,trait,76,0.16666666666666669,0.12719298245614036,0.21052631578947373,0.30701754385964913,0.20175438596491227,0.5652173913043478,0.026315789473684216,-0.030701754385964907,0.08333333333333333,0.026315789473684223,-0.07017543859649124,0.11842105263157897,0.15789473684210528,0.49561403508771934,0.010359536867763582,-0.022662330306236114,0.04455198107525961,0.07098331021737671,-0.021328458257160295,38,0.05263157894736842,-0.07894736842105263,0.18421052631578944,0.023778302299151996,-0.014319779871947614,0.059076904309969605
llama31_instruct,10,maximin,rule,76,0.1710526315789474,0.13157894736842107,0.21491228070175436,0.30701754385964913,0.20614035087719298,0.574468085106383,0.03070175438596492,-0.02203947368421049,0.08333333333333336,0.030701754385964907,-0.04385964912280702,0.10526315789473684,0.17948717948717952,0.49561403508771934,0.014929920780012169,-0.01649002502132879,0.04576580939841197,0.10782087583444849,-0.021328458257160295,38,0.026315789473684223,-0.07017543859649122,0.12280701754385963,0.007780400384649009,-0.03901825911462997,0.05151515151515149
llama31_instruct,10,risk,trait,76,0.39692982456140347,0.3464912280701754,0.4495614035087719,0.30701754385964913,0.4669603524229075,0.5188679245283019,0.019736842105263164,-0.08771929824561404,0.12499999999999997,0.019736842105263164,-0.039473684210526314,0.07894736842105263,0.04972375690607737,0.49561403508771934,-0.0066379385392183,-0.04505295827644031,0.03168985018151575,-0.037880512954315326,-0.021328458257160295,38,0.03508771929824561,-0.043859649122807015,0.10526315789473684,-0.0005245213742459688,-0.039406603825800045,0.04201724826122129
llama31_instruct,10,selfish,trait,67,0.472636815920398,0.4228855721393035,0.5174129353233832,0.31343283582089554,0.5522388059701493,0.5045045045045045,0.004975124378109459,-0.11442786069651742,0.1343283582089552,-8.285246452426541e-19,-0.05982587064676614,0.0646766169154229,0.010526315789473696,0.4975124378109454,-0.013955528040035114,-0.04792530480670941,0.020823633567111786,-0.09771810906996461,-0.016354537481298063,33,-0.010101010101010091,-0.09090909090909091,0.07070707070707072,-0.016540244416350585,-0.03906910252782493,0.00392213378069674
qwen,1,inequity,trait,30,0.36666666666666664,0.24444444444444444,0.48888888888888893,0.11111111111111113,0.36666666666666664,0.9090909090909091,0.3,0.15555555555555556,0.4444444444444445,0.32222222222222224,0.17777777777777776,0.47777777777777775,0.8181818181818182,0.5222222222222223,0.17901234567901225,0.08465171192443917,0.2790715725078604,0.5279494598900482,-0.015432098765432101,9,0.4444444444444444,0.14722222222222253,0.7407407407407408,0.20253164556962014,0.03164682539682532,0.3690605590062113
qwen,1,level1,rule,67,0.2139303482587065,0.1442786069651741,0.2885572139303482,0.06965174129353233,0.21393034825870647,0.7674418604651163,0.11442786069651739,0.034825870646766156,0.1990049751243781,0.054726368159203974,-0.024875621890547275,0.13432835820895522,0.5348837209302324,0.8258706467661692,0.0588918124129392,0.02662996923895113,0.09606013132997515,0.3296378397458348,0.028762317494711864,16,0.18749999999999997,-0.02083333333333335,0.375,-0.010482180293501089,-0.18527777777777768,0.050000000000000024
