model,cue,game_class,n_games,n_moved_real,mean_abs_real,mean_abs_real_lo,mean_abs_real_hi,mean_signed_target_real,mean_signed_target_real_lo,mean_signed_target_real_hi,frac_toward_real_nonzero,directional_efficiency_real
qwen,risk,OD1,18,10,0.16481481481481483,0.08333333333333334,0.2518518518518518,0.09814814814814815,-0.005555555555555564,0.20555555555555555,0.7,0.5955056179775281
qwen,risk,OD2,18,7,0.10555555555555556,0.027777777777777776,0.20189814814814833,-0.10555555555555556,-0.19999999999999998,-0.027777777777777766,0.0,-1.0
qwen,selfish,CO1,3,3,0.45555555555555555,0.0333333333333333,1.0,0.43333333333333335,-0.0333333333333333,1.0,0.6666666666666666,0.951219512195122
qwen,selfish,CO2,3,3,0.4888888888888889,0.1333333333333333,1.0,0.1777777777777778,-0.3333333333333333,1.0,0.3333333333333333,0.3636363636363637
qwen,selfish,DD,20,5,0.06833333333333333,0.016666666666666666,0.13333333333333333,0.065,0.013333333333333336,0.13166666666666665,0.8,0.951219512195122
qwen,selfish,MP,5,5,0.4733333333333333,0.19999999999999993,0.76,0.35333333333333333,-0.04016666666666659,0.7466666666666667,0.8,0.7464788732394367
qwen,selfish,OD1,18,9,0.2111111111111111,0.09074074074074073,0.35185185185185186,0.18888888888888888,0.05925925925925926,0.34074074074074073,0.7777777777777778,0.8947368421052632
qwen,selfish,OD2,18,5,0.07592592592592591,0.018518518518518517,0.14814814814814814,-0.0018518518518518485,-0.07592592592592591,0.07222222222222223,0.4,-0.024390243902438984
qwen_instruct,inequity,CO1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,1.0,1.0
qwen_instruct,inequity,CO2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
qwen_instruct,inequity,DD,5,3,0.3466666666666667,0.006666666666666659,0.7,0.33333333333333337,-0.013333333333333319,0.7,0.6666666666666666,0.9615384615384616
qwen_instruct,inequity,MP,5,1,0.06,0.0,0.18,-0.06,-0.18,0.0,0.0,-1.0
qwen_instruct,inequity,OD1,6,4,0.33888888888888885,0.0722222222222222,0.6166666666666667,0.1944444444444445,-0.14444444444444438,0.5333333333333333,0.5,0.5737704918032789
qwen_instruct,inequity,OD2,12,7,0.26944444444444443,0.08888888888888886,0.4749999999999999,0.22500000000000006,0.025000000000000022,0.458402777777778,0.5714285714285714,0.8350515463917528
qwen_instruct,loss,CO1,6,3,0.12777777777777777,0.03333333333333333,0.2333333333333333,-0.027777777777777773,-0.16666666666666663,0.11666666666666665,0.3333333333333333,-0.21739130434782605
qwen_instruct,loss,CO2,5,4,0.2866666666666667,0.1328333333333335,0.4333333333333334,0.020000000000000018,-0.26666666666666666,0.30666666666666675,0.5,0.06976744186046517
qwen_instruct,loss,DD,20,9,0.10499999999999998,0.038333333333333316,0.18833333333333335,-0.10499999999999998,-0.19,-0.03833333333333331,0.0,-1.0
qwen_instruct,loss,MP,9,5,0.18148148148148147,0.04074074074074073,0.34074074074074073,0.04814814814814815,-0.1222222222222222,0.24074074074074073,0.4,0.2653061224489796
qwen_instruct,loss,OD1,18,6,0.08148148148148147,0.014814814814814805,0.1685185185185185,-0.08148148148148147,-0.1685648148148148,-0.014814814814814812,0.0,-1.0
qwen_instruct,loss,OD2,18,10,0.19074074074074074,0.08518518518518516,0.3055555555555555,-0.187037037037037,-0.3092592592592592,-0.08333333333333331,0.1,-0.9805825242718444
qwen_instruct,maximin,CO1,6,1,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.0,0.16666666666666666,1.0,1.0
qwen_instruct,maximin,CO2,5,3,0.1333333333333333,0.03333333333333332,0.2333333333333333,-2.2204460492503132e-17,-0.16749999999999973,0.13333333333333328,0.6666666666666666,-1.6653345369377353e-16
qwen_instruct,maximin,DD,20,3,0.04666666666666666,0.0,0.10666666666666665,-0.01333333333333333,-0.06999999999999999,0.03333333333333334,0.3333333333333333,-0.2857142857142857
