model,trait,category,n,magnitude,net_dir,net_lo,net_hi,base_pref
qwen_instruct,inequity,Coordination,2,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.5
qwen_instruct,inequity,Mixed,5,0.0,0.0,0.0,0.0,1.0
qwen_instruct,selfish,Dominance,56,0.4613095238095238,-0.41369047619047616,-0.494047619047619,-0.32142857142857145,0.9345238095238095
qwen_instruct,selfish,Coordination,6,0.3055555555555555,-0.3055555555555555,-0.5,-0.1111111111111111,0.9444444444444443
qwen_instruct,selfish,Mixed,5,0.4666666666666667,-0.13333333333333336,-0.6,0.33333333333333337,0.6
qwen_instruct,maximin,Dominance,56,0.047619047619047616,-0.023809523809523808,-0.07738095238095237,0.029761904761904764,0.9345238095238095
qwen_instruct,maximin,Coordination,11,0.09090909090909091,-0.0606060606060606,-0.1818181818181818,0.0606060606060606,0.7878787878787878
qwen_instruct,maximin,Mixed,9,0.37037037037037035,0.037037037037037056,-0.3333333333333333,0.4444444444444444,0.7777777777777778
llama31_instruct,risk,Dominance,56,0.30357142857142855,2.9738116731030977e-18,-0.08333333333333334,0.0773809523809524,0.5059523809523809
llama31_instruct,risk,Coordination,11,0.42424242424242425,-0.060606060606060594,-0.21212121212121213,0.12121212121212127,0.4848484848484848
llama31_instruct,risk,Mixed,9,0.33333333333333337,0.2592592592592593,0.07407407407407407,0.4444444444444444,0.2962962962962963
llama31_instruct,loss,Dominance,56,0.05357142857142857,-0.01190476190476191,-0.0773809523809524,0.05952380952380952,0.5059523809523809
llama31_instruct,loss,Coordination,11,0.0303030303030303,0.03030303030303031,-0.1212121212121212,0.1818181818181818,0.4848484848484848
llama31_instruct,loss,Mixed,9,0.1111111111111111,-0.037037037037037035,-0.2222222222222222,0.14814814814814814,0.2962962962962963
llama31_instruct,inequity,Dominance,23,0.23188405797101444,-0.05797101449275362,-0.15942028985507245,0.043478260869565216,0.3623188405797101
llama31_instruct,inequity,Coordination,2,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333
llama31_instruct,inequity,Mixed,5,0.13333333333333333,0.0,0.0,0.0,0.26666666666666666
llama31_instruct,selfish,Dominance,56,0.25595238095238093,0.011904761904761906,-0.03571428571428571,0.06547619047619047,0.5059523809523809
llama31_instruct,selfish,Coordination,6,0.3333333333333333,0.05555555555555555,0.0,0.16666666666666666,0.5
llama31_instruct,selfish,Mixed,5,0.2,0.0,0.0,0.0,0.26666666666666666
llama31_instruct,maximin,Dominance,56,0.11904761904761904,0.00595238095238095,-0.04166666666666667,0.05952380952380952,0.5059523809523809
llama31_instruct,maximin,Coordination,11,0.1818181818181818,0.0606060606060606,0.0,0.1515151515151515,0.4848484848484848
llama31_instruct,maximin,Mixed,9,0.07407407407407407,-0.07407407407407407,-0.18518518518518517,0.0,0.2962962962962963
gptoss,risk,Dominance,56,0.047619047619047616,0.017857142857142856,-0.02380952380952381,0.06547619047619047,0.49404761904761907
gptoss,risk,Coordination,11,0.0,-0.09090909090909091,-0.1818181818181818,0.0,0.6363636363636365
gptoss,risk,Mixed,9,0.037037037037037035,0.07407407407407407,0.0,0.18518518518518517,0.48148148148148157
gptoss,loss,Dominance,56,0.05952380952380952,0.017857142857142856,-0.029761904761904767,0.07142857142857142,0.49404761904761907
gptoss,loss,Coordination,11,0.0,-0.09090909090909091,-0.1818181818181818,0.0,0.6363636363636365
gptoss,loss,Mixed,9,0.037037037037037035,0.0,-0.1111111111111111,0.1111111111111111,0.48148148148148157
gptoss,inequity,Dominance,23,0.05797101449275362,0.0,-0.07246376811594202,0.07246376811594202,0.5217391304347825
gptoss,inequity,Coordination,2,0.0,0.0,0.0,0.0,0.33333333333333337
gptoss,inequity,Mixed,5,0.0,0.06666666666666667,0.0,0.2,0.5333333333333334
gptoss,selfish,Dominance,56,0.09523809523809523,0.005952380952380953,-0.05357142857142857,0.06547619047619048,0.49404761904761907
gptoss,selfish,Coordination,6,0.0,-0.1111111111111111,-0.2222222222222222,0.0,0.5555555555555555
gptoss,selfish,Mixed,5,0.13333333333333333,-0.13333333333333333,-0.26666666666666666,0.0,0.4666666666666667
gptoss,maximin,Dominance,56,0.21428571428571425,0.17261904761904762,0.10714285714285714,0.244047619047619,0.49404761904761907
gptoss,maximin,Coordination,11,0.1818181818181818,0.0303030303030303,-0.09090909090909091,0.1515151515151515,0.6363636363636365
gptoss,maximin,Mixed,9,0.18518518518518517,0.14814814814814814,0.037037037037037035,0.2962962962962963,0.48148148148148157
