model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen,h1_dinc,65,main_perp,AsHr,MP,2.0,1.011708333333333,0.4941,0.018424999999999865,0.02187499999999995,0.5833333333333334,0.25,1
qwen,h1_dinc,65,main_perp,AsNc,OD2,0.0,0.9973583333333333,0.49135,-0.0024749999999999495,0.009974999999999956,0.0,0.0,1
qwen,h1_dinc,65,main_perp,AsPc,OD2,2.0,0.9793916666666665,0.48525,-0.030408333333333357,0.01850000000000003,0.08333333333333334,0.25,1
qwen,h1_dinc,65,main_perp,AsPd,OD1,2.0,1.0508999999999997,0.5117499999999999,-0.0041666666666666735,0.02410000000000001,0.5833333333333335,0.5,1
qwen,h1_dinc,65,main_perp,AsSh,CO1,0.0,0.9922416666666666,0.49775,-0.023108333333333363,0.01577500000000001,-0.08333333333333334,0.5,1
qwen,h1_dinc,65,main_perp,BaAs,MP,-1.0,1.0243583333333335,0.5062500000000001,-0.026525000000000017,0.03230000000000002,-0.25,0.25,1
qwen,h1_dinc,65,main_perp,BaBa,CO2,1.0,1.0273583333333334,0.504175,-0.027258333333333364,0.040325,-0.16666666666666657,0.25,1
qwen,h1_dinc,65,main_perp,BaCh,CO2,1.0,1.0563333333333333,0.521025,-0.005383333333333284,0.016825000000000007,-0.08333333333333329,0.25,1
qwen,h1_dinc,65,main_perp,BaCm,OD1,2.0,1.0280416666666667,0.50945,-0.0071583333333333716,0.027849999999999986,5.733167046599011e-16,0.25,1
qwen,h1_dinc,65,main_perp,BaCo,MP,-1.0,1.0530749999999998,0.517925,0.015258333333333353,0.023099999999999968,1.4332917616497527e-16,0.0,1
qwen,h1_dinc,65,main_perp,BaDl,OD1,2.0,1.0279916666666664,0.497025,-0.004458333333333362,0.016674999999999995,-0.25,0.25,1
qwen,h1_dinc,65,main_perp,BaHa,OD2,2.0,1.0063499999999999,0.503525,0.032849999999999956,0.03514999999999999,0.33333333333333326,0.5,1
qwen,h1_dinc,65,main_perp,BaHr,CO1,2.0,1.066833333333333,0.5249,-0.034299999999999956,0.03375,5.733167046599011e-16,0.25,1
qwen,h1_dinc,65,main_perp,BaNc,OD2,-0.0,1.015075,0.503525,0.005091666666666666,0.022749999999999992,-0.08333333333333334,0.5,1
qwen,h1_dinc,65,main_perp,BaPc,OD2,2.0,1.0752166666666667,0.523075,0.027099999999999982,0.02705000000000002,-1.4332917616497527e-16,0.25,1
qwen,h1_dinc,65,main_perp,BaPd,OD1,2.0,1.0363749999999998,0.51395,-0.012908333333333256,0.031024999999999997,-0.5833333333333333,0.25,1
qwen,h1_dinc,65,main_perp,BaSh,MP,0.0,0.9856749999999999,0.48687500000000006,-0.007474999999999986,0.0097,-0.08333333333333334,0.25,1
qwen,h1_dinc,65,main_perp,ChAs,MP,0.0,1.0015666666666667,0.49410000000000004,-0.041750000000000044,0.0345,-0.33333333333333326,0.5,1
qwen,h1_dinc,65,main_perp,ChBa,CO2,0.5,1.0688083333333331,0.52415,-0.04052499999999996,0.048149999999999984,-0.25,0.5,1
qwen,h1_dinc,65,main_perp,ChCh,CO2,0.5,1.0281583333333335,0.5065500000000001,-0.027758333333333347,0.03580000000000001,-0.08333333333333329,0.25,1
qwen,h1_dinc,65,main_perp,ChCm,OD1,1.0,1.0366250000000001,0.509925,-0.018575000000000015,0.038624999999999965,1.4332917616497527e-16,0.25,1
qwen,h1_dinc,65,main_perp,ChCo,MP,-0.5,1.0236749999999997,0.5021,-0.04052499999999989,0.04777500000000001,-0.1666666666666663,0.25,1
qwen,h1_dinc,65,main_perp,ChDl,OD1,1.0,1.0100166666666663,0.50425,-0.04491666666666671,0.03720000000000001,-0.33333333333333326,0.5,1
qwen,h1_dinc,65,main_perp,ChHa,OD2,1.0,1.0458583333333333,0.5055499999999999,0.03372499999999992,0.04747499999999999,0.4166666666666666,0.25,1
