model,mode,layer,variant,component,mean_slope,ci_lo,ci_hi,n_games,pct_beh_flip
qwen,h2_choice,65,random,canon,0.0009871913580246862,-0.0047129128086419725,0.006630104166666666,54,79.62962962962963
qwen,h2_choice,65,random,beh,0.05246913580246914,-0.015432098765432086,0.125,54,79.62962962962963
qwen,h2_choice,79,main,letter,-0.18219305555555554,-0.18685138888888886,-0.1776512808641975,54,83.33333333333334
qwen,h2_choice,79,main,canon,0.003342129629629626,-0.0006774228395061783,0.007384780092592593,54,83.33333333333334
qwen,h2_choice,79,main,beh,-0.001543209876543192,-0.10648148148148143,0.10189043209876562,54,83.33333333333334
qwen,h2_choice,79,main_perp,letter,-0.002738117283950627,-0.007433580246913588,0.001720883487654312,54,77.77777777777779
qwen,h2_choice,79,main_perp,canon,-0.003175462962962956,-0.0075311728395061625,0.001485019290123453,54,77.77777777777779
qwen,h2_choice,79,main_perp,beh,0.001543209876543222,-0.04166666666666665,0.04320987654320989,54,77.77777777777779
qwen,h2_choice,79,random,letter,-0.028779783950617283,-0.032482515432098756,-0.02509562885802468,54,79.62962962962963
qwen,h2_choice,79,random,canon,-0.001952006172839509,-0.005591396604938277,0.002102260802469137,54,79.62962962962963
qwen,h2_choice,79,random,beh,0.021604938271604944,-0.009259259259259252,0.05401234567901235,54,79.62962962962963
qwen_instruct,h1_dinc,65,main,letter,1.3605754629629627,1.2685124459876542,1.4432208256172843,54,100.0
qwen_instruct,h1_dinc,65,main,canon,0.05226280864197525,-0.003307515432098796,0.10591115354938267,54,100.0
qwen_instruct,h1_dinc,65,main,beh,0.08796296296296292,-0.07253086419753085,0.24845679012345676,54,100.0
qwen_instruct,h1_dinc,65,main_perp,letter,1.334846296296296,1.2434053047839506,1.4200348919753087,54,100.0
qwen_instruct,h1_dinc,65,main_perp,canon,0.056520061728395056,0.0010376851851851914,0.11213028163580242,54,100.0
qwen_instruct,h1_dinc,65,main_perp,beh,0.09104938271604936,-0.07874228395061729,0.2515817901234569,54,100.0
qwen_instruct,h1_dinc,65,random,letter,0.0310712962962963,0.02518280092592593,0.03718846450617284,54,68.51851851851852
qwen_instruct,h1_dinc,65,random,canon,0.005958641975308649,-0.004170898919753077,0.01555935570987656,54,68.51851851851852
qwen_instruct,h1_dinc,65,random,beh,0.0030864197530864252,-0.047839506172839504,0.055594135802469295,54,68.51851851851852
qwen_instruct,h1_dinc,79,main,letter,1.0434512345679012,0.9464934336419754,1.1321018209876543,54,100.0
qwen_instruct,h1_dinc,79,main,canon,0.05585586419753085,-0.04879474151234567,0.15726530478395054,54,100.0
qwen_instruct,h1_dinc,79,main,beh,0.03086419753086418,-0.19396862139917695,0.2577289094650206,54,100.0
qwen_instruct,h1_dinc,79,main_perp,letter,-0.0008064814814814749,-0.002873198302469128,0.001317723765432105,54,68.51851851851852
qwen_instruct,h1_dinc,79,main_perp,canon,-0.0002401234567901219,-0.0024761072530864155,0.0018166820987654353,54,68.51851851851852
qwen_instruct,h1_dinc,79,main_perp,beh,0.0015432098765432137,-0.02160493827160493,0.026234567901234573,54,68.51851851851852
qwen_instruct,h1_dinc,79,random,letter,0.03680169753086419,0.03161608410493827,0.04224319058641975,54,68.51851851851852
qwen_instruct,h1_dinc,79,random,canon,0.001555092592592594,-0.004226770833333337,0.007363939043209873,54,68.51851851851852
qwen_instruct,h1_dinc,79,random,beh,0.02006172839506173,-0.030864197530864185,0.07716049382716049,54,68.51851851851852
qwen_instruct,h2_choice,65,main,letter,-0.7191879629629631,-0.7930835956790124,-0.6419490123456789,54,87.03703703703704
qwen_instruct,h2_choice,65,main,canon,0.020315740740740725,-0.03142182098765433,0.07347198688271603,54,87.03703703703704
qwen_instruct,h2_choice,65,main,beh,0.04166666666666665,-0.10339506172839508,0.19139660493827174,54,87.03703703703704
qwen_instruct,h2_choice,65,main_perp,letter,-0.699429475308642,-0.7739262885802469,-0.6247345717592591,54,87.03703703703704
qwen_instruct,h2_choice,65,main_perp,canon,0.025061882716049373,-0.02720788966049385,0.07768300540123457,54,87.03703703703704
