model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
qwen,HrPc,1.0,-3.91233655649491,1.0,4,-0.46596345256717636,0.09166984970282117,parsed_generated_choice,80
qwen,HrPd,0.0,2.242346190357743,-1.0,4,0.2790915025083087,-2.108406543164886,parsed_generated_choice,80
qwen,HrSh,0.75,-5.498434442667716,1.0,4,-0.657968489696362,0.09166984970282117,parsed_generated_choice,80
qwen,NcAs,0.5,-20.498937962745003,1.0,4,-2.4738540415513395,0.09166984970282117,parsed_generated_choice,80
qwen,NcBa,0.5,-5.205533551428085,1.0,4,-0.6225113801522985,0.09166984970282117,parsed_generated_choice,80
qwen,NcCh,0.75,-19.499872324075504,1.0,4,-2.3529121774208104,0.09166984970282117,parsed_generated_choice,80
qwen,NcCm,0.75,3.6570218714614846,1.0,4,0.4503450291941682,0.09166984970282117,parsed_generated_choice,80
qwen,NcCo,0.5,-5.278389969864038,1.0,4,-0.6313310119347031,0.09166984970282117,parsed_generated_choice,80
qwen,NcDl,0.75,0.6004088327578491,1.0,4,0.0803268196611009,0.09166984970282117,parsed_generated_choice,80
qwen,NcHa,0.5,-2.2996560996391784,1.0,4,-0.270740463055947,0.09166984970282117,parsed_generated_choice,80
qwen,NcHr,0.5,1.5906925750182177,1.0,4,0.2002055915570337,0.09166984970282117,parsed_generated_choice,80
qwen,NcNc,0.75,-14.647614033250022,1.0,4,-1.7655221799860366,0.09166984970282117,parsed_generated_choice,80
qwen,NcPc,0.5,8.895341594193331,1.0,4,1.0844696829282399,0.09166984970282117,parsed_generated_choice,80
qwen,NcPd,0.75,-7.188128270283041,1.0,4,-0.8625143307421961,0.09166984970282117,parsed_generated_choice,80
qwen,NcSh,0.75,-18.400065770230434,1.0,4,-2.2197751245019104,0.09166984970282117,parsed_generated_choice,80
qwen,PcAs,1.0,1.8917580111123344,2.0,4,0.2366510598597809,1.191708046136675,parsed_generated_choice,80
qwen,PcBa,1.0,-2.0268024778286007,2.0,4,-0.2377101751756787,1.191708046136675,parsed_generated_choice,80
qwen,PcCh,1.0,13.343082328907666,2.0,4,1.6228908184424289,1.191708046136675,parsed_generated_choice,80
qwen,PcCm,1.0,-0.34951921153553345,2.0,4,-0.034666694298310576,1.191708046136675,parsed_generated_choice,80
