model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
gptoss,ChSh,1.0,-95.27815612870768,0.0,4,-1.1916190750990012,-1.0083683467310325,heterogeneous_all,36
gptoss,CmAs,1.0,58.56672263616556,2.0,4,0.7159792862705708,1.191708046136675,heterogeneous_all,36
gptoss,CmBa,1.0,78.59012148904506,2.0,4,0.9642592624872611,1.191708046136675,heterogeneous_all,36
gptoss,CmCh,1.0,5.179520106641883,2.0,4,0.05400508939741601,1.191708046136675,heterogeneous_all,36
gptoss,CmCm,1.0,37.73408250306992,2.0,4,0.4576651291797015,1.191708046136675,heterogeneous_all,36
gptoss,CmCo,1.0,54.925320578040505,2.0,4,0.6708277501587743,1.191708046136675,heterogeneous_all,36
gptoss,CmDl,1.0,65.69353831826123,2.0,4,0.8043481811346409,1.191708046136675,heterogeneous_all,36
gptoss,CmHa,1.0,63.532722735644555,2.0,4,0.777555165353328,1.191708046136675,heterogeneous_all,36
gptoss,CmHr,1.0,34.31247910907189,2.0,4,0.4152389848709088,1.191708046136675,heterogeneous_all,36
gptoss,CmNc,1.0,62.38302192674663,2.0,4,0.7632994592373588,1.191708046136675,heterogeneous_all,36
gptoss,CmPc,1.0,59.99555617266824,2.0,4,0.733696096441861,1.191708046136675,heterogeneous_all,36
gptoss,CmPd,1.0,67.75388721268888,2.0,4,0.8298954610078088,1.191708046136675,heterogeneous_all,36
gptoss,CmSh,1.0,2.6314089705201154,2.0,4,0.022409805453760402,1.191708046136675,heterogeneous_all,36
gptoss,CoAs,0.75,-178.7742256516751,1.0,4,-2.2269279308864034,0.09166984970282117,heterogeneous_all,36
gptoss,CoBa,1.0,-185.37677280866598,1.0,4,-2.3087961623066415,0.09166984970282117,heterogeneous_all,36
gptoss,CoCh,0.5,-71.98568121809531,1.0,4,-0.90280421607705,0.09166984970282117,heterogeneous_all,36
gptoss,CoCm,1.0,22.80989829183097,-1.0,4,0.2726128247110697,-2.108406543164886,heterogeneous_all,36
gptoss,CoCo,0.5,-187.81991066353157,1.0,4,-2.339089830876945,0.09166984970282117,heterogeneous_all,36
gptoss,CoDl,1.0,1.2643837043501995,-1.0,4,0.005459386443180063,-2.108406543164886,heterogeneous_all,36
gptoss,CoHa,1.0,-4.130960215628045,1.0,4,-0.06144013795701561,0.09166984970282117,heterogeneous_all,36
gptoss,CoHr,0.5,-197.71466742467405,1.0,4,-2.461779789328884,0.09166984970282117,heterogeneous_all,36
gptoss,CoNc,0.25,23.586086604143958,1.0,4,0.2822371655703154,0.09166984970282117,heterogeneous_all,36
gptoss,CoPc,1.0,47.60710307236365,1.0,4,0.5800855698921746,0.09166984970282117,heterogeneous_all,36
gptoss,CoPd,1.0,20.96682355798748,-1.0,4,0.2497596340791287,-2.108406543164886,heterogeneous_all,36
gptoss,CoSh,0.25,-93.72542156540183,1.0,4,-1.1723659551226706,0.09166984970282117,heterogeneous_all,36
gptoss,DlAs,1.0,21.981664675572603,2.0,4,0.26234314851586577,1.191708046136675,heterogeneous_all,36
gptoss,DlBa,1.0,37.959277372619084,2.0,4,0.46045743118929494,1.191708046136675,heterogeneous_all,36
gptoss,DlCh,1.0,60.89575718152203,2.0,4,0.7448581317541785,1.191708046136675,heterogeneous_all,36
gptoss,DlCm,1.0,24.701013816906993,2.0,4,0.29606169675515664,1.191708046136675,heterogeneous_all,36
gptoss,DlCo,1.0,55.83378295398103,2.0,4,0.6820922222271532,1.191708046136675,heterogeneous_all,36
gptoss,DlDl,1.0,26.15162434540172,2.0,4,0.3140485305669677,1.191708046136675,heterogeneous_all,36
gptoss,DlHa,1.0,51.2969834130017,2.0,4,0.6258382120858001,1.191708046136675,heterogeneous_all,36
gptoss,DlHr,1.0,60.32015003071123,2.0,4,0.7377208954256463,1.191708046136675,heterogeneous_all,36
gptoss,DlNc,1.0,16.92491085171443,2.0,4,0.19964196934314923,1.191708046136675,heterogeneous_all,36
gptoss,DlPc,1.0,72.88352825157811,2.0,4,0.8935004046286779,1.191708046136675,heterogeneous_all,36
gptoss,DlPd,1.0,1.96131220302426,2.0,4,0.0141009458680749,1.191708046136675,heterogeneous_all,36
gptoss,DlSh,1.0,43.495145083838224,2.0,4,0.5290993792311268,1.191708046136675,heterogeneous_all,36
gptoss,HaAs,1.0,65.60595262421118,2.0,4,0.8032621630117716,1.191708046136675,heterogeneous_all,36
gptoss,HaBa,1.0,118.83534481336618,2.0,4,1.4632795918136632,1.191708046136675,heterogeneous_all,36
gptoss,HaCh,1.0,56.39258468622036,2.0,4,0.6890210799005982,1.191708046136675,heterogeneous_all,36
gptoss,HaCm,1.0,44.74645883725241,2.0,4,0.5446150342515338,1.191708046136675,heterogeneous_all,36
gptoss,HaCo,1.0,70.40277522747421,2.0,4,0.8627403270639529,1.191708046136675,heterogeneous_all,36
gptoss,HaDl,1.0,36.74191706370731,2.0,4,0.44536278163631493,1.191708046136675,heterogeneous_all,36
gptoss,HaHa,1.0,28.79335333609815,2.0,4,0.34680462836036147,1.191708046136675,heterogeneous_all,36
gptoss,HaHr,1.0,39.54671120733366,2.0,4,0.48014080450789737,1.191708046136675,heterogeneous_all,36
gptoss,HaNc,1.0,5.91009587949326,2.0,4,0.06306385793320558,1.191708046136675,heterogeneous_all,36
gptoss,HaPc,1.0,1.395539156138315,2.0,4,0.007085647433629232,1.191708046136675,heterogeneous_all,36
gptoss,HaPd,1.0,63.637161518407886,2.0,4,0.778850153216832,1.191708046136675,heterogeneous_all,36
gptoss,HaSh,1.0,35.76036119196892,2.0,4,0.43319198734304165,1.191708046136675,heterogeneous_all,36
gptoss,HrAs,0.75,-251.53446513485616,1.0,4,-3.1291179467341386,0.09166984970282117,heterogeneous_all,36
gptoss,HrBa,1.0,30.887794894111313,1.0,4,0.37277463994687965,0.09166984970282117,heterogeneous_all,36
gptoss,HrCh,0.75,46.52496960144214,1.0,4,0.5666676644507596,0.09166984970282117,heterogeneous_all,36
gptoss,HrCm,0.75,-113.1825834998567,-1.0,4,-1.4136248811334282,-2.108406543164886,heterogeneous_all,36
gptoss,HrCo,1.0,-184.97455071539184,1.0,4,-2.3038088126321097,0.09166984970282117,heterogeneous_all,36
gptoss,HrDl,1.0,9.969102594519642,-1.0,4,0.11339347969595698,-2.108406543164886,heterogeneous_all,36
gptoss,HrHa,0.75,57.01683238735268,1.0,4,0.696761434349372,0.09166984970282117,heterogeneous_all,36
gptoss,HrHr,0.75,-62.85319136174354,1.0,4,-0.7895659801015373,0.09166984970282117,heterogeneous_all,36
gptoss,HrNc,0.75,11.160822397310021,1.0,4,0.12817019999542822,0.09166984970282117,heterogeneous_all,36
gptoss,HrPc,1.0,-58.28698531469798,1.0,4,-0.7329473442200498,0.09166984970282117,heterogeneous_all,36
gptoss,HrPd,1.0,17.253646877475955,-1.0,4,0.20371812910290465,-2.108406543164886,heterogeneous_all,36
gptoss,HrSh,0.25,-81.05783867413368,1.0,4,-1.0152943609305227,0.09166984970282117,heterogeneous_all,36
