layer,condition,cb_id,region,contrib_incr,mean_abs,mean_score,model,game_code
40,cue_length_match_null,3,rule,19.3828125,1.8203837076822917,1.5030008951822917,qwen,AsAs
40,cue_length_match_null,3,label_token,-10.625,1.396484375,1.20703125,qwen,AsAs
40,cue_length_match_null,3,own_payoff,4.609375,1.2578125,-0.734375,qwen,AsAs
40,cue_length_match_null,3,opponent_payoff,-14.8515625,1.9375,-1.7890625,qwen,AsAs
40,cue_length_match_null,3,question,3.09375,1.5744977678571428,1.3233816964285714,qwen,AsAs
40,cue_length_match_null,3,answer_prefix,-0.859375,2.3307291666666665,1.2005208333333333,qwen,AsAs
40,cue_loss_aversion,0,cue_prefix,0.15234375,1.7404513888888888,-1.2294560185185186,qwen,AsAs
40,cue_loss_aversion,0,intro,-0.58984375,2.7486572265625,-2.4544677734375,qwen,AsAs
40,cue_loss_aversion,0,rule,-11.80859375,1.5151774088541667,-1.0737711588541667,qwen,AsAs
40,cue_loss_aversion,0,label_token,9.48046875,1.27099609375,-0.85595703125,qwen,AsAs
40,cue_loss_aversion,0,own_payoff,-3.3125,1.232421875,1.232421875,qwen,AsAs
40,cue_loss_aversion,0,opponent_payoff,7.7890625,1.74609375,1.74609375,qwen,AsAs
40,cue_loss_aversion,0,question,-2.484375,1.2276785714285714,-0.8630022321428571,qwen,AsAs
40,cue_loss_aversion,0,answer_prefix,0.203125,1.4895833333333333,-1.1458333333333333,qwen,AsAs
40,cue_loss_aversion,1,cue_prefix,0.1484375,1.7413194444444444,-1.2300347222222223,qwen,AsAs
40,cue_loss_aversion,1,intro,-0.5859375,2.74835205078125,-2.45477294921875,qwen,AsAs
40,cue_loss_aversion,1,rule,-11.84375,1.516845703125,-1.074462890625,qwen,AsAs
40,cue_loss_aversion,1,label_token,9.49609375,1.26904296875,-0.85693359375,qwen,AsAs
40,cue_loss_aversion,1,own_payoff,-3.3203125,1.232421875,1.232421875,qwen,AsAs
40,cue_loss_aversion,1,opponent_payoff,7.82421875,1.75390625,1.75390625,qwen,AsAs
40,cue_loss_aversion,1,question,-2.4765625,1.1852678571428572,-0.88671875,qwen,AsAs
40,cue_loss_aversion,1,answer_prefix,0.0625,1.8515625,-1.3255208333333333,qwen,AsAs
40,cue_loss_aversion,2,cue_prefix,-0.13671875,1.7350983796296295,1.1908275462962963,qwen,AsAs
40,cue_loss_aversion,2,intro,0.65234375,2.7962646484375,2.4840087890625,qwen,AsAs
40,cue_loss_aversion,2,rule,8.65625,1.5464375813802083,1.0410054524739583,qwen,AsAs
40,cue_loss_aversion,2,label_token,-8.59765625,1.203125,0.828125,qwen,AsAs
40,cue_loss_aversion,2,own_payoff,7.03125,1.267578125,-0.822265625,qwen,AsAs
40,cue_loss_aversion,2,opponent_payoff,-8.96484375,1.80078125,-1.70703125,qwen,AsAs
40,cue_loss_aversion,2,question,2.3125,1.298828125,1.0086495535714286,qwen,AsAs
40,cue_loss_aversion,2,answer_prefix,-0.2421875,1.5729166666666667,1.25,qwen,AsAs
40,cue_loss_aversion,3,cue_prefix,-0.20703125,1.7744502314814814,1.2333622685185186,qwen,AsAs
40,cue_loss_aversion,3,intro,0.79296875,2.760986328125,2.450927734375,qwen,AsAs
40,cue_loss_aversion,3,rule,7.09765625,1.5515543619791667,1.0382080078125,qwen,AsAs
40,cue_loss_aversion,3,label_token,-8.03125,1.25244140625,0.88818359375,qwen,AsAs
40,cue_loss_aversion,3,own_payoff,7.4375,1.16015625,-0.59765625,qwen,AsAs
40,cue_loss_aversion,3,opponent_payoff,-8.58203125,1.80078125,-1.78515625,qwen,AsAs
40,cue_loss_aversion,3,question,2.28125,1.2791573660714286,0.9900948660714286,qwen,AsAs
40,cue_loss_aversion,3,answer_prefix,0.09375,1.8072916666666667,1.5052083333333333,qwen,AsAs
40,cue_maximin,0,cue_prefix,1.1796875,1.3644438244047619,-0.8084542410714286,qwen,AsAs
40,cue_maximin,0,intro,-4.515625,2.68896484375,-2.19384765625,qwen,AsAs
40,cue_maximin,0,rule,-9.3984375,1.4436136881510417,-0.951507568359375,qwen,AsAs
40,cue_maximin,0,label_token,11.2578125,1.296875,-0.771484375,qwen,AsAs
40,cue_maximin,0,own_payoff,-6.375,1.46875,0.5703125,qwen,AsAs
40,cue_maximin,0,opponent_payoff,9.09375,1.921875,1.921875,qwen,AsAs
40,cue_maximin,0,question,-3.75,1.4538225446428572,-1.4049944196428572,qwen,AsAs
40,cue_maximin,0,answer_prefix,1.1640625,1.9765625,-1.9453125,qwen,AsAs
40,cue_maximin,1,cue_prefix,1.515625,1.3681873139880953,-0.80615234375,qwen,AsAs
40,cue_maximin,1,intro,-4.5234375,2.655029296875,-2.177978515625,qwen,AsAs
40,cue_maximin,1,rule,-11.7109375,1.4412841796875,-0.9936930338541666,qwen,AsAs
40,cue_maximin,1,label_token,11.890625,1.1875,-0.7734375,qwen,AsAs
40,cue_maximin,1,own_payoff,-6.421875,1.72265625,0.51953125,qwen,AsAs
40,cue_maximin,1,opponent_payoff,10.3515625,1.97265625,1.97265625,qwen,AsAs
40,cue_maximin,1,question,-3.40625,1.3892996651785714,-1.3814871651785714,qwen,AsAs
40,cue_maximin,1,answer_prefix,0.875,2.140625,-1.890625,qwen,AsAs
40,cue_maximin,2,cue_prefix,-1.24609375,1.3762090773809523,0.8493303571428571,qwen,AsAs
40,cue_maximin,2,intro,4.62890625,2.652587890625,2.178466796875,qwen,AsAs
40,cue_maximin,2,rule,14.1953125,1.5199686686197917,1.0526021321614583,qwen,AsAs
40,cue_maximin,2,label_token,-9.640625,1.2041015625,0.9619140625,qwen,AsAs
40,cue_maximin,2,own_payoff,6.1640625,1.302734375,-0.802734375,qwen,AsAs
40,cue_maximin,2,opponent_payoff,-14.8203125,1.7578125,-1.7578125,qwen,AsAs
40,cue_maximin,2,question,3.4453125,1.5159040178571428,1.4919084821428572,qwen,AsAs
40,cue_maximin,2,answer_prefix,-1.421875,1.9973958333333333,1.7630208333333333,qwen,AsAs
40,cue_maximin,3,cue_prefix,-1.359375,1.350492931547619,0.7859468005952381,qwen,AsAs
40,cue_maximin,3,intro,4.2421875,2.6728515625,2.2041015625,qwen,AsAs
40,cue_maximin,3,rule,16.64453125,1.5181884765625,1.0640869140625,qwen,AsAs
40,cue_maximin,3,label_token,-9.8515625,1.1474609375,0.9638671875,qwen,AsAs
40,cue_maximin,3,own_payoff,5.5,1.283203125,-0.923828125,qwen,AsAs
40,cue_maximin,3,opponent_payoff,-15.76953125,1.80078125,-1.80078125,qwen,AsAs
40,cue_maximin,3,question,2.9921875,1.4407087053571428,1.4217354910714286,qwen,AsAs
40,cue_maximin,3,answer_prefix,-0.765625,1.984375,1.9322916666666667,qwen,AsAs
40,cue_risk_aversion,0,cue_prefix,-1.6171875,2.623934659090909,-2.623934659090909,qwen,AsAs
40,cue_risk_aversion,0,intro,0.0,2.955810546875,-2.792724609375,qwen,AsAs
40,cue_risk_aversion,0,rule,-14.509765625,1.4279073079427083,-1.0543924967447917,qwen,AsAs
40,cue_risk_aversion,0,label_token,8.2890625,1.236328125,-0.69140625,qwen,AsAs
40,cue_risk_aversion,0,own_payoff,-1.087890625,1.2578125,1.2578125,qwen,AsAs
40,cue_risk_aversion,0,opponent_payoff,10.96484375,2.109375,2.109375,qwen,AsAs
40,cue_risk_aversion,0,question,-3.1015625,1.1898367745535714,-0.9632742745535714,qwen,AsAs
40,cue_risk_aversion,0,answer_prefix,0.6015625,1.4505208333333333,-1.2890625,qwen,AsAs
40,cue_risk_aversion,1,cue_prefix,-1.5703125,2.6431107954545454,-2.6431107954545454,qwen,AsAs
40,cue_risk_aversion,1,intro,0.34375,2.95050048828125,-2.74139404296875,qwen,AsAs
40,cue_risk_aversion,1,rule,-14.1689453125,1.430023193359375,-1.0618794759114583,qwen,AsAs
40,cue_risk_aversion,1,label_token,8.62109375,1.302734375,-0.650390625,qwen,AsAs
40,cue_risk_aversion,1,own_payoff,-1.896484375,1.0234375,1.0234375,qwen,AsAs
40,cue_risk_aversion,1,opponent_payoff,10.7333984375,1.9921875,1.9921875,qwen,AsAs
40,cue_risk_aversion,1,question,-3.1796875,1.1810825892857142,-0.9299665178571429,qwen,AsAs
40,cue_risk_aversion,1,answer_prefix,0.140625,1.765625,-1.765625,qwen,AsAs
40,cue_risk_aversion,2,cue_prefix,1.8984375,2.6500355113636362,2.6500355113636362,qwen,AsAs
40,cue_risk_aversion,2,intro,-0.578125,2.969482421875,2.8076171875,qwen,AsAs
40,cue_risk_aversion,2,rule,7.251953125,1.4512939453125,1.0196126302083333,qwen,AsAs
40,cue_risk_aversion,2,label_token,-7.953125,1.2568359375,0.765625,qwen,AsAs
40,cue_risk_aversion,2,own_payoff,4.322265625,1.36328125,-0.57421875,qwen,AsAs
40,cue_risk_aversion,2,opponent_payoff,-7.05859375,2.04296875,-2.01953125,qwen,AsAs
40,cue_risk_aversion,2,question,3.1484375,1.1746651785714286,0.9182477678571429,qwen,AsAs
40,cue_risk_aversion,2,answer_prefix,-0.1796875,1.6979166666666667,1.65625,qwen,AsAs
40,cue_risk_aversion,3,cue_prefix,1.8359375,2.623046875,2.623046875,qwen,AsAs
40,cue_risk_aversion,3,intro,-0.28125,2.9429931640625,2.7672119140625,qwen,AsAs
40,cue_risk_aversion,3,rule,7.7578125,1.4533182779947917,1.0355936686197917,qwen,AsAs
40,cue_risk_aversion,3,label_token,-7.7265625,1.23828125,0.814453125,qwen,AsAs
40,cue_risk_aversion,3,own_payoff,4.033203125,1.435546875,-0.537109375,qwen,AsAs
40,cue_risk_aversion,3,opponent_payoff,-7.720703125,2.12109375,-2.12109375,qwen,AsAs
40,cue_risk_aversion,3,question,3.1953125,1.185546875,0.9623325892857143,qwen,AsAs
40,cue_risk_aversion,3,answer_prefix,-0.1796875,1.6666666666666667,1.6666666666666667,qwen,AsAs
40,cue_selfish_maximizer,0,cue_prefix,-1.171875,1.623153409090909,-1.0752840909090908,qwen,AsAs
40,cue_selfish_maximizer,0,intro,-3.765625,3.360107421875,-3.066162109375,qwen,AsAs
40,cue_selfish_maximizer,0,rule,-17.625,1.6553955078125,-1.4123942057291667,qwen,AsAs
40,cue_selfish_maximizer,0,label_token,14.34765625,1.44287109375,-1.10498046875,qwen,AsAs
40,cue_selfish_maximizer,0,own_payoff,-6.1484375,1.78125,0.0625,qwen,AsAs
40,cue_selfish_maximizer,0,opponent_payoff,14.57421875,1.70703125,1.70703125,qwen,AsAs
40,cue_selfish_maximizer,0,question,-3.0546875,1.5129743303571428,-1.5129743303571428,qwen,AsAs
40,cue_selfish_maximizer,0,answer_prefix,1.5,1.9921875,-1.6015625,qwen,AsAs
40,cue_selfish_maximizer,1,cue_prefix,-1.53125,1.6208806818181818,-1.0792613636363637,qwen,AsAs
40,cue_selfish_maximizer,1,intro,-3.65625,3.370361328125,-3.076904296875,qwen,AsAs
40,cue_selfish_maximizer,1,rule,-16.994140625,1.6874796549479167,-1.4550984700520833,qwen,AsAs
40,cue_selfish_maximizer,1,label_token,14.796875,1.4296875,-1.072265625,qwen,AsAs
40,cue_selfish_maximizer,1,own_payoff,-6.126953125,1.81640625,-0.10546875,qwen,AsAs
40,cue_selfish_maximizer,1,opponent_payoff,13.9453125,1.62890625,1.62890625,qwen,AsAs
40,cue_selfish_maximizer,1,question,-3.12109375,1.5378069196428572,-1.5378069196428572,qwen,AsAs
40,cue_selfish_maximizer,1,answer_prefix,1.140625,2.1197916666666665,-1.890625,qwen,AsAs
40,cue_selfish_maximizer,2,cue_prefix,1.109375,1.60546875,1.020880681818182,qwen,AsAs
40,cue_selfish_maximizer,2,intro,4.578125,3.322509765625,3.08251953125,qwen,AsAs
40,cue_selfish_maximizer,2,rule,22.296875,1.7845458984375,1.4608968098958333,qwen,AsAs
40,cue_selfish_maximizer,2,label_token,-13.84765625,1.38623046875,1.15380859375,qwen,AsAs
40,cue_selfish_maximizer,2,own_payoff,5.78125,1.32421875,-0.41015625,qwen,AsAs
40,cue_selfish_maximizer,2,opponent_payoff,-20.09375,1.76953125,-1.48828125,qwen,AsAs
40,cue_selfish_maximizer,2,question,2.86328125,1.5352434430803572,1.5350690569196428,qwen,AsAs
40,cue_selfish_maximizer,2,answer_prefix,-1.25,2.0104166666666665,1.5729166666666667,qwen,AsAs
40,cue_selfish_maximizer,3,cue_prefix,0.875,1.6001420454545454,1.0387784090909091,qwen,AsAs
40,cue_selfish_maximizer,3,intro,4.3125,3.33349609375,3.06591796875,qwen,AsAs
40,cue_selfish_maximizer,3,rule,23.529296875,1.76239013671875,1.4509480794270833,qwen,AsAs
40,cue_selfish_maximizer,3,label_token,-14.34375,1.3662109375,1.109375,qwen,AsAs
40,cue_selfish_maximizer,3,own_payoff,5.8515625,1.162109375,-0.419921875,qwen,AsAs
40,cue_selfish_maximizer,3,opponent_payoff,-20.3984375,1.765625,-1.6015625,qwen,AsAs
40,cue_selfish_maximizer,3,question,2.923828125,1.5301339285714286,1.5203683035714286,qwen,AsAs
40,cue_selfish_maximizer,3,answer_prefix,-1.03125,2.140625,1.5677083333333333,qwen,AsAs
79,baseline,0,intro,5.734375,1.87890625,0.451171875,qwen,AsAs
79,baseline,0,rule,-24.5546875,2.0653889973958335,-0.4079182942708333,qwen,AsAs
79,baseline,0,label_token,32.828125,2.228515625,1.181640625,qwen,AsAs
79,baseline,0,own_payoff,-6.328125,1.203125,0.703125,qwen,AsAs
79,baseline,0,opponent_payoff,-6.7265625,1.4765625,0.3828125,qwen,AsAs
79,baseline,0,question,-2.265625,2.3504464285714284,0.6316964285714286,qwen,AsAs
79,baseline,0,answer_prefix,4.65625,0.8125,0.6875,qwen,AsAs
79,baseline,1,intro,5.671875,1.873779296875,0.442138671875,qwen,AsAs
79,baseline,1,rule,-25.5859375,2.0740152994791665,-0.4305419921875,qwen,AsAs
79,baseline,1,label_token,32.78125,2.33203125,1.26953125,qwen,AsAs
79,baseline,1,own_payoff,-5.6328125,1.4375,0.84375,qwen,AsAs
79,baseline,1,opponent_payoff,-6.578125,1.4765625,0.4453125,qwen,AsAs
79,baseline,1,question,-1.84375,2.3872767857142856,1.8158482142857142,qwen,AsAs
79,baseline,1,answer_prefix,4.3125,0.8958333333333334,0.6458333333333334,qwen,AsAs
79,baseline,2,intro,-5.890625,1.924072265625,-0.500244140625,qwen,AsAs
79,baseline,2,rule,18.94140625,2.0267333984375,0.5185953776041666,qwen,AsAs
79,baseline,2,label_token,-32.953125,2.298828125,-1.025390625,qwen,AsAs
79,baseline,2,own_payoff,9.5,1.21875,0.5,qwen,AsAs
79,baseline,2,opponent_payoff,9.171875,1.6796875,0.7265625,qwen,AsAs
79,baseline,2,question,2.13671875,2.3950892857142856,-0.5915178571428571,qwen,AsAs
79,baseline,2,answer_prefix,-4.1875,0.8229166666666666,-0.6979166666666666,qwen,AsAs
79,baseline,3,intro,-5.78125,1.907470703125,-0.483642578125,qwen,AsAs
79,baseline,3,rule,18.16796875,2.0299886067708335,0.4998779296875,qwen,AsAs
79,baseline,3,label_token,-32.390625,2.181640625,-1.001953125,qwen,AsAs
79,baseline,3,own_payoff,9.390625,1.1796875,0.4765625,qwen,AsAs
79,baseline,3,opponent_payoff,9.140625,1.75,0.875,qwen,AsAs
79,baseline,3,question,2.50390625,2.4140625,-1.8292410714285714,qwen,AsAs
79,baseline,3,answer_prefix,-4.09375,0.7916666666666666,-0.625,qwen,AsAs
79,cue_inequity_aversion,0,cue_prefix,-0.40625,1.640625,-1.4242788461538463,qwen,AsAs
79,cue_inequity_aversion,0,intro,3.6640625,1.9190673828125,-0.0203857421875,qwen,AsAs
79,cue_inequity_aversion,0,rule,-16.57421875,1.9293416341145833,-0.18076578776041666,qwen,AsAs
79,cue_inequity_aversion,0,label_token,26.59375,2.24609375,1.08984375,qwen,AsAs
79,cue_inequity_aversion,0,own_payoff,-5.2265625,1.0625,0.8125,qwen,AsAs
79,cue_inequity_aversion,0,opponent_payoff,-6.6953125,0.9609375,0.3203125,qwen,AsAs
79,cue_inequity_aversion,0,question,0.42578125,2.7075892857142856,1.2924107142857142,qwen,AsAs
79,cue_inequity_aversion,0,answer_prefix,2.28125,1.7395833333333333,0.5729166666666666,qwen,AsAs
79,cue_inequity_aversion,1,cue_prefix,-0.3125,1.6887019230769231,-1.4675480769230769,qwen,AsAs
79,cue_inequity_aversion,1,intro,4.1953125,1.94091796875,0.03076171875,qwen,AsAs
79,cue_inequity_aversion,1,rule,-17.7421875,1.9017588297526042,-0.14731343587239584,qwen,AsAs
79,cue_inequity_aversion,1,label_token,28.078125,2.298828125,1.236328125,qwen,AsAs
79,cue_inequity_aversion,1,own_payoff,-5.953125,0.9921875,0.6484375,qwen,AsAs
79,cue_inequity_aversion,1,opponent_payoff,-7.0859375,0.9375,0.21875,qwen,AsAs
79,cue_inequity_aversion,1,question,-0.09375,2.970424107142857,2.6166294642857144,qwen,AsAs
79,cue_inequity_aversion,1,answer_prefix,3.2890625,1.78125,0.5729166666666666,qwen,AsAs
79,cue_inequity_aversion,2,cue_prefix,0.203125,1.6911057692307692,1.4326923076923077,qwen,AsAs
79,cue_inequity_aversion,2,intro,-3.78125,1.9478759765625,0.0677490234375,qwen,AsAs
79,cue_inequity_aversion,2,rule,14.7265625,1.9697062174479167,0.3658650716145833,qwen,AsAs
79,cue_inequity_aversion,2,label_token,-26.625,2.2109375,-0.921875,qwen,AsAs
79,cue_inequity_aversion,2,own_payoff,6.3671875,1.4609375,-0.1171875,qwen,AsAs
79,cue_inequity_aversion,2,opponent_payoff,7.921875,1.1640625,0.4453125,qwen,AsAs
79,cue_inequity_aversion,2,question,-0.359375,2.720982142857143,-1.2544642857142858,qwen,AsAs
79,cue_inequity_aversion,2,answer_prefix,-3.828125,2.0729166666666665,-1.2395833333333333,qwen,AsAs
79,cue_inequity_aversion,3,cue_prefix,0.21875,1.6640625,1.4200721153846154,qwen,AsAs
79,cue_inequity_aversion,3,intro,-3.4375,1.9384765625,0.0205078125,qwen,AsAs
79,cue_inequity_aversion,3,rule,14.4453125,1.9682515462239583,0.3537699381510417,qwen,AsAs
79,cue_inequity_aversion,3,label_token,-26.328125,2.158203125,-0.876953125,qwen,AsAs
79,cue_inequity_aversion,3,own_payoff,6.3671875,1.3984375,-0.1171875,qwen,AsAs
79,cue_inequity_aversion,3,opponent_payoff,7.890625,1.28125,0.59375,qwen,AsAs
79,cue_inequity_aversion,3,question,-0.171875,3.029017857142857,-2.705357142857143,qwen,AsAs
79,cue_inequity_aversion,3,answer_prefix,-4.390625,1.6354166666666667,-1.1354166666666667,qwen,AsAs
79,cue_length_match_null,0,cue_prefix,0.6171875,1.7398976293103448,-0.6666217672413793,qwen,AsAs
79,cue_length_match_null,0,intro,0.6015625,1.94140625,-0.314453125,qwen,AsAs
79,cue_length_match_null,0,rule,-14.40234375,1.8606363932291667,-0.4732666015625,qwen,AsAs
79,cue_length_match_null,0,label_token,28.484375,2.083984375,1.185546875,qwen,AsAs
79,cue_length_match_null,0,own_payoff,-7.5078125,0.90625,0.125,qwen,AsAs
79,cue_length_match_null,0,opponent_payoff,-6.4375,1.2421875,0.2109375,qwen,AsAs
79,cue_length_match_null,0,question,0.30859375,2.6981026785714284,1.16796875,qwen,AsAs
79,cue_length_match_null,0,answer_prefix,0.8984375,1.8229166666666667,0.53125,qwen,AsAs
79,cue_length_match_null,1,cue_prefix,0.4609375,1.7283135775862069,-0.6706627155172413,qwen,AsAs
