layer,condition,cb_id,final_score_canonical,final_score_trait,ap_score_canonical,ap_score_trait,n_ap,cp_score_trait,model,game_code,delta1c
79,cue_loss_aversion,0,-2.6875,-2.6875,-0.2916666666666667,-0.2916666666666667,3,1.3596643518518519,qwen,AsBa,-0.0
79,cue_loss_aversion,1,-2.625,-2.625,-0.28125,-0.28125,3,1.361400462962963,qwen,AsBa,-0.0
79,cue_loss_aversion,2,3.0625,3.0625,0.5104166666666666,0.5104166666666666,3,-1.3828125,qwen,AsBa,-0.0
79,cue_loss_aversion,3,3.375,3.375,0.875,0.875,3,-1.3553240740740742,qwen,AsBa,-0.0
79,cue_maximin,0,-3.125,-3.125,-1.5625,-1.5625,3,1.6432291666666667,qwen,AsBa,-0.0
79,cue_maximin,1,-2.9375,-2.9375,-1.5,-1.5,3,1.6480654761904763,qwen,AsBa,-0.0
79,cue_maximin,2,3.0,3.0,0.9583333333333334,0.9583333333333334,3,-1.6830357142857142,qwen,AsBa,-0.0
79,cue_maximin,3,3.0,3.0,1.1458333333333333,1.1458333333333333,3,-1.6707589285714286,qwen,AsBa,-0.0
79,cue_risk_aversion,0,-2.875,-2.875,-1.6875,-1.6875,3,1.4463778409090908,qwen,AsBa,-0.0
79,cue_risk_aversion,1,-2.6875,-2.6875,-1.25,-1.25,3,1.4325284090909092,qwen,AsBa,-0.0
79,cue_risk_aversion,2,3.4375,3.4375,2.1458333333333335,2.1458333333333335,3,-1.5269886363636365,qwen,AsBa,-0.0
79,cue_risk_aversion,3,3.375,3.375,1.8020833333333333,1.8020833333333333,3,-1.5142045454545454,qwen,AsBa,-0.0
79,cue_selfish_maximizer,0,-2.5,,-2.1666666666666665,,3,,qwen,AsBa,-0.0
79,cue_selfish_maximizer,1,-2.8125,,-2.0833333333333335,,3,,qwen,AsBa,-0.0
79,cue_selfish_maximizer,2,1.9375,,1.9479166666666667,,3,,qwen,AsBa,-0.0
79,cue_selfish_maximizer,3,2.4375,,2.0833333333333335,,3,,qwen,AsBa,-0.0
40,baseline,0,2.21875,,0.8541666666666666,,3,,qwen,AsCh,-0.0
40,baseline,1,2.5,,0.9895833333333334,,3,,qwen,AsCh,-0.0
40,baseline,2,-2.046875,,-0.796875,,3,,qwen,AsCh,-0.0
40,baseline,3,-2.390625,,-0.8307291666666666,,3,,qwen,AsCh,-0.0
40,cue_inequity_aversion,0,1.28125,,1.0677083333333333,,3,,qwen,AsCh,-0.0
40,cue_inequity_aversion,1,1.5,,1.1328125,,3,,qwen,AsCh,-0.0
40,cue_inequity_aversion,2,-1.3984375,,-1.1302083333333333,,3,,qwen,AsCh,-0.0
40,cue_inequity_aversion,3,-1.7421875,,-1.4192708333333333,,3,,qwen,AsCh,-0.0
40,cue_length_match_null,0,1.7265625,,1.0989583333333333,,3,,qwen,AsCh,-0.0
40,cue_length_match_null,1,1.90625,,1.2291666666666667,,3,,qwen,AsCh,-0.0
40,cue_length_match_null,2,-1.6015625,,-1.2578125,,3,,qwen,AsCh,-0.0
40,cue_length_match_null,3,-1.7890625,,-1.2708333333333333,,3,,qwen,AsCh,-0.0
40,cue_loss_aversion,0,1.0625,,1.0260416666666667,,3,,qwen,AsCh,-0.0
40,cue_loss_aversion,1,1.140625,,1.1848958333333333,,3,,qwen,AsCh,-0.0
40,cue_loss_aversion,2,-1.171875,,-1.3802083333333333,,3,,qwen,AsCh,-0.0
40,cue_loss_aversion,3,-1.3515625,,-1.3880208333333333,,3,,qwen,AsCh,-0.0
40,cue_maximin,0,2.03125,,1.84375,,3,,qwen,AsCh,-0.0
40,cue_maximin,1,2.15625,,1.8515625,,3,,qwen,AsCh,-0.0
40,cue_maximin,2,-2.109375,,-1.9921875,,3,,qwen,AsCh,-0.0
40,cue_maximin,3,-2.0625,,-2.0546875,,3,,qwen,AsCh,-0.0
40,cue_risk_aversion,0,1.375,,1.4609375,,3,,qwen,AsCh,-0.0
40,cue_risk_aversion,1,1.296875,,1.3697916666666667,,3,,qwen,AsCh,-0.0
40,cue_risk_aversion,2,-1.4453125,,-1.6614583333333333,,3,,qwen,AsCh,-0.0
40,cue_risk_aversion,3,-1.5,,-1.6432291666666667,,3,,qwen,AsCh,-0.0
40,cue_selfish_maximizer,0,1.734375,,1.4505208333333333,,3,,qwen,AsCh,-0.0
40,cue_selfish_maximizer,1,2.125,,1.734375,,3,,qwen,AsCh,-0.0
40,cue_selfish_maximizer,2,-1.8125,,-1.5390625,,3,,qwen,AsCh,-0.0
40,cue_selfish_maximizer,3,-2.203125,,-1.8385416666666667,,3,,qwen,AsCh,-0.0
